variant,split,n_chips,tp,fp,fn,tn,iou,precision,recall,f1,macro_iou,macro_recall,n_chips_no_prediction
v0_otsu_vv,test,14,563817,806442,122690,1731219,0.3777,0.4115,0.8213,0.5483,0.3701,0.8328,0
v0_otsu_vv,train,40,536520,3123884,190867,4946192,0.1393,0.1466,0.7376,0.2446,0.1648,0.7667,0
v0_otsu_vv,valid,14,364182,880629,77616,1634535,0.2754,0.2926,0.8243,0.4319,0.3117,0.8050,0
v0_otsu_vv,all,68,1464519,4810955,391173,8311946,0.2197,0.2334,0.7892,0.3602,0.2364,0.7879,0
v1_otsu_vh,test,14,580678,819512,105829,1718149,0.3856,0.4147,0.8458,0.5566,0.3561,0.8476,0
v1_otsu_vh,train,40,568917,2813712,158470,5256364,0.1607,0.1682,0.7821,0.2768,0.1825,0.8041,0
v1_otsu_vh,valid,14,372592,782581,69206,1732583,0.3043,0.3225,0.8434,0.4666,0.3032,0.8147,0
v1_otsu_vh,all,68,1522187,4415805,333505,8707096,0.2427,0.2563,0.8203,0.3906,0.2423,0.8149,0
v2_lee_vh,test,14,604457,900556,82050,1637105,0.3809,0.4016,0.8805,0.5516,0.3772,0.8917,0
v2_lee_vh,train,40,599241,3118250,128146,4951826,0.1558,0.1612,0.8238,0.2696,0.1933,0.8533,0
v2_lee_vh,valid,14,386625,848005,55173,1667159,0.2998,0.3132,0.8751,0.4612,0.3232,0.8563,0
v2_lee_vh,all,68,1590323,4866811,265369,8256090,0.2366,0.2463,0.8570,0.3826,0.2571,0.8615,0
v3_tiled_vh,test,14,616990,924846,69517,1612815,0.3829,0.4002,0.8987,0.5538,0.3657,0.8926,0
v3_tiled_vh,train,40,625539,3429359,101848,4640717,0.1505,0.1543,0.8600,0.2616,0.1708,0.8757,0
v3_tiled_vh,valid,14,390971,925420,50827,1589744,0.2860,0.2970,0.8850,0.4447,0.2885,0.8717,0
v3_tiled_vh,all,68,1633500,5279625,222192,7843276,0.2289,0.2363,0.8803,0.3726,0.2342,0.8782,0
v4_dual_pol,test,14,564401,641819,122106,1895842,0.4249,0.4679,0.8221,0.5964,0.3896,0.8231,0
v4_dual_pol,train,40,566234,2581946,161153,5488130,0.1711,0.1799,0.7784,0.2922,0.1937,0.8030,0
v4_dual_pol,valid,14,361014,723007,80784,1792157,0.3099,0.3330,0.8171,0.4732,0.2949,0.8102,0
v4_dual_pol,all,68,1491649,3946772,364043,9176129,0.2571,0.2743,0.8038,0.4090,0.2537,0.8085,0
v5_morph,test,14,563524,627613,122983,1910048,0.4288,0.4731,0.8209,0.6002,0.3922,0.8200,0
v5_morph,train,40,565079,2532902,162308,5537174,0.1733,0.1824,0.7769,0.2954,0.1977,0.8030,0
v5_morph,valid,14,360066,705753,81732,1809411,0.3138,0.3378,0.8150,0.4777,0.2991,0.8087,0
v5_morph,all,68,1488669,3866268,367023,9256633,0.2602,0.2780,0.8022,0.4129,0.2575,0.8075,0
v6_event_thresh,test,14,513468,66790,173039,2470871,0.6816,0.8849,0.7479,0.8107,0.3862,0.4216,0
v6_event_thresh,train,40,251051,104060,476336,7966016,0.3019,0.7070,0.3451,0.4638,0.1894,0.2211,0
v6_event_thresh,valid,14,301993,47050,139805,2468114,0.6178,0.8652,0.6836,0.7637,0.2996,0.3344,0
v6_event_thresh,all,68,1066512,217900,789180,12905001,0.5143,0.8304,0.5747,0.6793,0.2516,0.2846,0
v7_gated,test,14,606332,367655,80175,2170006,0.5752,0.6225,0.8832,0.7303,0.3989,0.7006,2
v7_gated,train,40,601204,2079843,126183,5990233,0.2142,0.2242,0.8265,0.3528,0.2088,0.7318,4
v7_gated,valid,14,381775,521126,60023,1994038,0.3965,0.4228,0.8641,0.5678,0.3273,0.6975,2
v7_gated,all,68,1589311,2968624,266381,10154277,0.3294,0.3487,0.8565,0.4956,0.2714,0.7184,8
v8_gated_full,test,14,509759,31876,176748,2505785,0.7096,0.9411,0.7425,0.8301,0.3915,0.4112,5
v8_gated_full,train,40,197834,51259,529553,8018817,0.2541,0.7942,0.2720,0.4052,0.1359,0.1557,26
v8_gated_full,valid,14,293331,23934,148467,2491230,0.6298,0.9246,0.6639,0.7729,0.2726,0.2894,8
v8_gated_full,all,68,1000924,107069,854768,13015832,0.5100,0.9034,0.5394,0.6755,0.2152,0.2344,39
baseline_authors_otsu,test,14,534739,72625,151768,2465036,0.7044,0.8804,0.7789,0.8266,0.4059,0.4453,1
baseline_authors_otsu,train,40,264760,115556,462627,7954520,0.3141,0.6962,0.3640,0.4780,0.1992,0.2351,1
baseline_authors_otsu,valid,14,312235,59614,129563,2455550,0.6227,0.8397,0.7067,0.7675,0.3016,0.3448,0
baseline_authors_otsu,all,68,1111734,247795,743958,12875106,0.5285,0.8177,0.5991,0.6915,0.2617,0.2998,2
