chip_id,sd_theirs,sd_ours,corr_raw,corr_block5,corr_block_best,best_dy,best_dx,water_frac
1017769,7.88,4.29,0.7793,0.9432,0.9595,1,1,0.5674
1018317,7.71,4.58,0.6804,0.863,0.8797,2,2,0.7651
1018327,4.03,3.15,0.6187,0.8614,0.9621,0,-2,0.1398
103447,5.11,3.84,0.5321,0.6827,0.7302,2,-2,0.1649
1050276,4.01,3.51,0.9046,0.9747,0.9747,0,0,0.192
1068117,4.7,3.54,0.5821,0.8158,0.9438,0,-2,0.2088
1072277,3.75,3.12,0.737,0.8792,0.8971,0,1,0.086
118868,3.76,12.54,0.5818,0.7241,0.8573,1,-2,0.0665
135434,4.11,3.45,0.4927,0.6713,0.7259,2,-2,0.088
136196,4.03,2.78,0.4625,0.5206,0.5293,1,0,0.0
164336,3.58,2.99,0.7504,0.7752,0.7752,0,0,0.0073
166709,2.88,2.49,0.3502,0.6791,0.8737,0,-2,0.0344
177319,2.94,2.59,-0.0291,0.0082,0.0834,-2,-2,0.0062
179238,3.03,2.58,0.1607,0.3054,0.3703,1,-2,0.0602
180633,7.6,4.78,0.7536,0.8944,0.9211,-1,-2,0.4604
207862,3.98,3.52,0.7377,0.9217,0.9757,0,2,0.1051
244057,4.22,3.25,0.3464,0.4964,0.5914,1,2,0.0
25540,3.94,3.17,0.3445,0.5049,0.6533,-1,-2,0.0613
265762,3.34,2.81,0.7385,0.9191,0.9664,0,-1,0.0579
273873,5.34,3.63,0.1937,0.144,0.172,1,-2,0.035
285297,4.39,3.74,0.6329,0.863,0.969,1,2,0.1469
287642,4.49,3.74,0.9085,0.976,0.976,0,0,0.1553
324254,2.84,2.57,0.5269,0.6423,0.8058,0,-2,0.0148
373039,5.18,3.66,0.4292,0.5578,0.5878,1,1,0.0062
383430,3.55,2.91,0.4881,0.7713,0.9058,0,-2,0.1561
391908,3.47,3.08,0.8611,0.9613,0.9672,0,1,0.1227
399883,7.76,4.85,0.7332,0.8914,0.9354,-1,-2,0.52
44475,2.99,2.73,0.1077,0.2654,0.5182,2,2,0.0
500266,3.64,3.21,0.6605,0.891,0.9801,0,-2,0.1457
533192,7.25,12.69,0.8024,0.9292,0.9696,0,-2,0.3628
534470,2.67,2.44,0.3586,0.7091,0.92,0,-2,0.0297
56450,3.49,3.07,0.2166,0.2676,0.5631,-1,-2,0.0005
566697,3.46,2.77,0.2985,0.5,0.5534,-2,-2,0.0682
570384,3.56,2.98,0.631,0.8876,0.9764,0,-2,0.0601
591317,8.14,5.2,0.8077,0.9446,0.9699,1,2,0.4635
591549,3.06,2.76,0.2838,0.5789,0.7946,0,-2,0.045
592446,3.28,2.69,0.335,0.6103,0.7958,-1,-2,0.0403
59460,3.77,2.79,0.1083,0.2057,0.3138,2,2,0.0015
624341,3.46,3.08,0.5235,0.4611,0.5926,0,-2,0.0123
631692,2.4,2.21,0.3394,0.542,0.7776,0,-2,0.0031
652725,3.48,3.08,0.5162,0.7983,0.943,0,-2,0.0832
664410,3.26,2.73,0.7597,0.9404,0.9767,0,-1,0.0516
691027,3.14,2.73,0.534,0.7933,0.9359,1,-2,0.033
698338,3.2,2.7,0.8386,0.9568,0.966,1,0,0.0436
70352,3.82,2.87,0.6618,0.9089,0.9744,0,-2,0.0551
707886,2.71,2.38,0.3882,0.7269,0.9163,0,-2,0.0221
73419,2.91,2.56,0.835,0.9532,0.9595,1,0,0.0349
747970,2.58,2.36,0.3375,0.6393,0.88,0,-2,0.0203
747992,4.73,3.33,0.6945,0.9135,0.974,0,-2,0.4476
764946,2.77,2.43,0.1243,0.2564,0.5244,0,-2,0.013
769408,3.08,2.75,0.1779,0.3375,0.4211,0,-2,0.0488
772630,5.09,3.51,0.4562,0.5529,0.56,1,1,0.0087
773682,3.16,2.71,0.3682,0.667,0.8471,0,-2,0.1225
774689,3.78,3.18,0.2542,0.4043,0.4204,2,2,0.0792
79637,3.5,2.84,0.8143,0.8426,0.8426,0,0,0.0197
80221,8.21,5.32,0.7793,0.9165,0.9236,2,2,0.7544
804466,3.99,3.23,0.815,0.9494,0.9762,0,-1,0.1916
828067,3.0,2.62,0.4435,0.7452,0.9293,1,-2,0.0382
833266,3.23,2.76,0.5077,0.816,0.9561,0,-2,0.0831
842775,3.01,2.63,0.662,0.8849,0.9513,0,-2,0.0241
869358,3.53,3.03,0.8331,0.9582,0.9813,0,-1,0.0193
900498,7.54,4.38,0.7291,0.9206,0.9633,0,-2,0.4731
91379,3.71,3.14,0.6008,0.8646,0.9714,0,-2,0.1129
943439,4.62,3.52,0.7198,0.9142,0.9703,0,-2,0.1904
952728,3.3,2.84,0.5734,0.8415,0.9638,0,-2,0.031
956930,3.77,3.37,0.8905,0.975,0.9851,0,-1,0.1691
979278,3.76,3.3,0.9215,0.9797,0.9797,0,0,0.0498
981708,3.8,10.17,0.6559,0.8482,0.9512,1,-2,0.0464
