chip_id,split,water_px,bright_px,bright_frac,edge_px,bright_and_edge_px,bright_and_interior_px,median_vh_water
1017769,train,98143,4023,0.041,19967,3645,378,-26.08
1018317,valid,150710,877,0.0058,7740,820,57,-28.05
1018327,test,36649,12947,0.3533,21559,12099,848,-19.47
103447,train,26977,4048,0.1501,11556,3285,763,-24.97
1050276,valid,49005,13246,0.2703,32195,12389,857,-19.9
1068117,valid,47960,17727,0.3696,27440,15452,2275,-19.45
1072277,train,22546,6094,0.2703,19176,5821,273,-19.34
118868,valid,10685,7228,0.6765,9404,6832,396,-16.72
135434,train,10312,513,0.0497,3992,503,10,-24.02
164336,valid,1881,1237,0.6576,1799,1207,30,-17.1
166709,train,8839,4271,0.4832,8388,4141,130,-18.08
177319,train,1578,1344,0.8517,1536,1322,22,-15.29
179238,train,11592,4956,0.4275,9977,4670,286,-18.37
180633,valid,75763,3418,0.0451,11517,3250,168,-26.87
207862,train,21028,6441,0.3063,17594,6035,406,-19.41
244057,valid,5,5,1.0,5,5,0,-16.49
25540,train,11559,1992,0.1723,9010,1898,94,-20.69
265762,train,8533,4130,0.484,6766,3460,670,-18.09
273873,train,5446,4344,0.7976,3057,2450,1894,-12.16
285297,train,36006,8747,0.2429,26986,8142,605,-19.97
287642,train,17914,2540,0.1418,14638,2499,41,-21.23
324254,train,3883,2574,0.6629,3648,2482,92,-17.01
373039,train,1509,1184,0.7846,1500,1179,5,-16.38
383430,train,39228,24783,0.6318,27231,20172,4611,-16.62
391908,train,25989,9612,0.3698,20194,9143,469,-18.98
399883,test,136292,10888,0.0799,25672,9394,1494,-25.82
500266,train,38181,12576,0.3294,31395,11593,983,-19.32
533192,valid,43244,3637,0.0841,11061,3286,351,-24.42
534470,train,7434,4076,0.5483,6925,4011,65,-17.75
56450,train,82,59,0.7195,81,58,1,-17.26
566697,train,14719,4065,0.2762,13048,3941,124,-19.39
570384,test,14548,4544,0.3123,8989,4244,300,-19.98
591317,test,114039,4169,0.0366,12691,3965,204,-26.75
591549,train,11054,7916,0.7161,9897,7336,580,-16.92
592446,test,9044,1890,0.209,5639,1769,121,-20.61
59460,train,315,208,0.6603,296,199,9,-16.9
624341,train,3224,2663,0.826,3193,2639,24,-16.1
631692,test,802,670,0.8354,802,670,0,-16.73
652725,train,21795,7084,0.325,18861,6978,106,-19.25
664410,train,13526,4413,0.3263,12969,4340,73,-19.17
691027,valid,8394,4545,0.5415,7644,4320,225,-17.7
698338,train,9936,2427,0.2443,5857,2142,285,-20.63
70352,valid,13188,1653,0.1253,5365,1542,111,-23.9
707886,train,5668,765,0.135,4253,753,12,-21.3
73419,train,6252,4949,0.7916,5370,4466,483,-16.0
747970,train,5007,2498,0.4989,4016,2425,73,-18.01
747992,test,117322,19731,0.1682,42384,14799,4932,-21.01
764946,valid,3146,1393,0.4428,2349,1253,140,-18.35
769408,valid,8582,2823,0.3289,7779,2714,109,-19.1
772630,test,1345,1104,0.8208,1345,1104,0,-16.43
773682,train,30959,12316,0.3978,24594,11344,972,-18.54
774689,train,18757,5999,0.3198,14867,5483,516,-19.57
79637,test,5165,3507,0.679,4853,3440,67,-16.54
80221,test,114506,1354,0.0118,12315,1188,166,-28.01
804466,train,50228,14794,0.2945,34610,13079,1715,-19.67
828067,test,6994,3293,0.4708,5421,2959,334,-18.25
833266,valid,18262,10144,0.5555,14263,8648,1496,-17.7
842775,train,5929,2947,0.497,5406,2827,120,-18.02
869358,valid,5050,1766,0.3497,4658,1683,83,-19.07
900498,test,123953,10129,0.0817,27092,9407,722,-25.5
91379,train,29594,9701,0.3278,22914,9444,257,-19.32
943439,train,47609,14828,0.3115,28960,13999,829,-20.3
952728,test,5848,3465,0.5925,5208,3274,191,-17.41
956930,train,40096,17891,0.4462,26471,14890,3001,-18.52
979278,train,5437,1214,0.2233,3522,985,229,-21.28
981708,train,10346,4449,0.43,9625,4254,195,-18.29
