variant,split,n_chips,tp,fp,fn,tn,iou,precision,recall,f1,area_ha_all,area_error_vs_truth
c0_abs_pooled,test,14,565158,124958,121349,2412703,0.6965,0.8189,0.8232,0.8211,,
c0_abs_pooled,train,37,400785,428414,319246,7026832,0.3490,0.4833,0.5566,0.5174,,
c0_abs_pooled,valid,14,345412,144931,96386,2370233,0.5887,0.7044,0.7818,0.7411,,
c0_abs_pooled,all,65,1311355,698303,536981,11809768,0.5149,0.6525,0.7095,0.6798,20096.6,0.0873
c1_diff_july,test,14,59486,92896,627021,2444765,0.0763,0.3904,0.0867,0.1418,,
c1_diff_july,train,37,85381,281208,634650,7174038,0.0853,0.2329,0.1186,0.1571,,
c1_diff_july,valid,14,13444,83719,428354,2431445,0.0256,0.1384,0.0304,0.0499,,
c1_diff_july,all,65,158311,457823,1690025,12050248,0.0686,0.2569,0.0857,0.1285,6161.3,-0.6667
c2_diff_and_abs_july,test,14,49616,9296,636891,2528365,0.0713,0.8422,0.0723,0.1331,,
c2_diff_and_abs_july,train,37,63387,45471,656644,7409775,0.0828,0.5823,0.0880,0.1529,,
c2_diff_and_abs_july,valid,14,9996,10467,431802,2504697,0.0221,0.4885,0.0226,0.0432,,
c2_diff_and_abs_july,all,65,122999,65234,1725337,12442837,0.0643,0.6534,0.0665,0.1208,1882.3,-0.8982
c3_full_july,test,14,19930,540,666577,2537121,0.0290,0.9736,0.0290,0.0564,,
c3_full_july,train,37,16993,3323,703038,7451923,0.0235,0.8364,0.0236,0.0459,,
c3_full_july,valid,14,3403,569,438395,2514595,0.0077,0.8567,0.0077,0.0153,,
c3_full_july,all,65,40326,4432,1808010,12503639,0.0218,0.9010,0.0218,0.0426,447.6,-0.9758
c1_diff_dry,test,14,193071,226831,493436,2310830,0.2114,0.4598,0.2812,0.3490,,
c1_diff_dry,train,37,259688,707468,460343,6747778,0.1819,0.2685,0.3607,0.3078,,
c1_diff_dry,valid,14,93270,277214,348528,2237950,0.1297,0.2518,0.2111,0.2296,,
c1_diff_dry,all,65,546029,1211513,1302307,11296558,0.1784,0.3107,0.2954,0.3029,17575.4,-0.0491
c2_diff_and_abs_dry,test,14,167280,53074,519227,2484587,0.2262,0.7591,0.2437,0.3689,,
c2_diff_and_abs_dry,train,37,206000,257449,514031,7197797,0.2107,0.4445,0.2861,0.3481,,
c2_diff_and_abs_dry,valid,14,70803,65339,370995,2449825,0.1396,0.5201,0.1603,0.2450,,
c2_diff_and_abs_dry,all,65,444083,375862,1404253,12132209,0.1997,0.5416,0.2403,0.3329,8199.4,-0.5564
c3_full_dry,test,14,104030,8269,582477,2529392,0.1497,0.9264,0.1515,0.2605,,
c3_full_dry,train,37,64025,19880,656006,7435366,0.0865,0.7631,0.0889,0.1593,,
c3_full_dry,valid,14,34118,4444,407680,2510720,0.0765,0.8848,0.0772,0.1421,,
c3_full_dry,all,65,202173,32593,1646163,12475478,0.1075,0.8612,0.1094,0.1941,2347.7,-0.8730
baseline_same_chips,test,14,534739,72625,151768,2465036,0.7044,0.8804,0.7789,0.8266,,
baseline_same_chips,train,37,264320,111847,455711,7343399,0.3177,0.7027,0.3671,0.4822,,
baseline_same_chips,valid,14,312235,59614,129563,2455550,0.6227,0.8397,0.7067,0.7675,,
baseline_same_chips,all,65,1111294,244086,737042,12263985,0.5311,0.8199,0.6012,0.6938,13553.8,-0.2667
