smooth,gate,threshold,iou_train,iou_valid,iou_test,iou_all,p_all,r_all,area_ha
1,0,-12.0,0.0003,0.0006,0.0003,0.0003,0.8085,0.0003,7.5
1,0,-11.75,0.0004,0.0008,0.0004,0.0005,0.8282,0.0005,11.0
1,0,-11.5,0.0006,0.0011,0.0006,0.0007,0.8311,0.0007,15.8
1,0,-11.25,0.0009,0.0015,0.0009,0.001,0.8367,0.001,22.3
1,0,-11.0,0.0012,0.0019,0.0012,0.0014,0.8345,0.0014,30.9
1,0,-10.75,0.0018,0.0026,0.0016,0.0019,0.834,0.0019,42.5
1,0,-10.5,0.0025,0.0033,0.0022,0.0026,0.8363,0.0026,57.4
1,0,-10.25,0.0034,0.0043,0.003,0.0035,0.8299,0.0035,76.9
1,0,-10.0,0.0045,0.0054,0.004,0.0045,0.8208,0.0045,101.7
1,0,-9.75,0.0059,0.0067,0.0053,0.0058,0.8133,0.0059,133.0
1,0,-9.5,0.0075,0.0083,0.0068,0.0074,0.8038,0.0075,171.6
1,0,-9.25,0.0097,0.0102,0.0087,0.0095,0.7951,0.0095,220.2
1,0,-9.0,0.0122,0.0123,0.0112,0.0119,0.7853,0.0119,279.9
1,0,-8.75,0.0154,0.0148,0.0141,0.0148,0.7728,0.0148,354.9
1,0,-8.5,0.0193,0.0176,0.0177,0.0183,0.761,0.0184,446.8
1,0,-8.25,0.0238,0.0206,0.022,0.0224,0.748,0.0225,556.7
1,0,-8.0,0.0292,0.0239,0.0266,0.027,0.7341,0.0272,686.1
1,0,-7.75,0.0354,0.0278,0.0318,0.0323,0.7178,0.0327,841.4
1,0,-7.5,0.0424,0.0319,0.0379,0.0383,0.7006,0.0389,1026.6
1,0,-7.25,0.0505,0.0364,0.0447,0.045,0.6814,0.046,1247.2
1,0,-7.0,0.0594,0.0414,0.0521,0.0525,0.6621,0.0539,1504.8
1,0,-6.75,0.0692,0.0465,0.0603,0.0606,0.6413,0.0627,1807.3
1,0,-6.5,0.0795,0.0521,0.0696,0.0695,0.6207,0.0726,2160.4
1,0,-6.25,0.0903,0.0579,0.0793,0.0787,0.5981,0.0831,2567.7
1,0,-6.0,0.1012,0.064,0.0896,0.0883,0.5757,0.0944,3031.7
1,0,-5.75,0.1125,0.0704,0.1004,0.0983,0.5541,0.1067,3560.3
1,0,-5.5,0.1236,0.0769,0.1115,0.1084,0.5316,0.1199,4167.5
1,0,-5.25,0.1346,0.0835,0.1232,0.1187,0.5094,0.134,4861.4
1,0,-5.0,0.1447,0.0903,0.1346,0.1284,0.4862,0.1486,5649.6
1,0,-4.75,0.154,0.0969,0.1459,0.1379,0.4634,0.164,6543.2
1,0,-4.5,0.1623,0.1033,0.1573,0.1468,0.4409,0.1804,7561.4
1,0,-4.25,0.1695,0.1091,0.1684,0.1549,0.4186,0.1974,8716.8
1,0,-4.0,0.1753,0.1145,0.1789,0.1621,0.3963,0.2153,10042.8
1,0,-3.75,0.1796,0.1194,0.1885,0.1683,0.3746,0.234,11548.7
1,0,-3.5,0.182,0.1234,0.1973,0.1729,0.3527,0.2533,13274.7
1,0,-3.25,0.1828,0.1269,0.205,0.1764,0.3314,0.2739,15273.1
1,0,-3.0,0.1819,0.1297,0.2114,0.1784,0.3107,0.2954,17575.4
1,0,-2.75,0.1793,0.1319,0.2164,0.179,0.2905,0.3181,20242.0
1,0,-2.5,0.1752,0.1339,0.2205,0.1785,0.2715,0.3426,23319.3
1,0,-2.25,0.1698,0.1353,0.2237,0.1769,0.2537,0.3686,26855.5
1,0,-2.0,0.1637,0.1365,0.2259,0.1744,0.2374,0.3969,30903.9
1,0,-1.75,0.1572,0.1383,0.2273,0.1717,0.2228,0.4279,35501.4
1,0,-1.5,0.1504,0.1403,0.2288,0.1687,0.21,0.462,40664.8
1,0,-1.25,0.1438,0.1425,0.2301,0.1659,0.1989,0.4993,46390.1
1,0,-1.0,0.1374,0.1449,0.2312,0.163,0.1894,0.5393,52628.8
1,0,-0.75,0.1315,0.1479,0.2321,0.1604,0.1813,0.5821,59335.8
1,0,-0.5,0.1261,0.1508,0.2331,0.1581,0.1746,0.6269,66387.1
1,0,-0.25,0.1212,0.1536,0.2341,0.1561,0.1689,0.6728,73625.4
1,0,0.0,0.1168,0.1561,0.2347,0.1541,0.164,0.7183,80933.9
1,0,0.25,0.113,0.1584,0.2352,0.1523,0.1599,0.7623,88107.0
1,0,0.5,0.1095,0.16,0.2351,0.1505,0.1562,0.8032,95010.7
1,0,0.75,0.1065,0.1609,0.2345,0.1486,0.1529,0.8399,101512.5
1,0,1.0,0.1038,0.1612,0.2334,0.1466,0.1499,0.8719,107524.1
1,0,1.25,0.1013,0.1611,0.2319,0.1447,0.1471,0.8987,112947.1
1,0,1.5,0.0992,0.1605,0.23,0.1427,0.1445,0.9205,117762.1
1,0,1.75,0.0973,0.1595,0.2279,0.1408,0.1421,0.9377,121971.3
1,0,2.0,0.0957,0.1583,0.2257,0.1389,0.1399,0.9509,125593.2
1,0,2.25,0.0944,0.1571,0.2236,0.1373,0.138,0.961,128679.7
1,0,2.5,0.0932,0.1559,0.2217,0.1358,0.1364,0.9684,131265.6
1,0,2.75,0.0923,0.1547,0.2199,0.1344,0.1349,0.974,133429.2
1,0,3.0,0.0914,0.1536,0.2184,0.1333,0.1337,0.9781,135216.6
1,0,3.25,0.0908,0.1527,0.2171,0.1323,0.1327,0.9812,136685.0
1,0,3.5,0.0902,0.1519,0.216,0.1315,0.1318,0.9835,137884.1
1,0,3.75,0.0898,0.1512,0.2152,0.1309,0.1312,0.9853,138852.6
1,0,4.0,0.0894,0.1507,0.2145,0.1304,0.1306,0.9866,139634.6
1,1,-12.0,0.0003,0.0006,0.0003,0.0003,0.8424,0.0003,7.2
1,1,-11.75,0.0004,0.0008,0.0004,0.0005,0.8573,0.0005,10.6
1,1,-11.5,0.0006,0.0011,0.0006,0.0007,0.8541,0.0007,15.3
1,1,-11.25,0.0009,0.0015,0.0009,0.001,0.8572,0.001,21.7
1,1,-11.0,0.0012,0.0019,0.0012,0.0014,0.852,0.0014,30.2
1,1,-10.75,0.0018,0.0026,0.0016,0.0019,0.8482,0.0019,41.8
1,1,-10.5,0.0025,0.0033,0.0022,0.0026,0.8478,0.0026,56.6
1,1,-10.25,0.0034,0.0043,0.003,0.0035,0.8396,0.0035,76.0
1,1,-10.0,0.0045,0.0054,0.004,0.0045,0.8296,0.0045,100.5
1,1,-9.75,0.0059,0.0067,0.0052,0.0058,0.8211,0.0058,131.6
1,1,-9.5,0.0075,0.0082,0.0068,0.0074,0.8114,0.0075,169.8
1,1,-9.25,0.0097,0.0102,0.0087,0.0094,0.8028,0.0095,217.9
1,1,-9.0,0.0122,0.0123,0.0111,0.0118,0.7928,0.0119,276.9
1,1,-8.75,0.0154,0.0148,0.0141,0.0148,0.7808,0.0148,350.8
1,1,-8.5,0.0192,0.0175,0.0177,0.0183,0.7695,0.0184,441.1
1,1,-8.25,0.0238,0.0206,0.0219,0.0223,0.7573,0.0225,548.6
1,1,-8.0,0.0292,0.0239,0.0265,0.0269,0.7445,0.0272,674.4
1,1,-7.75,0.0353,0.0277,0.0317,0.0321,0.73,0.0325,823.8
1,1,-7.5,0.0423,0.0318,0.0377,0.0381,0.715,0.0387,999.7
1,1,-7.25,0.0502,0.0361,0.0444,0.0447,0.6991,0.0456,1205.5
1,1,-7.0,0.0589,0.0411,0.0516,0.052,0.6836,0.0533,1440.9
1,1,-6.75,0.0684,0.046,0.0596,0.0599,0.6679,0.0618,1709.1
1,1,-6.5,0.0785,0.0514,0.0687,0.0685,0.6532,0.0711,2012.4
1,1,-6.25,0.0889,0.0569,0.0781,0.0775,0.6378,0.081,2347.8
1,1,-6.0,0.0996,0.0626,0.088,0.0867,0.6236,0.0915,2711.4
1,1,-5.75,0.1105,0.0684,0.0984,0.0962,0.6108,0.1025,3102.7
1,1,-5.5,0.1214,0.0743,0.109,0.1059,0.5985,0.1141,3522.2
1,1,-5.25,0.1323,0.0802,0.1202,0.1158,0.5877,0.1261,3964.8
1,1,-5.0,0.1426,0.0864,0.1313,0.1255,0.5778,0.1382,4421.0
1,1,-4.75,0.1527,0.0926,0.1425,0.1351,0.5692,0.1505,4887.4
1,1,-4.5,0.1622,0.0988,0.154,0.1446,0.5618,0.163,5363.2
1,1,-4.25,0.1715,0.1049,0.1657,0.1541,0.556,0.1757,5841.1
1,1,-4.0,0.1802,0.1112,0.1775,0.1633,0.5509,0.1884,6321.8
1,1,-3.75,0.1885,0.1177,0.1892,0.1724,0.5471,0.2011,6795.5
1,1,-3.5,0.1961,0.1242,0.2012,0.1814,0.5443,0.2138,7261.8
1,1,-3.25,0.2037,0.1315,0.2136,0.1905,0.5426,0.2269,7730.5
1,1,-3.0,0.2107,0.1396,0.2262,0.1997,0.5416,0.2403,8199.5
1,1,-2.75,0.2173,0.1485,0.2394,0.209,0.5413,0.254,8671.7
1,1,-2.5,0.2238,0.1595,0.2537,0.2191,0.5425,0.2688,9157.1
1,1,-2.25,0.2304,0.1715,0.2695,0.2299,0.5448,0.2846,9654.7
1,1,-2.0,0.2372,0.186,0.287,0.2419,0.5488,0.302,10173.4
1,1,-1.75,0.2444,0.2039,0.3065,0.2555,0.5542,0.3217,10729.3
1,1,-1.5,0.2518,0.2249,0.3295,0.271,0.5612,0.3438,11323.6
1,1,-1.25,0.2598,0.2493,0.3553,0.2884,0.5695,0.3689,11971.5
1,1,-1.0,0.2685,0.2772,0.384,0.3079,0.5789,0.3967,12665.0
1,1,-0.75,0.2775,0.3087,0.4152,0.329,0.5889,0.427,13403.0
1,1,-0.5,0.287,0.3427,0.4485,0.3516,0.5993,0.4596,14176.2
1,1,-0.25,0.2964,0.3778,0.4833,0.3749,0.6094,0.4934,14964.1
1,1,0.0,0.3054,0.4129,0.5178,0.3979,0.6188,0.5271,15743.3
1,1,0.25,0.314,0.4472,0.5513,0.4203,0.6275,0.56,16493.9
1,1,0.5,0.3218,0.4785,0.582,0.4407,0.6349,0.5904,17185.8
1,1,0.75,0.3286,0.5058,0.6093,0.4588,0.641,0.6174,17803.3
1,1,1.0,0.3344,0.5285,0.6325,0.474,0.6457,0.6406,18336.8
1,1,1.25,0.3387,0.5471,0.6512,0.4861,0.6491,0.6594,18776.2
1,1,1.5,0.3421,0.5614,0.6657,0.4956,0.6516,0.6743,19126.1
1,1,1.75,0.3447,0.5717,0.6762,0.5025,0.6532,0.6854,19393.1
1,1,2.0,0.3465,0.5788,0.6836,0.5074,0.6542,0.6933,19587.6
1,1,2.25,0.3477,0.5835,0.6887,0.5106,0.6547,0.6988,19727.7
1,1,2.5,0.3485,0.5864,0.6919,0.5127,0.6549,0.7025,19826.2
1,1,2.75,0.3489,0.588,0.694,0.5139,0.6549,0.7049,19894.7
1,1,3.0,0.3492,0.5886,0.6952,0.5146,0.6547,0.7063,19942.3
1,1,3.25,0.3494,0.589,0.6958,0.515,0.6545,0.7072,19973.9
1,1,3.5,0.3494,0.589,0.6962,0.5151,0.6543,0.7078,19995.1
1,1,3.75,0.3494,0.589,0.6963,0.5152,0.6541,0.7081,20009.8
1,1,4.0,0.3495,0.5889,0.6964,0.5152,0.654,0.7083,20019.7
3,0,-12.0,0.0001,0.0003,0.0001,0.0002,0.8576,0.0002,3.4
3,0,-11.75,0.0002,0.0005,0.0001,0.0002,0.8804,0.0002,5.1
3,0,-11.5,0.0003,0.0007,0.0002,0.0004,0.8664,0.0004,8.2
3,0,-11.25,0.0005,0.001,0.0004,0.0006,0.8669,0.0006,11.9
3,0,-11.0,0.0007,0.0014,0.0006,0.0008,0.8677,0.0008,17.7
3,0,-10.75,0.0011,0.0019,0.0009,0.0012,0.86,0.0012,25.8
3,0,-10.5,0.0016,0.0026,0.0013,0.0017,0.8579,0.0017,37.1
3,0,-10.25,0.0023,0.0033,0.0018,0.0024,0.8558,0.0024,50.8
3,0,-10.0,0.0032,0.0043,0.0025,0.0032,0.8496,0.0032,69.2
3,0,-9.75,0.0043,0.0055,0.0035,0.0043,0.8449,0.0043,93.8
3,0,-9.5,0.0056,0.007,0.0048,0.0056,0.8328,0.0056,124.8
3,0,-9.25,0.0072,0.0086,0.0064,0.0073,0.8243,0.0073,163.0
3,0,-9.0,0.0094,0.0107,0.0086,0.0094,0.8154,0.0094,213.0
3,0,-8.75,0.0121,0.013,0.0112,0.012,0.806,0.012,274.8
3,0,-8.5,0.0153,0.0155,0.0144,0.015,0.7929,0.0151,351.4
3,0,-8.25,0.0192,0.0185,0.0182,0.0187,0.7803,0.0188,444.9
3,0,-8.0,0.0241,0.0217,0.0228,0.0231,0.7652,0.0232,561.1
3,0,-7.75,0.0299,0.0253,0.028,0.0281,0.7514,0.0284,697.6
3,0,-7.5,0.0366,0.0292,0.0338,0.0338,0.7341,0.0342,861.5
3,0,-7.25,0.0442,0.0334,0.0405,0.0403,0.7162,0.0409,1055.9
