variant,chip_id,split,threshold,tiles_accepted,tiles_examined,truth_water_frac,pred_water_frac,iou
v0_otsu_vv,1017769,train,-15.61,0,0,0.5674,0.5872,0.7732
v0_otsu_vv,1018317,valid,-16.89,0,0,0.7651,0.8051,0.9085
v0_otsu_vv,1018327,test,-11.78,0,0,0.1398,0.1704,0.4466
v0_otsu_vv,103447,train,-13.35,0,0,0.1649,0.1624,0.5631
v0_otsu_vv,1050276,valid,-11.09,0,0,0.1920,0.2995,0.3038
v0_otsu_vv,1068117,valid,-13.50,0,0,0.2088,0.1443,0.4697
v0_otsu_vv,1072277,train,-8.69,0,0,0.0860,0.5436,0.1322
v0_otsu_vv,118868,valid,-8.23,0,0,0.0665,0.3966,0.1229
v0_otsu_vv,135434,train,-10.56,0,0,0.0880,0.3195,0.1972
v0_otsu_vv,136196,train,-8.25,0,0,0.0000,0.4879,0.0000
v0_otsu_vv,164336,valid,-7.35,0,0,0.0073,0.6171,0.0106
v0_otsu_vv,166709,train,-8.77,0,0,0.0344,0.4554,0.0509
v0_otsu_vv,177319,train,-7.83,0,0,0.0062,0.4789,0.0100
v0_otsu_vv,179238,train,-9.29,0,0,0.0602,0.4671,0.0862
v0_otsu_vv,180633,valid,-15.21,0,0,0.4604,0.4413,0.8719
v0_otsu_vv,207862,train,-9.49,0,0,0.1051,0.4336,0.1935
v0_otsu_vv,244057,valid,-6.26,0,0,0.0000,0.4712,0.0001
v0_otsu_vv,25540,train,-7.87,0,0,0.0613,0.5869,0.0945
v0_otsu_vv,265762,train,-8.44,0,0,0.0579,0.5362,0.0824
v0_otsu_vv,273873,train,-6.73,0,0,0.0350,0.4844,0.0319
v0_otsu_vv,285297,train,-10.78,0,0,0.1469,0.3427,0.2627
v0_otsu_vv,287642,train,-11.68,0,0,0.1553,0.3185,0.3445
v0_otsu_vv,324254,train,-7.23,0,0,0.0148,0.4810,0.0278
v0_otsu_vv,373039,train,-7.92,0,0,0.0062,0.5432,0.0100
v0_otsu_vv,383430,train,-11.83,0,0,0.1561,0.1227,0.3211
v0_otsu_vv,391908,train,-10.47,0,0,0.1227,0.2874,0.2561
v0_otsu_vv,399883,test,-15.53,0,0,0.5200,0.5016,0.7793
v0_otsu_vv,44475,test,-7.03,0,0,0.0000,0.4919,0.0000
v0_otsu_vv,500266,train,-9.54,0,0,0.1457,0.4334,0.2255
v0_otsu_vv,533192,valid,-13.31,0,0,0.3628,0.3203,0.6493
v0_otsu_vv,534470,train,-8.28,0,0,0.0297,0.4605,0.0565
v0_otsu_vv,56450,train,-7.96,0,0,0.0005,0.5000,0.0008
v0_otsu_vv,566697,train,-9.39,0,0,0.0682,0.4226,0.1062
v0_otsu_vv,570384,test,-10.23,0,0,0.0601,0.2374,0.1784
v0_otsu_vv,591317,test,-15.63,0,0,0.4635,0.4482,0.8913
v0_otsu_vv,591549,train,-8.25,0,0,0.0450,0.5092,0.0658
v0_otsu_vv,592446,test,-10.64,0,0,0.0403,0.1808,0.1830
