chip_id,dy,dx,at_search_edge,corr_before,corr_after,gain,contrast_theirs_db,contrast_ours_db
1017769,1,1,0,0.9432,0.9595,0.0163,9.78,6.3
1018317,3,10,0,0.863,0.9696,0.1066,7.97,4.83
1018327,0,-2,0,0.8614,0.9621,0.1007,6.23,5.0
103447,-1,-11,0,0.6827,0.9814,0.2986,9.34,7.5
1050276,0,0,0,0.9747,0.9747,0.0,5.59,5.17
1068117,0,-3,0,0.8158,0.9697,0.1538,6.36,5.22
1072277,0,1,0,0.8792,0.8971,0.0179,4.26,3.77
118868,1,-2,0,0.7241,0.8573,0.1333,3.81,3.21
135434,-1,-10,0,0.6713,0.9795,0.3082,8.99,7.56
136196,1,0,0,0.5206,0.5293,0.0087,,
164336,0,0,0,0.7752,0.7752,0.0,3.13,3.05
166709,0,-4,0,0.6791,0.9445,0.2654,3.57,3.2
177319,-1,-8,0,0.0082,0.3652,0.357,2.09,1.8
179238,-1,-11,0,0.3054,0.969,0.6635,2.84,2.57
180633,0,-7,0,0.8944,0.9827,0.0882,12.54,8.79
207862,0,2,0,0.9217,0.9757,0.0539,5.65,5.01
244057,1,3,0,0.4964,0.601,0.1046,,
25540,-1,-4,0,0.5049,0.7246,0.2196,6.26,5.41
265762,0,-1,0,0.9191,0.9664,0.0473,3.17,2.61
273873,1,-2,0,0.144,0.172,0.0279,-0.36,2.22
285297,1,3,0,0.863,0.9734,0.1105,5.39,4.63
287642,0,0,0,0.976,0.976,0.0,5.57,5.04
324254,0,-2,0,0.6423,0.8058,0.1635,4.51,4.02
373039,1,1,0,0.5578,0.5878,0.03,3.12,4.43
383430,0,-4,0,0.7713,0.9724,0.2011,3.7,3.38
391908,0,1,0,0.9613,0.9672,0.0059,4.96,4.37
399883,0,-6,0,0.8914,0.979,0.0875,11.31,8.3
44475,2,5,0,0.2654,0.7002,0.4348,,
500266,0,-2,0,0.891,0.9801,0.0891,4.49,3.97
533192,0,-2,0,0.9292,0.9696,0.0404,9.9,6.76
534470,0,-3,0,0.7091,0.9323,0.2231,4.46,4.2
56450,0,-4,0,0.2676,0.6639,0.3963,,
566697,-1,-10,0,0.5,0.9744,0.4744,4.21,3.42
570384,0,-2,0,0.8876,0.9764,0.0888,6.65,5.68
591317,1,3,0,0.9446,0.9718,0.0272,12.6,9.28
591549,0,-5,0,0.5789,0.9612,0.3823,3.12,2.79
592446,0,-5,0,0.6103,0.9117,0.3014,7.35,6.11
59460,2,6,0,0.2057,0.4989,0.2932,,
624341,0,-2,0,0.4611,0.5926,0.1315,2.97,3.88
631692,0,-2,0,0.542,0.7776,0.2355,4.14,4.05
652725,0,-3,0,0.7983,0.9661,0.1678,4.76,4.29
664410,0,-1,0,0.9404,0.9767,0.0363,3.26,2.73
691027,1,-2,0,0.7933,0.9359,0.1426,4.83,4.05
698338,1,0,0,0.9568,0.966,0.0092,6.33,5.11
70352,0,-2,0,0.9089,0.9744,0.0655,9.84,7.56
707886,0,-3,0,0.7269,0.9241,0.1972,8.63,7.7
73419,1,0,0,0.9532,0.9595,0.0064,1.82,1.52
747970,0,-3,0,0.6393,0.8932,0.2539,6.23,6.12
747992,0,-2,0,0.9135,0.974,0.0605,5.26,4.14
764946,0,-4,0,0.2564,0.6318,0.3754,6.04,6.34
769408,-1,-9,0,0.3375,0.9583,0.6207,4.43,4.14
772630,1,1,0,0.5529,0.56,0.0071,4.18,4.04
773682,0,-4,0,0.667,0.9535,0.2865,3.65,3.16
774689,3,11,0,0.4043,0.6765,0.2722,5.68,3.53
79637,0,0,0,0.8426,0.8426,0.0,2.07,1.9
80221,3,11,0,0.9165,0.9803,0.0638,10.58,7.43
804466,0,-1,0,0.9494,0.9762,0.0268,4.6,3.84
828067,1,-2,0,0.7452,0.9293,0.1842,5.71,4.72
833266,0,-3,0,0.816,0.9633,0.1473,3.06,2.74
842775,0,-2,0,0.8849,0.9513,0.0665,3.53,3.08
869358,0,-1,0,0.9582,0.9813,0.023,4.11,3.42
900498,0,-3,0,0.9206,0.9728,0.0521,10.18,7.03
91379,0,-2,0,0.8646,0.9714,0.1068,3.98,3.31
943439,1,-3,0,0.9142,0.9717,0.0575,7.89,6.62
952728,0,-2,0,0.8415,0.9638,0.1222,3.23,2.84
956930,0,-1,0,0.975,0.9851,0.0102,5.02,4.69
979278,0,0,0,0.9797,0.9797,0.0,7.19,6.3
981708,1,-2,0,0.8482,0.9512,0.1031,4.39,3.57
