district,district_ha,imaged_ha,imaged_pct_of_district,cropland_ha,flood_ha,flooded_cropland_ha,permanent_water_ha,pct_of_imaged_cropland_flooded
Nagaon,250610.4,250611.0,100.0,128978.4,17243.7,13428.4,1766.8,10.41
Morigaon,150452.6,126946.6,84.4,75690.8,15829.1,11336.0,3366.9,14.98
Sonitpur,347362.6,347362.3,100.0,137015.2,28463.9,4522.6,19278.2,3.3
Biswanath,179149.3,179150.2,100.0,76738.8,14183.8,3200.8,9436.2,4.17
Hojai,145253.3,145254.4,100.0,72312.0,3366.8,3177.4,214.3,4.39
Golaghat,318581.6,115209.8,36.2,40792.6,7703.3,1746.4,6048.0,4.28
Cachar,379585.4,184461.0,48.6,31993.5,2004.5,1453.6,2248.8,4.54
Darrang,164091.1,48778.9,29.7,20794.1,8387.0,1292.4,7285.8,6.22
Udalguri,205149.6,66300.3,32.3,35788.6,1904.0,1285.4,39.9,3.59
Karbi Anglong East,728458.8,688151.5,94.5,62257.3,666.4,660.6,1.2,1.06
Karbi Anglong West,309840.6,309838.5,100.0,34892.3,625.1,478.6,385.8,1.37
Lakhimpur,285569.5,76104.7,26.7,37543.4,2319.4,259.5,1340.1,0.69
Dima Hasao,490032.4,490037.0,100.0,11250.6,881.3,257.0,1640.4,2.28
Majuli,124787.7,13747.8,11.0,3935.8,3851.4,194.2,2707.7,4.94
Karimganj,184621.3,8698.4,4.7,4018.0,120.0,90.1,52.7,2.24
Kamrup Metropolitan,112888.6,2246.2,2.0,1155.0,83.8,81.3,9.1,7.04
Dimapur,82132.6,13767.6,16.8,5004.5,16.8,16.8,0.0,0.34
West Jaintia Hills,172378.4,133128.1,77.2,13051.8,39.4,4.2,139.9,0.03
East Jaintia Hills,207186.1,207184.5,100.0,5845.8,36.2,3.0,169.2,0.05
Papum Pare,341625.6,324615.8,95.0,3853.0,86.5,2.9,10.6,0.07
Pakke Kessang,211939.7,211940.4,100.0,1441.0,37.8,2.6,13.4,0.18
Lower Subansiri,135499.9,135500.2,100.0,1883.8,0.4,0.4,43.3,0.02
Hailakandi,129020.0,595.6,0.5,155.0,12.7,0.2,26.6,0.15
West Kameng,508025.5,447195.1,88.0,1049.0,293.4,0.1,99.0,0.01
Upper Subansiri,623184.6,49648.5,8.0,6.9,8.1,0.0,5.8,0.0
East Kameng,445550.3,445549.6,100.0,226.0,759.0,0.0,117.2,0.0
Kurung Kumey,456207.3,406194.6,89.0,72.1,357.7,0.0,73.2,0.0
Tawang,231122.4,58391.8,25.3,0.0,782.2,0.0,108.5,0.0
Tamenglong,293526.1,92631.0,31.6,228.6,8.2,0.0,4.2,0.0
Peren,178990.1,80873.3,45.2,2242.0,1.0,0.0,0.0,0.0
Ribhoi,244975.1,16074.4,6.6,548.9,0.0,0.0,0.0,0.0
East Khasi Hills,275390.0,585.8,0.2,42.1,0.0,0.0,0.0,0.0
Kra Daadi,199289.6,160819.8,80.7,24.6,0.0,0.0,1.2,0.0
Jiribam,14578.0,29.6,0.2,0.0,0.0,0.0,0.0,0.0
Kamle,143443.5,67280.0,46.9,40.4,8.4,0.0,17.8,0.0
