district,district_ha,imaged_ha,imaged_pct_of_district,cropland_ha,flood_ha,flooded_cropland_ha,permanent_water_ha,pct_of_imaged_cropland_flooded
Golaghat,318581.6,310143.9,97.4,143835.4,21081.6,14888.5,5407.6,10.35
Lakhimpur,285569.5,173744.6,60.8,89390.0,11351.5,5604.1,3132.8,6.27
Jorhat,189522.4,53484.5,28.2,30641.9,4786.4,3329.4,223.4,10.87
Biswanath,179149.3,85416.4,47.7,42046.2,8385.4,2472.4,5026.5,5.88
Majuli,124787.7,56971.3,45.7,18565.5,16453.1,1737.1,9338.2,9.36
Karbi Anglong East,728458.8,536195.3,73.6,31021.4,1412.0,1293.6,0.9,4.17
Dimapur,82132.6,82133.6,100.0,15066.8,292.4,277.4,5.1,1.84
Cachar,379585.4,33876.7,8.9,2686.4,194.4,193.1,0.0,7.19
Dima Hasao,490032.4,183193.7,37.4,3178.0,78.3,77.8,0.0,2.45
Peren,178990.1,178988.8,100.0,5983.2,64.4,62.5,0.1,1.04
Imphal East,37755.0,17218.9,45.6,9274.8,48.9,48.6,0.0,0.52
Kangpokpi,182047.1,137849.9,75.7,14518.6,275.0,27.0,14.2,0.19
Papum Pare,341625.6,238226.3,69.7,3664.8,185.7,17.0,22.7,0.46
Imphal West,50355.6,13011.5,25.8,7382.8,2.6,2.6,0.0,0.04
Kamjong,236675.5,766.8,0.3,40.2,57.8,1.8,0.0,4.48
Wokha,149994.5,54090.9,36.1,638.6,8.3,1.7,1.2,0.26
Upper Subansiri,623184.6,119158.1,19.1,27.6,8.5,0.2,26.9,0.58
Lower Subansiri,135499.9,135500.2,100.0,1883.8,0.6,0.1,46.1,0.01
Kurung Kumey,456207.3,19411.9,4.3,3.4,0.0,0.0,0.0,0.0
Tamenglong,293526.1,248337.6,84.6,1189.2,9.3,0.0,4.0,0.0
Ukhrul,224225.4,3944.2,1.8,422.8,0.0,0.0,0.0,0.0
Kohima,144761.2,102219.4,70.6,1798.0,0.0,0.0,0.0,0.0
Kra Daadi,199289.6,158509.0,79.5,24.6,3.9,0.0,0.4,0.0
Hojai,145253.3,7231.8,5.0,979.6,0.0,0.0,0.0,0.0
Senapati,174167.1,100074.4,57.5,3144.3,0.0,0.0,0.0,0.0
Jiribam,14578.0,29.6,0.2,0.0,0.0,0.0,0.0,0.0
Pakke Kessang,211939.7,9.2,0.0,0.0,0.0,0.0,0.0,0.0
Kamle,143443.5,115445.4,80.5,44.1,3.6,0.0,11.8,0.0
