district,district_ha,imaged_ha,imaged_pct_of_district,cropland_ha,flood_ha,flooded_cropland_ha,permanent_water_ha,pct_of_imaged_cropland_flooded
Golaghat,318581.6,310143.9,97.4,143835.4,30901.5,23640.7,5561.6,16.44
Lakhimpur,285569.5,173744.6,60.8,89390.0,18558.1,12052.9,3212.3,13.48
Jorhat,189522.4,53484.5,28.2,30641.9,7940.2,6359.5,226.9,20.75
Biswanath,179149.3,85416.4,47.7,42046.2,10108.4,3780.4,5062.8,8.99
Karbi Anglong East,728458.8,536195.3,73.6,31021.4,2656.2,2435.7,1.8,7.85
Majuli,124787.7,56971.3,45.7,18565.5,17727.0,2340.3,9405.6,12.61
Dimapur,82132.6,82133.6,100.0,15066.8,847.0,801.4,5.7,5.32
Cachar,379585.4,33876.7,8.9,2686.4,488.4,477.0,0.0,17.76
Dima Hasao,490032.4,183193.7,37.4,3178.0,296.3,292.2,0.0,9.19
Peren,178990.1,178988.8,100.0,5983.2,240.2,228.4,0.4,3.82
Imphal East,37755.0,17218.9,45.6,9274.8,165.7,163.9,0.0,1.77
Imphal West,50355.6,13011.5,25.8,7382.8,132.2,131.4,0.0,1.78
Kangpokpi,182047.1,137849.9,75.7,14518.6,365.0,109.4,17.5,0.75
Papum Pare,341625.6,238226.3,69.7,3664.8,350.0,53.0,39.2,1.45
Senapati,174167.1,100074.4,57.5,3144.3,6.8,5.4,0.0,0.17
Ukhrul,224225.4,3944.2,1.8,422.8,3.8,3.7,0.0,0.88
Wokha,149994.5,54090.9,36.1,638.6,14.3,2.7,2.7,0.42
Kamjong,236675.5,766.8,0.3,40.2,58.0,1.8,0.0,4.48
Tamenglong,293526.1,248337.6,84.6,1189.2,21.2,1.5,8.8,0.12
Upper Subansiri,623184.6,119158.1,19.1,27.6,15.4,0.2,37.6,0.72
Lower Subansiri,135499.9,135500.2,100.0,1883.8,8.4,0.2,51.0,0.01
Kurung Kumey,456207.3,19411.9,4.3,3.4,0.0,0.0,0.0,0.0
Kohima,144761.2,102219.4,70.6,1798.0,0.0,0.0,0.0,0.0
Kra Daadi,199289.6,158509.0,79.5,24.6,6.0,0.0,0.5,0.0
Hojai,145253.3,7231.8,5.0,979.6,0.0,0.0,0.0,0.0
Jiribam,14578.0,29.6,0.2,0.0,0.0,0.0,0.0,0.0
Pakke Kessang,211939.7,9.2,0.0,0.0,0.0,0.0,0.0,0.0
Kamle,143443.5,115445.4,80.5,44.1,5.0,0.0,28.2,0.0
