district,district_ha,imaged_ha,imaged_pct_of_district,cropland_ha,flood_ha,flooded_cropland_ha,permanent_water_ha,pct_of_imaged_cropland_flooded
Nagaon,250610.4,250611.0,100.0,128978.4,27345.5,22566.5,1926.0,17.5
Morigaon,150452.6,126946.6,84.4,75690.8,22139.2,17068.8,3497.6,22.55
Sonitpur,347362.6,347362.3,100.0,137015.2,35628.1,9806.3,19464.7,7.16
Hojai,145253.3,145254.4,100.0,72312.0,7983.7,7692.4,249.6,10.64
Biswanath,179149.3,179150.2,100.0,76738.8,17662.2,5632.0,9509.2,7.34
Karbi Anglong East,728458.8,688151.5,94.5,62257.3,3630.2,3612.3,3.5,5.8
Cachar,379585.4,184461.0,48.6,31993.5,4267.2,3403.4,2470.6,10.64
Udalguri,205149.6,66300.3,32.3,35788.6,4246.6,3217.1,45.9,8.99
Golaghat,318581.6,115209.8,36.2,40792.6,9133.3,2704.4,6191.0,6.63
Darrang,164091.1,48778.9,29.7,20794.1,9172.9,1750.2,7335.6,8.42
Karbi Anglong West,309840.6,309838.5,100.0,34892.3,1756.6,1552.1,442.8,4.45
Lakhimpur,285569.5,76104.7,26.7,37543.4,2906.2,565.5,1370.3,1.51
Dima Hasao,490032.4,490037.0,100.0,11250.6,1247.0,481.3,1686.8,4.28
Majuli,124787.7,13747.8,11.0,3935.8,4138.5,259.4,2730.2,6.59
Kamrup Metropolitan,112888.6,2246.2,2.0,1155.0,263.0,255.3,12.6,22.11
Karimganj,184621.3,8698.4,4.7,4018.0,261.8,210.6,66.2,5.24
Dimapur,82132.6,13767.6,16.8,5004.5,88.8,88.5,0.0,1.77
East Jaintia Hills,207186.1,207184.5,100.0,5845.8,78.1,17.8,194.3,0.3
Papum Pare,341625.6,324615.8,95.0,3853.0,214.1,10.6,23.8,0.28
West Jaintia Hills,172378.4,133128.1,77.2,13051.8,64.9,10.4,145.2,0.08
Pakke Kessang,211939.7,211940.4,100.0,1441.0,132.1,8.1,23.0,0.56
Peren,178990.1,80873.3,45.2,2242.0,5.6,4.6,0.0,0.2
East Kameng,445550.3,445549.6,100.0,226.0,959.8,2.2,153.3,0.97
Ribhoi,244975.1,16074.4,6.6,548.9,2.1,1.8,0.2,0.32
Lower Subansiri,135499.9,135500.2,100.0,1883.8,5.6,0.7,49.7,0.04
Hailakandi,129020.0,595.6,0.5,155.0,17.5,0.6,29.2,0.36
West Kameng,508025.5,447195.1,88.0,1049.0,600.9,0.2,132.4,0.02
Upper Subansiri,623184.6,49648.5,8.0,6.9,10.9,0.0,11.0,0.0
Kurung Kumey,456207.3,406194.6,89.0,72.1,534.8,0.0,81.6,0.0
Tawang,231122.4,58391.8,25.3,0.0,1068.7,0.0,139.2,0.0
Tamenglong,293526.1,92631.0,31.6,228.6,18.7,0.0,8.4,0.02
East Khasi Hills,275390.0,585.8,0.2,42.1,0.0,0.0,0.0,0.0
Kra Daadi,199289.6,160819.8,80.7,24.6,0.4,0.0,2.3,0.0
Jiribam,14578.0,29.6,0.2,0.0,0.0,0.0,0.0,0.0
Kamle,143443.5,67280.0,46.9,40.4,10.6,0.0,36.1,0.0
