chip_id,dry_vh_median,dx,dy,water_already_dark_dry,water_already_dark_july
1017769,-18.44,1,1,0.8335,0.9615
1018317,-22.23,10,3,0.9765,0.9908
1018327,-12.76,-2,0,0.2633,0.5252
103447,-17.15,-11,-1,0.8413,0.8629
1050276,-14.14,0,0,0.247,0.7218
1068117,-13.0,-3,0,0.2806,0.8001
1072277,-13.03,1,0,0.0641,0.4533
118868,-12.78,-2,1,0.062,0.1908
135434,-14.86,-10,-1,0.7981,0.8731
136196,-12.67,0,1,,
164336,-13.0,0,0,0.1372,0.2626
166709,-15.0,-4,0,0.3532,0.3009
177319,-12.59,-8,-1,0.0485,0.1594
179238,-15.12,-11,-1,0.2605,0.4005
180633,-17.47,-7,0,0.8706,0.9544
207862,-13.19,2,0,0.0601,0.4117
244057,-12.54,3,1,,
25540,-13.06,-4,-1,0.2772,0.7928
265762,-13.62,-1,0,0.1231,0.3358
273873,-12.97,-2,1,0.3284,0.2318
285297,-13.12,3,1,0.0447,0.4281
287642,-14.79,0,0,0.2372,0.8412
324254,-12.31,-2,0,0.1533,0.2249
373039,-12.31,1,1,0.3603,0.3119
383430,-13.9,-4,0,0.1298,0.4915
391908,-14.22,1,0,0.3431,0.6105
399883,-17.25,-6,0,0.7202,0.9248
44475,-12.13,5,2,,
500266,-14.03,-2,0,0.1284,0.7925
533192,-16.87,-2,0,0.7752,0.9306
534470,-14.29,-3,0,0.4834,0.143
56450,-12.54,-4,0,,
566697,-15.11,-10,-1,0.3414,0.5105
570384,-13.02,-2,0,0.3756,0.6263
591317,-16.73,3,1,0.9033,0.9582
591549,-14.12,-5,0,0.1233,0.2131
592446,-12.38,-5,0,0.6593,0.7022
59460,-11.72,6,2,,
624341,-12.54,-2,0,0.4076,0.3902
631692,-12.06,-2,0,0.2893,0.3666
652725,-13.88,-3,0,0.2259,0.5976
664410,-14.21,-1,0,0.344,0.5498
691027,-12.72,-2,1,0.3134,0.4173
698338,-14.4,0,1,0.6806,0.6915
70352,-13.63,-2,0,0.7344,0.8763
707886,-12.99,-3,0,0.802,0.8917
73419,-13.48,0,1,0.0687,0.224
747970,-12.33,-3,0,0.5318,0.6237
747992,-13.63,-2,0,0.0857,0.4602
764946,-11.71,-4,0,0.5421,0.741
769408,-15.76,-9,-1,0.4219,0.5542
772630,-12.33,1,1,0.2946,0.2641
773682,-15.93,-4,0,0.3582,0.79
774689,-14.04,11,3,0.2507,0.4287
79637,-13.25,0,0,0.176,0.3073
80221,-21.0,11,3,0.9333,0.9746
804466,-13.7,-1,0,0.1245,0.4252
828067,-12.83,-2,1,0.4129,0.4924
833266,-12.61,-3,0,0.0325,0.6115
842775,-13.82,-2,0,0.0801,0.466
869358,-13.47,-1,0,0.3362,0.5278
900498,-16.85,-3,0,0.7659,0.957
91379,-13.77,-2,0,0.1656,0.2579
943439,-13.81,-3,1,0.2134,0.6845
952728,-14.99,-2,0,0.2553,0.8199
956930,-14.19,-1,0,0.1625,0.7152
979278,-13.7,0,0,0.5858,0.6494
981708,-12.26,-2,1,0.0278,0.2622
