section,key,value
labels_on_permanent,occ_ge_10,0.5436
labels_on_permanent,occ_ge_25,0.4464
labels_on_permanent,occ_ge_50,0.1981
labels_on_permanent,occ_ge_70,0.0627
labels_on_permanent,occ_ge_80,0.0361
labels_on_permanent,occ_ge_90,0.0179
permanent_labelled_water,occ_ge_10,0.6298
permanent_labelled_water,occ_ge_25,0.8098
permanent_labelled_water,occ_ge_50,0.9496
permanent_labelled_water,occ_ge_70,0.9725
permanent_labelled_water,occ_ge_80,0.9750
permanent_labelled_water,occ_ge_90,0.9965
slope_2.0,masked_frac,0.458
slope_2.0,iou_all,0.4801
slope_2.0,p_all,0.6662
slope_2.0,r_all,0.6321
slope_2.0,area_ha,17536.7
slope_2.0,iou_train,0.3361
slope_2.0,iou_valid,0.5476
slope_2.0,iou_test,0.6289
slope_3.0,masked_frac,0.395
slope_3.0,iou_all,0.4912
slope_3.0,p_all,0.6635
slope_3.0,r_all,0.6541
slope_3.0,area_ha,18220.6
slope_3.0,iou_train,0.3428
slope_3.0,iou_valid,0.5581
slope_3.0,iou_test,0.6482
slope_5.0,masked_frac,0.3131
slope_5.0,iou_all,0.5016
slope_5.0,p_all,0.6628
slope_5.0,r_all,0.6733
slope_5.0,area_ha,18775.9
slope_5.0,iou_train,0.3485
slope_5.0,iou_valid,0.5697
slope_5.0,iou_test,0.6652
slope_8.0,masked_frac,0.2306
slope_8.0,iou_all,0.5084
slope_8.0,p_all,0.6621
slope_8.0,r_all,0.6865
slope_8.0,area_ha,19164.3
slope_8.0,iou_train,0.3517
slope_8.0,iou_valid,0.5778
slope_8.0,iou_test,0.677
slope_10.0,masked_frac,0.1918
slope_10.0,iou_all,0.5112
slope_10.0,p_all,0.6619
slope_10.0,r_all,0.6919
slope_10.0,area_ha,19322.1
slope_10.0,iou_train,0.3527
slope_10.0,iou_valid,0.5816
slope_10.0,iou_test,0.6818
slope_15.0,masked_frac,0.1298
slope_15.0,iou_all,0.5163
slope_15.0,p_all,0.6613
slope_15.0,r_all,0.7018
slope_15.0,area_ha,19616.0
slope_15.0,iou_train,0.3539
slope_15.0,iou_valid,0.5886
slope_15.0,iou_test,0.691
slope_20.0,masked_frac,0.0947
slope_20.0,iou_all,0.5184
slope_20.0,p_all,0.6604
slope_20.0,r_all,0.7069
slope_20.0,area_ha,19785.2
slope_20.0,iou_train,0.3537
slope_20.0,iou_valid,0.5914
slope_20.0,iou_test,0.6963
slope_90.0,masked_frac,0.0
slope_90.0,iou_all,0.5149
slope_90.0,p_all,0.6525
slope_90.0,r_all,0.7095
slope_90.0,area_ha,20096.6
slope_90.0,iou_train,0.349
slope_90.0,iou_valid,0.5887
slope_90.0,iou_test,0.6965
occurrence_10,predicted_ha,19785.2
occurrence_10,flood_only_ha,8893.1
occurrence_10,truth_flood_only_ha,8436.3
occurrence_25,predicted_ha,19785.2
occurrence_25,flood_only_ha,10904.4
occurrence_25,truth_flood_only_ha,10232.7
occurrence_50,predicted_ha,19785.2
occurrence_50,flood_only_ha,16094.0
occurrence_50,truth_flood_only_ha,14821.9
occurrence_70,predicted_ha,19785.2
occurrence_70,flood_only_ha,18623.8
occurrence_70,truth_flood_only_ha,17324.2
occurrence_80,predicted_ha,19785.2
occurrence_80,flood_only_ha,19113.6
occurrence_80,truth_flood_only_ha,17816.6
occurrence_90,predicted_ha,19785.2
occurrence_90,flood_only_ha,19457.7
occurrence_90,truth_flood_only_ha,18152.9
