threshold,iou_train,iou_valid,iou_test,iou_all,p_all,r_all,f1_all,area_ha,flood_only_ha,area_err
-24.0,0.0041,0.1153,0.0672,0.0544,0.8288,0.0551,0.1032,1227.7,1725.7,-0.9336
-23.75,0.0068,0.1521,0.0915,0.0735,0.8533,0.0744,0.1369,1611.8,2017.5,-0.9128
-23.5,0.0108,0.1939,0.1202,0.0958,0.8701,0.0972,0.1749,2065.4,2356.1,-0.8883
-23.25,0.0166,0.2382,0.1527,0.121,0.8807,0.123,0.2158,2580.9,2739.8,-0.8604
-23.0,0.0245,0.2825,0.1897,0.1486,0.887,0.1515,0.2588,3157.5,3161.6,-0.8292
-22.75,0.0348,0.3255,0.2311,0.1785,0.8907,0.1825,0.303,3787.7,3616.0,-0.7951
-22.5,0.0476,0.3643,0.2758,0.2095,0.8922,0.215,0.3465,4453.6,4093.6,-0.759
-22.25,0.0636,0.3988,0.3233,0.2418,0.8926,0.2491,0.3895,5157.7,4602.5,-0.721
-22.0,0.082,0.4299,0.3725,0.2748,0.8915,0.2843,0.4311,5894.2,5144.8,-0.6811
-21.75,0.1024,0.4567,0.421,0.3072,0.8894,0.3194,0.4701,6638.3,5711.4,-0.6408
-21.5,0.1247,0.4803,0.4658,0.3382,0.886,0.3535,0.5054,7375.0,6305.0,-0.601
-21.25,0.1476,0.5018,0.5062,0.3671,0.8818,0.3861,0.537,8092.9,6918.1,-0.5621
-21.0,0.1707,0.5215,0.5409,0.3934,0.8765,0.4165,0.5647,8783.1,7542.0,-0.5248
-20.75,0.1932,0.54,0.5692,0.4168,0.8704,0.4444,0.5884,9437.1,8170.3,-0.4894
-20.5,0.2147,0.5566,0.5915,0.437,0.8635,0.4694,0.6082,10047.8,8785.4,-0.4564
-20.25,0.2347,0.5714,0.61,0.4546,0.8558,0.4923,0.625,10632.3,9403.5,-0.4248
-20.0,0.2532,0.5841,0.626,0.4701,0.8472,0.5136,0.6395,11205.0,10024.3,-0.3938
-19.75,0.2706,0.594,0.6398,0.4834,0.8374,0.5335,0.6518,11775.3,10660.0,-0.3629
-19.5,0.2867,0.6014,0.6518,0.4949,0.826,0.5525,0.6621,12362.6,11326.7,-0.3312
-19.25,0.3012,0.6067,0.6627,0.5045,0.8127,0.5709,0.6706,12984.7,12034.0,-0.2975
-19.0,0.3143,0.6102,0.6724,0.5125,0.7973,0.5893,0.6777,13660.4,12803.8,-0.2609
-18.75,0.3258,0.6118,0.6805,0.5186,0.7797,0.6076,0.683,14405.3,13659.0,-0.2206
-18.5,0.3354,0.6116,0.6874,0.5228,0.7597,0.6264,0.6867,15239.4,14616.9,-0.1755
-18.25,0.3429,0.6093,0.6927,0.5249,0.7376,0.6454,0.6885,16172.6,15690.1,-0.125
-18.0,0.348,0.6055,0.6963,0.5249,0.7135,0.665,0.6884,17226.6,16912.2,-0.068
-17.75,0.3502,0.5994,0.6978,0.5221,0.6872,0.6849,0.686,18421.5,18297.1,-0.0033
-17.5,0.3495,0.5909,0.697,0.5165,0.6589,0.705,0.6812,19776.3,19870.4,0.07
-17.25,0.3458,0.58,0.6935,0.5081,0.6292,0.7252,0.6738,21303.8,21650.5,0.1526
-17.0,0.3396,0.5666,0.6874,0.497,0.5986,0.7456,0.664,23023.8,23656.1,0.2457
-16.75,0.3305,0.5506,0.6784,0.4831,0.5669,0.7657,0.6515,24962.5,25916.9,0.3505
-16.5,0.3196,0.5324,0.6668,0.4671,0.5355,0.7854,0.6368,27110.2,28429.5,0.4667
-16.25,0.3067,0.5123,0.6526,0.449,0.504,0.8044,0.6197,29500.0,31236.2,0.596
-16.0,0.2928,0.4912,0.6357,0.4296,0.4733,0.8231,0.601,32146.2,34352.8,0.7392
-15.75,0.278,0.469,0.6161,0.409,0.4433,0.8409,0.5805,35063.5,37794.4,0.897
-15.5,0.2626,0.4463,0.5947,0.3878,0.4144,0.8577,0.5588,38252.4,41568.9,1.0696
-15.25,0.2474,0.4233,0.5715,0.3664,0.3869,0.8736,0.5363,41730.9,45693.9,1.2578
-15.0,0.2323,0.4003,0.5467,0.3452,0.3608,0.8883,0.5132,45502.6,50176.3,1.4618
-14.75,0.2177,0.3775,0.5211,0.3243,0.3361,0.9019,0.4897,49591.8,55035.4,1.683
-14.5,0.2036,0.3552,0.4948,0.304,0.3129,0.9143,0.4663,54002.5,60276.0,1.9217
-14.25,0.1902,0.3329,0.4683,0.2844,0.2911,0.9257,0.4429,58782.7,65950.8,2.1803
-14.0,0.1774,0.3112,0.4414,0.2656,0.2706,0.9357,0.4198,63920.3,72035.1,2.4583
-13.75,0.1655,0.2904,0.4151,0.2479,0.2515,0.9448,0.3973,69433.8,78537.8,2.7566
-13.5,0.1545,0.2705,0.3895,0.2312,0.2339,0.9526,0.3756,75277.7,85409.5,3.0727
-13.25,0.1445,0.2521,0.3654,0.2159,0.2179,0.9594,0.3552,81375.5,92553.1,3.4026
-13.0,0.1355,0.2354,0.3429,0.2021,0.2036,0.9654,0.3363,87632.7,99851.7,3.7412
-12.75,0.1276,0.2206,0.3224,0.1899,0.191,0.9704,0.3192,93912.5,107157.5,4.0809
-12.5,0.1206,0.2075,0.304,0.1791,0.1799,0.9747,0.3038,100123.7,114360.3,4.417
-12.25,0.1146,0.1965,0.2879,0.1698,0.1705,0.9782,0.2903,106070.8,121247.4,4.7387
-12.0,0.1096,0.1872,0.274,0.1619,0.1624,0.9812,0.2787,111638.0,127681.2,5.0399
