product,threshold,iou_train,iou_valid,iou_test,iou_all,p_all,r_all,area_ha
rtc_lee,-28.0,0.0001,0.0126,0.0,0.0031,0.2823,0.0031,203.7
rtc_lee,-27.75,0.0001,0.0126,0.0,0.0031,0.2821,0.0031,204.4
rtc_lee,-27.5,0.0001,0.0127,0.0,0.0031,0.2824,0.0031,205.2
rtc_lee,-27.25,0.0001,0.0128,0.0,0.0031,0.2831,0.0032,206.3
rtc_lee,-27.0,0.0001,0.0128,0.0001,0.0032,0.2844,0.0032,207.7
rtc_lee,-26.75,0.0001,0.013,0.0001,0.0032,0.2879,0.0033,209.5
rtc_lee,-26.5,0.0001,0.0132,0.0003,0.0034,0.2943,0.0034,212.4
rtc_lee,-26.25,0.0001,0.0136,0.0006,0.0036,0.3071,0.0036,217.4
rtc_lee,-26.0,0.0001,0.0144,0.0013,0.004,0.3309,0.0041,226.7
rtc_lee,-25.75,0.0001,0.016,0.0024,0.0048,0.371,0.0049,243.1
rtc_lee,-25.5,0.0002,0.0187,0.0045,0.0063,0.4296,0.0063,271.6
rtc_lee,-25.25,0.0003,0.023,0.0078,0.0086,0.504,0.0087,318.0
rtc_lee,-25.0,0.0004,0.0302,0.0133,0.0124,0.588,0.0125,393.5
rtc_lee,-24.75,0.0007,0.0421,0.0213,0.0183,0.6698,0.0185,510.6
rtc_lee,-24.5,0.0012,0.0597,0.0326,0.027,0.7384,0.0272,681.6
rtc_lee,-24.25,0.0023,0.0838,0.0476,0.0388,0.7909,0.0392,917.1
rtc_lee,-24.0,0.0041,0.1153,0.0672,0.0544,0.8288,0.0551,1227.7
rtc_lee,-23.75,0.0068,0.1521,0.0915,0.0735,0.8533,0.0744,1611.8
rtc_lee,-23.5,0.0108,0.1939,0.1202,0.0958,0.8701,0.0972,2065.4
rtc_lee,-23.25,0.0166,0.2382,0.1527,0.121,0.8807,0.123,2580.9
rtc_lee,-23.0,0.0245,0.2825,0.1897,0.1486,0.887,0.1515,3157.5
rtc_lee,-22.75,0.0348,0.3255,0.2311,0.1785,0.8907,0.1825,3787.7
rtc_lee,-22.5,0.0476,0.3643,0.2758,0.2095,0.8922,0.215,4453.6
rtc_lee,-22.25,0.0636,0.3988,0.3233,0.2418,0.8926,0.2491,5157.7
rtc_lee,-22.0,0.082,0.4299,0.3725,0.2748,0.8915,0.2843,5894.2
rtc_lee,-21.75,0.1024,0.4567,0.421,0.3072,0.8894,0.3194,6638.3
rtc_lee,-21.5,0.1247,0.4803,0.4658,0.3382,0.886,0.3535,7375.0
rtc_lee,-21.25,0.1476,0.5018,0.5062,0.3671,0.8818,0.3861,8092.9
rtc_lee,-21.0,0.1707,0.5215,0.5409,0.3934,0.8765,0.4165,8783.1
rtc_lee,-20.75,0.1932,0.54,0.5692,0.4168,0.8704,0.4444,9437.1
rtc_lee,-20.5,0.2147,0.5566,0.5915,0.437,0.8635,0.4694,10047.8
rtc_lee,-20.25,0.2347,0.5714,0.61,0.4546,0.8558,0.4923,10632.3
rtc_lee,-20.0,0.2532,0.5841,0.626,0.4701,0.8472,0.5136,11205.0
rtc_lee,-19.75,0.2706,0.594,0.6398,0.4834,0.8374,0.5335,11775.3
rtc_lee,-19.5,0.2867,0.6014,0.6518,0.4949,0.826,0.5525,12362.6
rtc_lee,-19.25,0.3012,0.6067,0.6627,0.5045,0.8127,0.5709,12984.7
rtc_lee,-19.0,0.3143,0.6102,0.6724,0.5125,0.7973,0.5893,13660.4
rtc_lee,-18.75,0.3258,0.6118,0.6805,0.5186,0.7797,0.6076,14405.3
rtc_lee,-18.5,0.3354,0.6116,0.6874,0.5228,0.7597,0.6264,15239.4
rtc_lee,-18.25,0.3429,0.6093,0.6927,0.5249,0.7376,0.6454,16172.6
rtc_lee,-18.0,0.348,0.6055,0.6963,0.5249,0.7135,0.665,17226.6
rtc_lee,-17.75,0.3502,0.5994,0.6978,0.5221,0.6872,0.6849,18421.5
