chip_id,FLOODRTC_nan_frac,FLOODRTC_vh_median,FLOODRTC_vv_median,REF_nan_frac,REF_vh_median,REF_vv_median,vh_bias_db,vh_corr_vs_S1Hand
1017769,0.0,-19.79,-14.92,0.0,-20.28,-17.88,3.71,0.7793
1018317,0.0,-22.61,-19.15,0.0,-22.63,-19.0,3.82,0.6804
1018327,0.0,-13.9,-7.87,0.0,-13.67,-7.82,1.34,0.6187
103447,0.0,-15.05,-8.41,0.0,-15.84,-9.36,1.69,0.5321
1050276,0.0,-14.89,-8.25,0.0,-15.43,-8.65,1.47,0.9046
1068117,0.0,-14.27,-7.91,0.0,-15.66,-9.46,1.44,0.5821
1072277,0.0,-14.55,-7.99,0.0,-14.31,-8.16,1.38,0.737
118868,0.2558,-13.79,-7.7,0.2641,-13.28,-7.21,1.1,0.5818
135434,0.0,-14.47,-8.2,0.0,-13.79,-7.84,1.5,0.4927
136196,0.0,-12.47,-6.25,0.0,-11.78,-5.73,1.94,0.4625
164336,0.0,-13.8,-7.54,0.0,-13.93,-7.68,1.13,0.7504
166709,0.0,-14.14,-7.7,0.0,-13.81,-7.89,1.24,0.3502
177319,0.0,-12.63,-6.67,0.0,-12.55,-6.7,1.31,-0.0291
179238,0.0,-14.71,-8.07,0.0,-15.05,-8.83,1.5,0.1607
180633,0.0,-15.92,-9.74,0.0,-17.84,-11.4,2.28,0.7536
207862,0.0,-13.88,-7.73,0.0,-13.85,-7.68,1.41,0.7377
244057,0.0,-12.52,-5.89,0.0,-11.84,-5.43,0.04,0.3464
25540,0.0,-14.0,-7.6,0.0,-13.24,-7.13,0.98,0.3445
265762,0.0,-14.67,-8.05,0.0,-14.97,-8.37,1.35,0.7385
273873,0.0,-12.79,-6.61,0.0,-12.15,-6.13,1.29,0.1937
285297,0.0,-14.93,-8.32,0.0,-14.71,-8.43,1.55,0.6329
287642,0.0,-16.29,-8.86,0.0,-17.26,-10.15,1.61,0.9085
324254,0.0,-12.75,-6.48,0.0,-12.55,-6.46,1.02,0.5269
373039,0.0,-12.42,-6.31,0.0,-11.57,-5.47,2.01,0.4292
383430,0.0,-13.13,-7.42,0.0,-13.5,-7.99,1.23,0.4881
391908,0.0,-14.27,-7.75,0.0,-15.3,-8.07,1.38,0.8611
399883,0.0,-19.83,-14.25,0.0,-20.31,-16.83,2.95,0.7332
44475,0.0,-12.24,-6.13,0.0,-12.33,-6.36,1.05,0.1077
500266,0.0,-15.05,-8.04,0.0,-16.97,-9.67,1.45,0.6605
533192,0.2715,-17.8,-11.02,0.2797,-19.51,-16.94,2.14,0.8024
534470,0.0,-13.12,-7.09,0.0,-13.69,-7.52,1.25,0.3586
56450,0.0,-13.46,-7.26,0.0,-12.74,-6.58,1.17,0.2166
566697,0.0,-14.5,-7.9,0.0,-14.25,-8.14,1.69,0.2985
570384,0.0,-13.57,-7.44,0.0,-13.05,-7.19,1.4,0.631
591317,0.0,-16.75,-10.55,0.0,-17.47,-11.24,2.8,0.8077
591549,0.0,-13.54,-7.5,0.0,-13.71,-7.71,1.15,0.2838
592446,0.0,-13.16,-7.16,0.0,-12.87,-6.82,1.44,0.335
59460,0.0,-12.15,-6.3,0.0,-11.94,-6.12,1.84,0.1083
624341,0.0,-13.24,-6.83,0.0,-12.71,-6.54,1.09,0.5235
631692,0.0,-12.56,-6.13,0.0,-12.46,-6.07,1.21,0.3394
652725,0.0,-14.83,-7.79,0.0,-14.84,-8.4,1.42,0.5162
664410,0.0,-15.53,-8.27,0.0,-16.23,-8.99,1.5,0.7597
691027,0.0,-13.34,-7.21,0.0,-12.76,-6.77,1.13,0.534
698338,0.0,-14.11,-7.7,0.0,-14.15,-7.86,1.22,0.8386
70352,0.0,-13.24,-7.62,0.0,-13.24,-7.62,1.49,0.6618
707886,0.0,-12.94,-7.09,0.0,-13.44,-7.5,1.28,0.3882
73419,0.0,-13.91,-7.5,0.0,-14.51,-8.23,1.21,0.835
747970,0.0,-12.5,-6.31,0.0,-12.92,-6.64,1.18,0.3375
747992,0.0,-16.57,-9.24,0.0,-16.08,-9.13,2.2,0.6945
764946,0.0,-12.62,-6.67,0.0,-13.04,-7.01,1.25,0.1243
769408,0.0,-14.56,-7.64,0.0,-14.28,-7.57,1.41,0.1779
772630,0.0,-12.22,-5.85,0.0,-11.53,-5.16,1.15,0.4562
773682,0.0,-14.6,-7.68,0.0,-16.55,-9.78,1.46,0.3682
774689,0.0,-14.34,-7.73,0.0,-14.29,-7.82,1.51,0.2542
79637,0.0,-14.4,-7.98,0.0,-14.67,-8.23,1.28,0.8143
80221,0.0,-22.1,-17.23,0.0,-22.11,-18.87,3.19,0.7793
804466,0.0,-15.15,-7.94,0.0,-15.08,-8.57,1.59,0.815
828067,0.0,-13.21,-7.23,0.0,-12.68,-6.82,1.12,0.4435
833266,0.0,-14.29,-7.95,0.0,-14.62,-8.5,1.31,0.5077
842775,0.0,-14.27,-7.99,0.0,-15.53,-8.57,1.24,0.662
869358,0.0,-14.92,-8.3,0.0,-15.15,-8.49,1.47,0.8331
900498,0.0,-18.61,-11.47,0.0,-20.42,-17.93,2.75,0.7291
91379,0.0,-15.39,-8.1,0.0,-15.72,-9.3,1.58,0.6008
943439,0.0,-13.45,-7.97,0.0,-13.79,-8.17,1.41,0.7198
952728,0.0,-14.22,-7.89,0.0,-16.89,-10.68,1.26,0.5734
956930,0.0,-13.68,-7.96,0.0,-15.53,-8.2,1.41,0.8905
979278,0.0,-14.94,-7.62,0.0,-15.56,-7.9,1.47,0.9215
981708,0.0418,-14.04,-7.65,0.0468,-13.55,-7.12,1.21,0.6559
