slope_max_deg,occurrence_permanent_min,edge_buffer_px,edge_buffer_m,flood_ha,is_published
2.0,10,0,0,40088.0,0
2.0,10,10,200,38721.1,0
2.0,10,20,400,37204.8,0
2.0,10,30,600,35386.1,0
2.0,10,45,900,35257.3,0
2.0,10,65,1300,35187.1,0
2.0,25,0,0,59760.0,0
2.0,25,10,200,58267.8,0
2.0,25,20,400,56632.2,0
2.0,25,30,600,54621.6,0
2.0,25,45,900,54346.2,0
2.0,25,65,1300,54085.3,0
2.0,50,0,0,110991.1,0
2.0,50,10,200,109251.4,0
2.0,50,20,400,107372.8,0
2.0,50,30,600,104958.3,0
2.0,50,45,900,104306.7,0
2.0,50,65,1300,103667.6,0
2.0,70,0,0,151361.4,0
2.0,70,10,200,149466.6,0
2.0,70,20,400,147427.4,0
2.0,70,30,600,144726.5,0
2.0,70,45,900,143834.1,0
2.0,70,65,1300,142944.3,0
2.0,80,0,0,160417.2,0
2.0,80,10,200,158494.1,0
2.0,80,20,400,156426.4,0
2.0,80,30,600,153673.7,0
2.0,80,45,900,152728.4,0
2.0,80,65,1300,151781.8,0
2.0,101,0,0,168028.1,0
2.0,101,10,200,166080.7,0
2.0,101,20,400,163989.6,0
2.0,101,30,600,161189.6,0
2.0,101,45,900,160208.8,0
2.0,101,65,1300,159209.1,0
5.0,10,0,0,48328.8,0
5.0,10,10,200,46038.2,0
5.0,10,20,400,43496.8,0
5.0,10,30,600,40438.2,0
5.0,10,45,900,40194.2,0
5.0,10,65,1300,40070.7,0
5.0,25,0,0,69901.1,0
5.0,25,10,200,67471.4,0
5.0,25,20,400,64796.3,0
5.0,25,30,600,61522.4,0
5.0,25,45,900,61115.4,0
5.0,25,65,1300,60783.3,0
5.0,50,0,0,124282.2,0
5.0,50,10,200,121592.5,0
5.0,50,20,400,118664.3,0
5.0,50,30,600,114965.1,0
5.0,50,45,900,114163.8,0
5.0,50,65,1300,113438.3,0
5.0,70,0,0,165660.1,0
5.0,70,10,200,162814.2,0
5.0,70,20,400,159722.6,0
5.0,70,30,600,155731.6,0
5.0,70,45,900,154686.7,0
5.0,70,65,1300,153705.2,0
5.0,80,0,0,174850.8,0
5.0,80,10,200,171975.7,0
5.0,80,20,400,168854.9,0
5.0,80,30,600,164811.3,0
5.0,80,45,900,163713.2,0
5.0,80,65,1300,162674.2,0
5.0,101,0,0,182554.0,0
5.0,101,10,200,179654.2,0
5.0,101,20,400,176509.7,0
5.0,101,30,600,172418.1,0
5.0,101,45,900,171284.4,0
5.0,101,65,1300,170192.0,0
8.0,10,0,0,56006.6,0
8.0,10,10,200,53160.3,0
8.0,10,20,400,50057.4,0
8.0,10,30,600,46295.6,0
8.0,10,45,900,45922.4,0
8.0,10,65,1300,45718.8,0
8.0,25,0,0,78351.7,0
8.0,25,10,200,75361.4,0
8.0,25,20,400,72118.7,0
8.0,25,30,600,68130.3,0
8.0,25,45,900,67581.4,0
8.0,25,65,1300,67160.1,0
8.0,50,0,0,134020.6,0
8.0,50,10,200,130763.2,0
8.0,50,20,400,127262.1,0
8.0,50,30,600,122831.6,1
8.0,50,45,900,121877.1,0
8.0,50,65,1300,121051.0,0
8.0,70,0,0,175835.8,0
8.0,70,10,200,172421.4,0
8.0,70,20,400,168755.1,0
8.0,70,30,600,164026.6,0
8.0,70,45,900,162825.4,0
8.0,70,65,1300,161738.9,0
8.0,80,0,0,185072.2,0
8.0,80,10,200,181628.3,0
8.0,80,20,400,177932.1,0
8.0,80,30,600,173150.4,0
8.0,80,45,900,171895.7,0
8.0,80,65,1300,170751.4,0
8.0,101,0,0,192824.4,0
8.0,101,10,200,189355.2,0
8.0,101,20,400,185635.0,0
8.0,101,30,600,180804.9,0
8.0,101,45,900,179514.2,0
8.0,101,65,1300,178316.2,0
12.0,10,0,0,65857.0,0
12.0,10,10,200,62448.6,0
12.0,10,20,400,58812.6,0
12.0,10,30,600,54446.0,0
12.0,10,45,900,53868.1,0
12.0,10,65,1300,53519.7,0
12.0,25,0,0,88621.6,0
12.0,25,10,200,85067.9,0
12.0,25,20,400,81290.6,0
12.0,25,30,600,76693.2,0
12.0,25,45,900,75933.9,0
12.0,25,65,1300,75360.1,0
12.0,50,0,0,144913.2,0
12.0,50,10,200,141090.8,0
12.0,50,20,400,137053.6,0
12.0,50,30,600,132008.7,0
12.0,50,45,900,130837.2,0
12.0,50,65,1300,129852.2,0
12.0,70,0,0,186921.3,0
12.0,70,10,200,182941.4,0
12.0,70,20,400,178738.8,0
12.0,70,30,600,173394.7,0
12.0,70,45,900,171975.9,0
12.0,70,65,1300,170729.9,0
12.0,80,0,0,196175.4,0
12.0,80,10,200,192165.9,0
12.0,80,20,400,187933.3,0
12.0,80,30,600,182535.8,0
12.0,80,45,900,181063.4,0
12.0,80,65,1300,179759.5,0
12.0,101,0,0,203976.1,0
12.0,101,10,200,199941.0,0
12.0,101,20,400,195684.0,0
12.0,101,30,600,190237.9,0
12.0,101,45,900,188729.4,0
12.0,101,65,1300,187371.5,0
20.0,10,0,0,83018.5,0
20.0,10,10,200,78450.4,0
20.0,10,20,400,73763.5,0
20.0,10,30,600,68347.8,0
20.0,10,45,900,67308.6,0
20.0,10,65,1300,66666.0,0
20.0,25,0,0,105902.4,0
20.0,25,10,200,101188.6,0
20.0,25,20,400,96360.1,0
20.0,25,30,600,90713.0,0
20.0,25,45,900,89491.8,0
20.0,25,65,1300,88622.3,0
20.0,50,0,0,162347.3,0
20.0,50,10,200,157364.4,0
20.0,50,20,400,152275.4,0
20.0,50,30,600,146180.4,0
20.0,50,45,900,144546.4,0
20.0,50,65,1300,143265.1,0
20.0,70,0,0,204390.2,0
20.0,70,10,200,199249.7,0
20.0,70,20,400,193994.8,0
20.0,70,30,600,187600.3,0
20.0,70,45,900,185718.6,0
20.0,70,65,1300,184176.2,0
20.0,80,0,0,213652.4,0
20.0,80,10,200,208481.9,0
20.0,80,20,400,203196.7,0
20.0,80,30,600,196748.8,0
