chip_id,abs_dx,corr_after,dx,dy,elev_mean,elev_range,elev_sd,slope_mean,slope_p95
1017769,1,0.9595,1,1,65.8,150.3,12.2,1.35,8.58
1018317,10,0.9696,10,3,61.9,16.7,2.8,1.24,7.89
1018327,2,0.9621,-2,0,84.7,28.4,4.3,3.71,14.11
103447,11,0.9814,-11,-1,81.9,29.6,4.6,2.45,11.01
1050276,0,0.9747,0,0,58.0,32.4,3.0,2.78,12.31
1068117,3,0.9697,-3,0,81.0,37.8,6.5,3.16,12.92
1072277,1,0.8971,1,0,105.1,231.2,45.0,7.8,33.67
118868,2,0.8573,-2,1,149.6,146.8,27.8,8.32,26.08
135434,10,0.9795,-10,-1,97.7,28.1,4.1,2.47,9.2
136196,0,0.5293,0,1,1330.3,950.3,200.7,23.14,49.29
164336,0,0.7752,0,0,207.2,449.3,120.5,13.29,40.05
166709,4,0.9445,-4,0,106.6,43.8,7.7,2.61,9.62
177319,8,0.3652,-8,-1,137.6,365.2,55.4,13.0,34.71
179238,11,0.969,-11,-1,116.4,45.7,9.3,1.9,7.52
180633,7,0.9827,-7,0,71.8,27.0,4.9,1.71,9.45
207862,2,0.9757,2,0,63.2,25.6,4.4,3.37,13.67
244057,3,0.601,3,1,1608.7,858.8,180.4,23.99,50.24
25540,4,0.7246,-4,-1,159.5,410.0,91.0,14.17,41.83
265762,1,0.9664,-1,0,91.7,20.8,2.7,2.85,10.74
273873,2,0.172,-2,1,626.1,899.9,173.1,29.87,59.25
285297,3,0.9734,3,1,61.9,24.4,3.6,3.27,14.12
287642,0,0.976,0,0,60.6,20.6,2.4,3.01,11.55
324254,2,0.8058,-2,0,209.8,283.9,75.5,10.78,29.93
373039,1,0.5878,1,1,807.2,1047.8,230.4,31.44,56.77
383430,4,0.9724,-4,0,74.8,21.0,2.4,2.33,9.69
391908,1,0.9672,1,0,58.1,22.7,2.4,2.01,9.72
399883,6,0.979,-6,0,69.5,28.9,3.9,1.42,9.77
44475,5,0.7002,5,2,476.1,560.0,137.8,17.52,39.27
500266,2,0.9801,-2,0,60.3,18.8,2.6,2.7,11.37
533192,2,0.9696,-2,0,78.3,22.1,2.9,2.07,10.33
534470,3,0.9323,-3,0,130.7,83.2,13.9,5.7,16.11
56450,4,0.6639,-4,0,439.7,469.1,66.9,18.62,39.76
566697,10,0.9744,-10,-1,83.9,30.1,4.7,2.59,10.21
570384,2,0.9764,-2,0,72.1,26.7,3.7,2.92,10.86
591317,3,0.9718,3,1,70.8,188.3,21.1,3.37,17.75
591549,5,0.9612,-5,0,80.6,21.6,3.3,2.67,10.12
592446,5,0.9117,-5,0,110.3,100.8,19.2,7.6,21.67
59460,6,0.4989,6,2,315.0,599.6,153.8,20.56,43.87
624341,2,0.5926,-2,0,326.8,357.3,76.8,17.58,41.13
631692,2,0.7776,-2,0,175.1,166.7,36.2,10.13,25.48
652725,3,0.9661,-3,0,65.3,103.6,11.7,4.09,16.82
664410,1,0.9767,-1,0,89.1,23.8,2.9,2.25,10.05
691027,2,0.9359,-2,1,97.9,85.4,10.0,5.04,18.58
698338,0,0.966,0,1,100.1,51.5,6.9,2.76,10.3
70352,2,0.9744,-2,0,74.6,28.7,3.8,2.77,11.46
707886,3,0.9241,-3,0,112.1,167.3,22.3,5.61,17.7
73419,0,0.9595,0,1,86.1,21.1,3.0,3.14,12.08
747970,3,0.8932,-3,0,111.9,110.3,14.0,7.05,22.44
747992,2,0.974,-2,0,66.0,21.0,2.2,2.19,8.78
764946,4,0.6318,-4,0,182.0,242.9,52.4,12.9,32.05
769408,9,0.9583,-9,-1,76.8,23.0,2.7,3.2,11.59
772630,1,0.56,1,1,1209.8,1245.5,343.1,30.78,56.13
773682,4,0.9535,-4,0,69.4,22.3,2.5,2.67,11.67
774689,11,0.6765,11,3,64.6,21.2,2.9,3.28,12.93
79637,0,0.8426,0,0,148.1,455.5,99.5,7.7,37.2
80221,11,0.9803,11,3,62.4,23.9,3.8,1.59,8.64
804466,1,0.9762,-1,0,66.1,21.9,3.2,3.15,12.25
828067,2,0.9293,-2,1,92.0,72.2,6.4,4.69,14.91
833266,3,0.9633,-3,0,82.3,29.1,3.2,3.74,13.45
842775,2,0.9513,-2,0,83.8,23.4,4.0,2.6,10.66
869358,1,0.9813,-1,0,102.3,58.6,6.8,2.84,11.82
900498,3,0.9728,-3,0,74.7,26.3,4.0,2.27,11.78
91379,2,0.9714,-2,0,65.3,23.3,3.3,2.64,10.99
943439,3,0.9717,-3,1,71.3,71.6,4.3,2.27,10.3
952728,2,0.9638,-2,0,80.0,24.2,2.8,3.55,13.98
956930,1,0.9851,-1,0,58.2,19.2,2.3,1.69,8.75
979278,0,0.9797,0,0,56.8,23.9,2.9,2.42,11.28
981708,2,0.9512,-2,1,118.8,152.1,14.3,4.24,15.86
