aoi_id,district,state,split
g2_0000,Jodhpur,Rājasthān,test
g2_0001,Shivpuri,Madhya Pradesh,val
g2_0002,Alwar,Rājasthān,test
g2_0003,Sitapur,Uttar Pradesh,val
g0_0004,Amravati,Mahārāshtra,val
g2_0005,Firozpur,Punjab,train
g2_0006,Rewa,Madhya Pradesh,test
g2_0007,Alwar,Rājasthān,test
g2_0008,Pali,Rājasthān,val
g2_0009,Bahraich,Uttar Pradesh,train
g2_0010,Tonk,Rājasthān,test
g2_0011,Hanumangarh,Rājasthān,test
g0_0012,Latur,Mahārāshtra,train
g2_0013,Nagaur,Rājasthān,test
g0_0014,Jalna,Mahārāshtra,train
g2_0015,Sonipat,Haryāna,train
g2_0016,Sagar,Madhya Pradesh,val
g2_0017,Baran,Rājasthān,test
g2_0018,Jaipur,Rājasthān,test
g0_0019,Chitradurga,Karnātaka,train
g3_0020,Khunti,Jhārkhand,test
g0_0021,Davanagere,Karnātaka,train
g2_0022,Panch Mahals,Gujarāt,test
g2_0023,Balrampur,Uttar Pradesh,train
g2_0024,Shahjahanpur,Uttar Pradesh,val
g0_0025,Nanded,Mahārāshtra,train
g0_0026,Aurangabad,Mahārāshtra,train
g0_0027,Ramanagara,Karnātaka,val
g2_0028,Rae Bareli,Uttar Pradesh,train
g2_0029,Firozabad,Uttar Pradesh,val
g0_0030,Chittoor,Andhra Pradesh,test
g1_0031,Dhenkanal,Odisha,train
g0_0032,Gulbarga,Karnātaka,train
g0_0033,Ahmadnagar,Mahārāshtra,train
g0_0034,Bagalkot,Karnātaka,train
g2_0035,Udaipur,Rājasthān,train
g2_0036,Shivpuri,Madhya Pradesh,val
g2_0037,Patan,Gujarāt,train
g2_0038,Kanpur Nagar,Uttar Pradesh,train
g0_0039,Nalgonda,Telangāna,train
g3_0040,South Twenty Four Parganas,West Bengal,train
g2_0041,Jalor,Rājasthān,val
g2_0042,Gurgaon,Haryāna,train
g2_0043,Ganganagar,Rājasthān,train
g0_0044,Ahmadnagar,Mahārāshtra,train
g2_0045,Muktsar,Punjab,train
g1_0046,Sambalpur,Odisha,train
g0_0047,Aurangabad,Mahārāshtra,train
g2_0048,Jamnagar,Gujarāt,train
g2_0049,Pilibhit,Uttar Pradesh,val
g0_0050,Adilabad,Telangāna,train
g1_0051,Ganjam,Odisha,train
g0_0052,Nashik,Mahārāshtra,train
g0_0053,Sri Potti Sriramulu Nellore,Andhra Pradesh,train
g0_0054,Koppal,Karnātaka,train
g0_0055,Karur,Tamil Nādu,train
g0_0056,Yadadri Bhongiri,Telangāna,train
g2_0057,Dhar,Madhya Pradesh,train
g3_0058,Garhwa,Jhārkhand,val
g0_0059,Medak,Telangāna,train
g2_0060,Bundi,Rājasthān,test
g2_0061,Gonda,Uttar Pradesh,train
