district,state,none,test,train,val,total
Jodhpur,Rājasthān,0,17,5,0,22
Guntur,Andhra Pradesh,0,11,0,0,11
Jaipur,Rājasthān,0,11,1,0,12
Rewa,Madhya Pradesh,0,10,0,0,10
Hanumangarh,Rājasthān,0,10,0,1,11
Vizianagaram,Andhra Pradesh,0,8,1,0,9
Solapur,Mahārāshtra,0,8,6,7,21
Pratapgarh,Uttar Pradesh,0,7,3,0,10
Bundi,Rājasthān,0,6,0,0,6
Bijapur,Karnātaka,0,6,5,0,11
Koraput,Odisha,0,6,0,0,6
Bijnor,Uttar Pradesh,0,6,0,0,6
Alwar,Rājasthān,0,6,3,0,9
Rajkot,Gujarāt,0,6,3,0,9
Ahmadabad,Gujarāt,0,6,0,0,6
Jhunjhunun,Rājasthān,0,6,2,0,8
Chittoor,Andhra Pradesh,0,6,0,1,7
Bharatpur,Rājasthān,0,5,1,0,6
Banda,Uttar Pradesh,0,5,0,0,5
Mandsaur,Madhya Pradesh,0,5,2,0,7
Vadodara,Gujarāt,0,5,0,0,5
Sawai Madhopur,Rājasthān,0,5,0,0,5
Allahabad,Uttar Pradesh,0,5,0,0,5
Osmanabad,Mahārāshtra,0,5,5,0,10
Tonk,Rājasthān,0,5,2,0,7
Harda,Madhya Pradesh,0,5,0,0,5
Ratlam,Madhya Pradesh,0,5,0,0,5
Sidhi,Madhya Pradesh,0,5,0,0,5
Balangir,Odisha,0,5,2,0,7
Mahoba,Uttar Pradesh,0,4,3,0,7
Kota,Rājasthān,0,4,0,0,4
Banswara,Rājasthān,0,4,1,0,5
Buxar,Bihār,0,4,0,0,4
Nainital,Uttarākhand,0,4,0,0,4
Nabarangapur,Odisha,0,4,3,0,7
Sundargarh,Odisha,0,3,3,0,6
Dewas,Madhya Pradesh,0,3,2,0,5
Anand,Gujarāt,0,3,0,0,3
Bastar,Chhattīsgarh,0,3,0,0,3
Krishna,Andhra Pradesh,0,3,3,0,6
Kheda,Gujarāt,0,3,0,0,3
Karauli,Rājasthān,0,3,0,0,3
Jamnagar,Gujarāt,0,3,6,0,9
Khunti,Jhārkhand,0,3,0,0,3
Chittaurgarh,Rājasthān,0,3,3,0,6
Gumla,Jhārkhand,0,3,0,0,3
Fatehpur,Uttar Pradesh,0,3,1,0,4
Agra,Uttar Pradesh,1,3,1,0,5
Tiruchirappalli,Tamil Nādu,0,3,0,0,3
Ganganagar,Rājasthān,0,3,7,0,10
Gandhinagar,Gujarāt,0,3,1,0,4
Jaunpur,Uttar Pradesh,0,3,2,0,5
Gwalior,Madhya Pradesh,1,3,0,0,4
Sikar,Rājasthān,0,3,3,0,6
Baran,Rājasthān,0,3,0,2,5
Prakasam,Andhra Pradesh,0,3,5,3,11
Sirsa,Haryāna,0,3,1,0,4
Chatra,Jhārkhand,0,3,0,0,3
Neemuch,Madhya Pradesh,0,3,0,0,3
Panch Mahals,Gujarāt,0,3,0,0,3
Pashchimi Singhbhum,Jhārkhand,0,3,2,0,5
Bhiwani,Haryāna,0,2,0,5,7
Surendranagar,Gujarāt,0,2,1,0,3
Rewari,Haryāna,0,2,0,0,2
Rayagada,Odisha,0,2,0,0,2
Simdega,Jhārkhand,0,2,0,0,2
Singrauli,Madhya Pradesh,0,2,0,0,2
Ballia,Uttar Pradesh,0,2,1,0,3
Baloda Bazar,Chhattīsgarh,0,2,0,0,2
Palamu,Jhārkhand,0,2,0,0,2
Bhojpur,Bihār,0,2,0,0,2
Hamirpur,Uttar Pradesh,0,2,3,0,5
Anantapur,Andhra Pradesh,2,2,8,5,17
Jehanabad,Bihār,0,2,0,0,2
Hoshangabad,Madhya Pradesh,0,2,2,0,4
Churu,Rājasthān,0,2,3,0,5
Gulbarga,Karnātaka,0,2,9,0,11
Gaya,Bihār,0,2,0,0,2
Mirzapur,Uttar Pradesh,0,2,5,0,7
Jyotiba Phule Nagar,Uttar Pradesh,0,2,0,0,2
Mahasamund,Chhattīsgarh,0,2,0,0,2
Koriya,Chhattīsgarh,0,2,2,0,4
Dausa,Rājasthān,0,2,0,0,2
Sehore,Madhya Pradesh,0,2,1,0,3
Nagaur,Rājasthān,0,2,9,0,11
Ranchi,Jhārkhand,0,2,2,0,4
Belgaum,Karnātaka,0,2,10,0,12
Srikakulam,Andhra Pradesh,0,2,4,0,6
Satna,Madhya Pradesh,0,2,2,0,4
Sangli,Mahārāshtra,0,2,0,8,10
Udham Singh Nagar,Uttarākhand,0,1,0,0,1
