chip,parcel_id,interior_px,full_px,interior_ha,full_ha,full_native_px,bbox_h,bbox_w,row_min,col_min,touches_edge
g0_0004.tif,20,345,424,1.27004,1.56086,156.09,22,23,129,120,0
g0_0004.tif,21,120,179,0.44175,0.65895,65.89,20,12,126,109,0
g0_0004.tif,22,46,74,0.16934,0.27241,27.24,9,10,121,134,0
g0_0004.tif,23,124,166,0.45648,0.61109,61.11,13,13,117,121,0
g0_0004.tif,24,96,142,0.3534,0.52274,52.27,12,14,106,121,0
g0_0012.tif,60,134,202,0.49329,0.74362,74.36,14,28,127,118,0
g0_0012.tif,61,46,97,0.16934,0.35708,35.71,11,24,128,105,0
g0_0012.tif,62,31,60,0.11412,0.22088,22.09,7,15,124,129,0
g0_0012.tif,63,114,194,0.41967,0.71417,71.42,16,40,118,105,0
g0_0012.tif,64,327,451,1.20378,1.66026,166.03,25,42,105,104,0
g0_0014.tif,70,114,173,0.41967,0.63686,63.69,22,10,143,148,0
g0_0014.tif,71,71,117,0.26137,0.43071,43.07,13,12,122,92,0
g0_0014.tif,72,119,184,0.43807,0.67736,67.74,23,11,120,145,0
g0_0014.tif,73,27,58,0.09939,0.21351,21.35,7,16,110,111,0
g0_0014.tif,74,64,112,0.2356,0.4123,41.23,10,18,104,109,0
g0_0019.tif,95,137,184,0.50434,0.67736,67.74,25,9,125,129,0
g0_0019.tif,96,127,174,0.46752,0.64054,64.05,22,10,124,121,0
g0_0019.tif,97,170,233,0.62582,0.85774,85.77,24,11,119,112,0
g0_0019.tif,98,41,69,0.15093,0.25401,25.4,9,9,115,122,0
g0_0019.tif,99,51,76,0.18775,0.27978,27.98,11,8,114,130,0
g0_0021.tif,105,24,50,0.08835,0.18406,18.41,10,5,123,114,0
g0_0021.tif,106,32,51,0.1178,0.18775,18.77,10,6,123,131,0
g0_0021.tif,107,14,39,0.05154,0.14357,14.36,10,4,123,136,0
g0_0021.tif,108,31,50,0.11412,0.18406,18.41,10,5,123,126,0
g0_0021.tif,109,40,70,0.14725,0.25769,25.77,10,7,123,119,0
g0_0025.tif,125,147,204,0.54115,0.75098,75.1,13,17,154,131,0
g0_0025.tif,126,108,168,0.39758,0.61846,61.85,22,10,147,147,0
g0_0025.tif,127,187,268,0.6884,0.98658,98.66,21,24,102,104,0
g0_0025.tif,128,188,258,0.69208,0.94977,94.98,20,21,97,119,0
g0_0025.tif,129,97,169,0.35708,0.62214,62.21,21,17,89,92,0
g0_0026.tif,130,68,107,0.25033,0.3939,39.39,8,14,136,116,0
g0_0026.tif,131,77,112,0.28346,0.4123,41.23,13,9,137,129,0
g0_0026.tif,132,75,117,0.2761,0.43071,43.07,8,15,128,113,0
g0_0026.tif,133,107,166,0.3939,0.61109,61.11,23,8,105,123,0
