chip,pred_field_px,pred_boundary_px,seconds
g2_0000.tif,10875,41682,0.116
g2_0002.tif,29978,33051,0.116
g2_0006.tif,982,22796,0.116
g2_0007.tif,26346,34870,0.116
g2_0010.tif,37734,26475,0.107
g2_0011.tif,28435,26199,0.107
g2_0013.tif,44123,21412,0.107
g2_0017.tif,53456,10825,0.107
g2_0018.tif,18207,45314,0.111
g3_0020.tif,41292,22555,0.111
g2_0022.tif,33902,31420,0.111
g0_0030.tif,448,27206,0.111
g2_0060.tif,21679,42413,0.112
g2_0062.tif,6324,38968,0.112
g2_0065.tif,3390,51366,0.112
g2_0071.tif,41476,22424,0.112
g2_0072.tif,48424,15094,0.111
g0_0073.tif,7188,54207,0.111
g2_0075.tif,18814,41471,0.111
g2_0077.tif,23074,28142,0.111
g3_0079.tif,21075,32439,0.126
g0_0091.tif,34829,28529,0.126
g3_0096.tif,35076,23189,0.126
g2_0098.tif,51251,13513,0.126
g2_0101.tif,40225,16297,0.117
g2_0105.tif,15539,46555,0.117
g2_0112.tif,7796,51504,0.117
g2_0115.tif,48631,16905,0.117
g3_0119.tif,28769,36743,0.113
g2_0134.tif,25100,15060,0.113
g2_0135.tif,31641,24939,0.113
g2_0137.tif,46730,18806,0.113
g2_0139.tif,26260,30416,0.107
g0_0140.tif,15561,25007,0.107
g2_0143.tif,24629,30630,0.107
g2_0149.tif,53042,12494,0.107
g3_0158.tif,40045,25208,0.115
g0_0159.tif,16613,26893,0.115
g2_0165.tif,32047,31220,0.115
g2_0166.tif,22126,41521,0.115
g2_0187.tif,31259,30902,0.106
g0_0194.tif,10646,47325,0.106
g2_0205.tif,17056,40624,0.106
g0_0206.tif,19095,44825,0.106
g1_0209.tif,34137,26773,0.115
g2_0215.tif,43523,21413,0.115
g2_0237.tif,660,14078,0.115
g2_0239.tif,7493,42392,0.115
g2_0243.tif,18181,26322,0.102
g1_0255.tif,37485,27886,0.102
g0_0258.tif,43309,13639,0.102
g0_0259.tif,56049,9363,0.102
g1_0263.tif,33958,30417,0.11
g1_0264.tif,45945,19511,0.11
g2_0272.tif,8013,22563,0.11
g2_0275.tif,34798,18564,0.11
g2_0276.tif,38312,27182,0.11
g2_0282.tif,19357,37345,0.11
g3_0284.tif,38801,24324,0.11
g2_0291.tif,10213,18220,0.11
g2_0298.tif,2407,14171,0.11
g2_0307.tif,44893,20619,0.11
g3_0312.tif,17763,45285,0.11
g2_0314.tif,15047,23416,0.11
g2_0315.tif,1969,63478,0.1
g2_0326.tif,30724,32573,0.1
g2_0335.tif,41175,23851,0.1
g2_0336.tif,26139,26376,0.1
g2_0338.tif,19753,29773,0.108
g2_0340.tif,25483,23604,0.108
