chip,pred_field_px,pred_boundary_px,seconds
g2_0000.tif,5243,48201,0.119
g2_0002.tif,25461,39877,0.119
g2_0006.tif,3927,49574,0.119
g2_0007.tif,15109,49514,0.119
g2_0010.tif,27065,37201,0.107
g2_0011.tif,13671,51491,0.107
g2_0013.tif,16565,48971,0.107
g2_0017.tif,36731,28805,0.107
g2_0018.tif,10656,52525,0.108
g3_0020.tif,22345,38208,0.108
g2_0022.tif,18712,45881,0.108
g0_0030.tif,14992,50356,0.108
g2_0060.tif,25438,38788,0.116
g2_0062.tif,21802,40064,0.116
g2_0065.tif,9398,51845,0.116
g2_0071.tif,13113,43152,0.116
g2_0072.tif,41779,22877,0.114
g0_0073.tif,13988,46732,0.114
g2_0075.tif,14071,51465,0.114
g2_0077.tif,27942,32341,0.114
g3_0079.tif,15540,49179,0.111
g0_0091.tif,6574,55680,0.111
g3_0096.tif,3124,55025,0.111
g2_0098.tif,35485,28472,0.111
g2_0101.tif,20502,41423,0.107
g2_0105.tif,19620,44513,0.107
g2_0112.tif,4053,60202,0.107
g2_0115.tif,32940,32596,0.107
g3_0119.tif,17556,47962,0.104
g2_0134.tif,38328,27092,0.104
g2_0135.tif,25261,32682,0.104
g2_0137.tif,31945,31476,0.104
g2_0139.tif,22693,37043,0.113
g0_0140.tif,26225,35487,0.113
g2_0143.tif,19861,39545,0.113
g2_0149.tif,39067,21446,0.113
g3_0158.tif,9763,36857,0.114
g0_0159.tif,22645,34324,0.114
g2_0165.tif,32296,31643,0.114
g2_0166.tif,11123,53285,0.114
g2_0187.tif,36647,28799,0.119
g0_0194.tif,21094,40990,0.119
g2_0205.tif,13825,32898,0.119
g0_0206.tif,9037,55650,0.119
g1_0209.tif,313,55922,0.122
g2_0215.tif,24465,40537,0.122
g2_0237.tif,6074,37865,0.122
g2_0239.tif,12638,51822,0.122
g2_0243.tif,34998,29055,0.106
g1_0255.tif,26152,38994,0.106
g0_0258.tif,32200,33180,0.106
g0_0259.tif,39304,26232,0.106
g1_0263.tif,18488,46764,0.099
g1_0264.tif,21266,44270,0.099
g2_0272.tif,19819,44415,0.099
g2_0275.tif,22966,41151,0.099
