chip,pixels,interior_px,boundary_px,background_px,unlabelled_px,n_parcels
g0_0004.tif,65536,731,254,0,64551,5
g0_0012.tif,65536,652,352,0,64532,5
g0_0014.tif,65536,395,249,0,64892,5
g0_0019.tif,65536,526,210,0,64800,5
g0_0021.tif,65536,141,119,0,65276,5
g0_0025.tif,65536,727,340,0,64469,5
g0_0026.tif,65536,489,238,0,64809,5
g0_0027.tif,65536,27,70,0,65439,5
g0_0030.tif,65536,237,174,0,65125,5
g0_0032.tif,65536,546,266,0,64724,5
g0_0033.tif,65536,193,153,0,65190,5
g0_0034.tif,65536,801,342,0,64393,5
g0_0039.tif,65536,63,119,0,65354,5
g0_0044.tif,65536,449,262,0,64825,5
g0_0047.tif,65536,663,271,0,64602,5
g0_0050.tif,65536,428,224,0,64884,5
g0_0052.tif,65536,146,112,0,65278,5
g0_0053.tif,65536,107,133,0,65296,5
g0_0054.tif,65536,723,297,0,64516,5
g0_0055.tif,65536,469,228,0,64839,5
g0_0056.tif,65536,447,195,0,64894,5
g0_0059.tif,65536,18,67,0,65451,5
g0_0063.tif,65536,240,191,0,65105,5
g0_0064.tif,65536,277,215,0,65044,5
g0_0066.tif,65536,626,261,0,64649,5
g0_0067.tif,65536,4002,583,0,60951,5
g0_0068.tif,65536,24,73,0,65439,5
g0_0070.tif,65536,117,140,0,65279,5
g0_0073.tif,65536,149,133,0,65254,5
g0_0074.tif,65536,1212,366,0,63958,5
g0_0083.tif,65536,504,253,0,64779,5
g0_0085.tif,65536,329,191,0,65016,5
g0_0088.tif,65536,492,235,0,64809,5
g0_0089.tif,65536,100,104,0,65332,5
g0_0090.tif,65536,207,170,0,65159,5
g0_0091.tif,65536,166,162,0,65208,5
g0_0097.tif,65536,519,308,0,64709,5
g0_0100.tif,65536,245,160,0,65131,5
g0_0102.tif,65536,481,273,0,64782,5
g0_0104.tif,65536,334,233,0,64969,5
g0_0106.tif,65536,472,225,0,64839,5
g0_0107.tif,65536,1207,385,0,63944,5
g0_0108.tif,65536,319,199,0,65018,5
g0_0110.tif,65536,19,45,0,65472,5
g0_0111.tif,65536,500,196,0,64840,5
g0_0114.tif,65536,64,100,0,65372,5
g0_0117.tif,65536,74,117,0,65345,5
g0_0120.tif,65536,334,255,0,64947,5
g0_0121.tif,65536,1410,408,0,63718,5
g0_0122.tif,65536,322,201,0,65013,5
g0_0123.tif,65536,1716,366,0,63454,5
g0_0126.tif,65536,1001,361,0,64174,5
g0_0127.tif,65536,926,340,0,64270,5
g0_0130.tif,65536,211,219,0,65106,5
g0_0140.tif,65536,1053,346,0,64137,5
g0_0145.tif,65536,343,288,0,64905,5
g0_0147.tif,65536,1300,304,0,63932,5
g0_0153.tif,65536,260,147,0,65129,5
g0_0156.tif,65536,105,113,0,65318,5
g0_0159.tif,65536,343,156,0,65037,5
g0_0163.tif,65536,4,53,0,65479,1
g0_0167.tif,65536,252,138,0,65146,5
g0_0168.tif,65536,389,223,0,64924,5
g0_0170.tif,65536,11,47,0,65478,4
g0_0173.tif,65536,201,174,0,65161,5
g0_0176.tif,65536,356,172,0,65008,5
g0_0178.tif,65536,2080,419,0,63037,5
g0_0183.tif,65536,1345,391,0,63800,5
