draw,null_recall,method_recall,seed
0,0.018659,0.027231,20260922
1,0.021684,0.027231,20260922
2,0.016641,0.027231,20260922
3,0.020676,0.027231,20260922
4,0.023197,0.027231,20260922
5,0.019163,0.027231,20260922
6,0.019667,0.027231,20260922
7,0.021684,0.027231,20260922
8,0.020171,0.027231,20260922
9,0.018659,0.027231,20260922
10,0.022189,0.027231,20260922
11,0.021180,0.027231,20260922
12,0.018154,0.027231,20260922
13,0.020171,0.027231,20260922
14,0.018659,0.027231,20260922
15,0.023701,0.027231,20260922
16,0.019163,0.027231,20260922
17,0.020171,0.027231,20260922
18,0.019163,0.027231,20260922
19,0.022189,0.027231,20260922
20,0.019667,0.027231,20260922
21,0.022693,0.027231,20260922
22,0.021180,0.027231,20260922
23,0.017146,0.027231,20260922
24,0.023701,0.027231,20260922
25,0.018659,0.027231,20260922
26,0.024710,0.027231,20260922
27,0.024206,0.027231,20260922
28,0.020676,0.027231,20260922
29,0.020676,0.027231,20260922
30,0.023701,0.027231,20260922
31,0.018659,0.027231,20260922
32,0.019163,0.027231,20260922
33,0.022189,0.027231,20260922
34,0.022189,0.027231,20260922
35,0.020171,0.027231,20260922
36,0.024710,0.027231,20260922
37,0.020171,0.027231,20260922
38,0.021684,0.027231,20260922
39,0.022693,0.027231,20260922
40,0.020171,0.027231,20260922
41,0.021684,0.027231,20260922
42,0.021180,0.027231,20260922
43,0.024710,0.027231,20260922
44,0.018659,0.027231,20260922
45,0.020171,0.027231,20260922
46,0.019667,0.027231,20260922
47,0.022693,0.027231,20260922
48,0.022693,0.027231,20260922
49,0.022693,0.027231,20260922
50,0.019163,0.027231,20260922
51,0.020676,0.027231,20260922
52,0.024206,0.027231,20260922
53,0.020171,0.027231,20260922
54,0.025719,0.027231,20260922
55,0.019163,0.027231,20260922
56,0.025719,0.027231,20260922
57,0.023701,0.027231,20260922
58,0.023197,0.027231,20260922
59,0.026223,0.027231,20260922
60,0.020171,0.027231,20260922
61,0.023701,0.027231,20260922
62,0.027231,0.027231,20260922
63,0.020171,0.027231,20260922
64,0.021684,0.027231,20260922
65,0.020171,0.027231,20260922
66,0.018154,0.027231,20260922
67,0.016137,0.027231,20260922
68,0.019163,0.027231,20260922
69,0.022189,0.027231,20260922
70,0.024206,0.027231,20260922
71,0.026223,0.027231,20260922
72,0.019163,0.027231,20260922
73,0.017146,0.027231,20260922
74,0.023701,0.027231,20260922
75,0.021684,0.027231,20260922
76,0.026223,0.027231,20260922
77,0.021684,0.027231,20260922
78,0.023197,0.027231,20260922
79,0.017650,0.027231,20260922
80,0.023701,0.027231,20260922
81,0.018154,0.027231,20260922
82,0.018659,0.027231,20260922
83,0.020171,0.027231,20260922
84,0.026223,0.027231,20260922
85,0.019163,0.027231,20260922
86,0.026727,0.027231,20260922
87,0.019667,0.027231,20260922
88,0.020676,0.027231,20260922
89,0.026223,0.027231,20260922
90,0.017650,0.027231,20260922
91,0.024710,0.027231,20260922
92,0.022189,0.027231,20260922
93,0.018154,0.027231,20260922
