country,chip,parcel_id,width_native_px,contrast
india,g0_0030.tif,150,4.247,1.0391
india,g0_0030.tif,151,6.775,1.2517
india,g0_0030.tif,152,2.107,1.2578
india,g0_0030.tif,153,2.107,1.1052
india,g0_0030.tif,154,3.768,1.0452
india,g0_0073.tif,365,3.034,1.2445
india,g0_0073.tif,366,3.034,1.6279
india,g0_0073.tif,367,3.231,1.6821
india,g0_0073.tif,368,3.034,1.1605
india,g0_0073.tif,369,3.034,0.7662
india,g0_0091.tif,455,2.107,1.0256
india,g0_0091.tif,456,2.825,1.8311
india,g0_0091.tif,457,2.825,1.9344
india,g0_0091.tif,458,3.768,2.2037
india,g0_0091.tif,459,2.825,1.7797
india,g0_0140.tif,701,5.928,1.4344
india,g0_0140.tif,702,10.581,1.2993
india,g0_0140.tif,703,7.888,0.975
india,g0_0140.tif,704,9.177,1.4358
india,g0_0140.tif,705,4.397,0.9999
india,g0_0159.tif,796,4.247,1.5915
india,g0_0159.tif,797,1.82,1.2597
india,g0_0159.tif,798,4.247,1.2374
india,g0_0159.tif,799,5.461,1.233
india,g0_0159.tif,800,5.461,1.1183
india,g0_0194.tif,971,4.247,2.0912
india,g0_0194.tif,972,4.247,1.8061
india,g0_0194.tif,973,7.888,1.7881
india,g0_0194.tif,974,3.034,1.2115
india,g0_0194.tif,975,3.034,1.1075
india,g0_0206.tif,1031,3.034,0.6811
india,g0_0206.tif,1032,4.542,0.5455
india,g0_0206.tif,1033,4.397,0.852
india,g0_0206.tif,1034,9.177,1.0505
india,g0_0206.tif,1035,5.461,1.1268
india,g0_0258.tif,1291,2.107,1.1648
india,g0_0258.tif,1292,4.247,0.9807
india,g0_0258.tif,1293,2.825,0.9836
india,g0_0258.tif,1294,5.581,1.2512
india,g0_0258.tif,1295,5.928,0.8995
india,g0_0259.tif,1296,8.144,0.9697
india,g0_0259.tif,1297,8.635,1.4296
india,g0_0259.tif,1298,18.96,1.373
india,g0_0259.tif,1299,18.387,1.5658
india,g0_0259.tif,1300,12.96,1.489
india,g0_0426.tif,2131,1.109,0.7717
india,g0_0426.tif,2132,1.82,0.4748
india,g0_0426.tif,2133,1.109,0.7705
india,g0_0426.tif,2134,1.82,0.9106
india,g0_0426.tif,2135,4.247,0.9366
india,g0_0449.tif,2246,3.034,1.2842
india,g0_0449.tif,2247,3.034,1.4082
india,g0_0449.tif,2248,3.034,1.5985
india,g0_0449.tif,2249,3.034,1.524
india,g0_0449.tif,2250,4.247,1.7191
india,g0_0476.tif,2381,7.163,1.3482
india,g0_0476.tif,2382,3.768,1.0181
india,g0_0476.tif,2383,3.768,0.8927
india,g0_0476.tif,2384,4.397,0.8081
india,g0_0476.tif,2385,3.768,0.8228
india,g0_0516.tif,2581,4.82,1.2184
india,g0_0516.tif,2582,3.768,1.1335
india,g0_0516.tif,2583,1.82,1.106
india,g0_0516.tif,2584,2.825,0.6302
india,g0_0516.tif,2585,3.034,0.942
india,g0_0566.tif,2831,3.034,0.9553
india,g0_0566.tif,2832,2.107,0.8948
india,g0_0566.tif,2833,2.825,1.177
india,g0_0566.tif,2834,2.825,1.0265
india,g0_0566.tif,2835,2.825,1.2191
india,g0_0586.tif,2931,3.034,0.6202
india,g0_0586.tif,2932,4.397,0.9336
india,g0_0586.tif,2933,6.674,1.288
india,g0_0586.tif,2934,3.034,0.9598
india,g0_0586.tif,2935,4.247,1.4733
india,g0_0590.tif,2951,3.231,2.0173
india,g0_0590.tif,2952,6.674,1.9989
india,g0_0590.tif,2953,9.101,1.8544
india,g0_0590.tif,2954,7.888,1.9908
india,g0_0590.tif,2955,8.227,1.6196
india,g0_0628.tif,3142,7.888,1.6126
india,g0_0628.tif,3143,5.461,1.2499
india,g0_0628.tif,3144,4.247,1.2517
india,g0_0628.tif,3145,5.581,0.9914
india,g0_0628.tif,3146,5.461,0.9958
india,g0_0629.tif,3147,2.107,0.8581
india,g0_0629.tif,3148,3.231,1.0313
india,g0_0629.tif,3149,2.825,1.1917
india,g0_0629.tif,3150,2.825,1.0873
india,g0_0629.tif,3151,3.034,1.1126
india,g0_0633.tif,3167,4.247,0.8938
india,g0_0633.tif,3168,5.461,0.83
india,g0_0633.tif,3169,11.588,1.1717
india,g0_0633.tif,3170,4.247,0.9306
india,g0_0633.tif,3171,4.247,0.9484
india,g0_0650.tif,3252,2.825,2.1945
india,g0_0650.tif,3253,2.107,2.0854
india,g0_0650.tif,3254,3.034,1.784
india,g0_0650.tif,3255,3.231,1.4573
india,g0_0650.tif,3256,3.231,1.3601
india,g0_0696.tif,3482,3.034,1.5361
india,g0_0696.tif,3483,3.231,1.5549
india,g0_0696.tif,3484,1.109,1.6005
india,g0_0696.tif,3485,3.034,1.2686
india,g0_0696.tif,3486,1.82,1.2646
india,g0_0705.tif,3527,2.107,1.0816
india,g0_0705.tif,3528,1.82,1.3449
india,g0_0705.tif,3529,2.825,1.372
india,g0_0705.tif,3530,1.82,1.0878
india,g0_0705.tif,3531,1.82,1.0188
india,g0_0710.tif,3552,3.034,1.46
india,g0_0710.tif,3553,3.034,1.1733
india,g0_0710.tif,3554,2.825,1.3795
india,g0_0710.tif,3555,3.034,1.3305
india,g0_0710.tif,3556,3.034,1.1554
india,g0_0724.tif,3622,4.247,0.9224
india,g0_0724.tif,3623,5.461,1.0498
india,g0_0724.tif,3624,4.247,0.8747
india,g0_0724.tif,3625,4.397,0.9853
india,g0_0724.tif,3626,4.247,1.1448
india,g0_0737.tif,3687,7.533,1.2726
india,g0_0737.tif,3688,4.82,1.0489
india,g0_0737.tif,3689,4.82,1.0817
india,g0_0737.tif,3690,5.928,1.3918
india,g0_0737.tif,3691,5.928,1.1665
india,g0_0773.tif,3867,10.315,1.8828
india,g0_0773.tif,3868,11.528,1.705
india,g0_0773.tif,3869,6.674,1.2237
india,g0_0773.tif,3870,5.581,1.1918
india,g0_0773.tif,3871,7.533,1.5215
india,g0_0792.tif,3957,4.247,1.2217
india,g0_0792.tif,3958,3.034,1.6096
india,g0_0792.tif,3959,3.034,1.1831
india,g0_0792.tif,3960,3.231,1.1674
india,g0_0792.tif,3961,3.034,1.1718
india,g0_0803.tif,4012,2.107,1.375
india,g0_0803.tif,4013,3.034,1.2048
india,g0_0803.tif,4014,3.034,2.4412
india,g0_0803.tif,4015,3.034,0.949
india,g0_0803.tif,4016,3.768,1.1009
india,g0_0807.tif,4032,2.825,1.1757
india,g0_0807.tif,4033,1.109,0.8553
india,g0_0807.tif,4034,2.107,0.9895
india,g0_0807.tif,4035,1.82,0.8895
india,g0_0807.tif,4036,2.107,0.8504
india,g0_0808.tif,4037,7.888,1.547
india,g0_0808.tif,4038,6.674,1.3639
india,g0_0808.tif,4039,6.469,1.3696
india,g0_0808.tif,4040,6.775,1.0958
india,g0_0808.tif,4041,5.928,0.9975
india,g0_0879.tif,4392,5.461,0.9386
india,g0_0879.tif,4393,10.581,1.6645
india,g0_0879.tif,4394,7.888,1.0122
india,g0_0879.tif,4395,4.247,0.6704
india,g0_0879.tif,4396,9.101,1.4218
india,g0_0943.tif,4712,5.461,1.4178
india,g0_0943.tif,4713,3.231,1.1598
india,g0_0943.tif,4714,6.674,1.1056
india,g0_0943.tif,4715,4.82,1.1735
india,g0_0943.tif,4716,5.461,1.1625
india,g0_0957.tif,4782,5.461,0.8458
india,g0_0957.tif,4783,3.768,0.9004
india,g0_0957.tif,4784,5.461,0.9674
india,g0_0957.tif,4785,5.928,0.9717
india,g0_0957.tif,4786,3.768,1.401
india,g0_0979.tif,4892,7.888,0.9934
india,g0_0979.tif,4893,6.674,1.2554
india,g0_0979.tif,4894,8.227,1.0213
india,g0_0979.tif,4895,7.888,0.9056
india,g0_0979.tif,4896,6.674,0.8957
india,g0_1005.tif,5022,6.775,1.0794
india,g0_1005.tif,5023,7.068,1.1684
india,g0_1005.tif,5024,9.4,1.288
india,g0_1005.tif,5025,10.315,1.092
india,g0_1005.tif,5026,10.315,1.3374
india,g0_1180.tif,5897,5.461,1.283
