parcel_id,objects_over,best_iou,chip
150,2,0.125,g0_0030.tif
151,1,0.3177,g0_0030.tif
152,0,0.0,g0_0030.tif
153,0,0.0,g0_0030.tif
154,0,0.0,g0_0030.tif
365,1,0.4,g0_0073.tif
366,1,0.1053,g0_0073.tif
367,2,0.1034,g0_0073.tif
368,1,0.2556,g0_0073.tif
369,1,0.3359,g0_0073.tif
455,0,0.0,g0_0091.tif
456,0,0.0,g0_0091.tif
457,0,0.0,g0_0091.tif
458,0,0.0,g0_0091.tif
459,0,0.0,g0_0091.tif
701,3,0.025,g0_0140.tif
702,5,0.029,g0_0140.tif
703,2,0.1934,g0_0140.tif
704,1,0.4772,g0_0140.tif
705,1,0.5041,g0_0140.tif
796,1,0.1273,g0_0159.tif
797,0,0.0,g0_0159.tif
798,0,0.0,g0_0159.tif
799,0,0.0,g0_0159.tif
800,2,0.2486,g0_0159.tif
971,1,0.6636,g0_0194.tif
972,2,0.3721,g0_0194.tif
973,1,0.4473,g0_0194.tif
974,1,0.199,g0_0194.tif
975,1,0.0889,g0_0194.tif
1031,0,0.0,g0_0206.tif
1032,0,0.0,g0_0206.tif
1033,0,0.0,g0_0206.tif
1034,0,0.0,g0_0206.tif
1035,0,0.0,g0_0206.tif
1291,0,0.0,g0_0258.tif
1292,0,0.0,g0_0258.tif
1293,0,0.0,g0_0258.tif
1294,0,0.0,g0_0258.tif
1295,0,0.0,g0_0258.tif
1296,1,0.3045,g0_0259.tif
1297,2,0.1957,g0_0259.tif
1298,6,0.0373,g0_0259.tif
1299,4,0.0485,g0_0259.tif
1300,2,0.7297,g0_0259.tif
2131,1,0.0625,g0_0426.tif
2132,0,0.0,g0_0426.tif
2133,0,0.0,g0_0426.tif
2134,1,0.0556,g0_0426.tif
2135,1,0.0364,g0_0426.tif
2246,0,0.0,g0_0449.tif
2247,0,0.0,g0_0449.tif
2248,0,0.0,g0_0449.tif
2249,0,0.0,g0_0449.tif
2250,1,0.0833,g0_0449.tif
2381,1,0.0159,g0_0476.tif
2382,0,0.0,g0_0476.tif
2383,0,0.0,g0_0476.tif
2384,0,0.0,g0_0476.tif
2385,0,0.0,g0_0476.tif
2581,0,0.0,g0_0516.tif
2582,0,0.0,g0_0516.tif
2583,0,0.0,g0_0516.tif
2584,0,0.0,g0_0516.tif
2585,0,0.0,g0_0516.tif
2831,0,0.0,g0_0566.tif
2832,0,0.0,g0_0566.tif
2833,0,0.0,g0_0566.tif
2834,0,0.0,g0_0566.tif
2835,0,0.0,g0_0566.tif
2931,0,0.0,g0_0586.tif
2932,2,0.1842,g0_0586.tif
2933,3,0.1783,g0_0586.tif
2934,1,0.0164,g0_0586.tif
2935,2,0.2372,g0_0586.tif
2951,1,0.0362,g0_0590.tif
2952,0,0.0,g0_0590.tif
2953,3,0.0319,g0_0590.tif
2954,3,0.0382,g0_0590.tif
2955,6,0.0203,g0_0590.tif
3142,0,0.0,g0_0628.tif
3143,0,0.0,g0_0628.tif
3144,0,0.0,g0_0628.tif
3145,0,0.0,g0_0628.tif
3146,0,0.0,g0_0628.tif
3147,0,0.0,g0_0629.tif
3148,0,0.0,g0_0629.tif
3149,0,0.0,g0_0629.tif
3150,0,0.0,g0_0629.tif
3151,0,0.0,g0_0629.tif
3167,0,0.0,g0_0633.tif
3168,0,0.0,g0_0633.tif
3169,0,0.0,g0_0633.tif
