parcel_id,objects_over,best_iou,chip
150,2,0.0213,g0_0030.tif
151,2,0.0361,g0_0030.tif
152,1,0.1021,g0_0030.tif
153,4,0.0723,g0_0030.tif
154,3,0.0535,g0_0030.tif
365,1,0.4881,g0_0073.tif
366,2,0.439,g0_0073.tif
367,4,0.25,g0_0073.tif
368,3,0.2185,g0_0073.tif
369,2,0.2627,g0_0073.tif
455,2,0.2293,g0_0091.tif
456,2,0.2336,g0_0091.tif
457,2,0.0446,g0_0091.tif
458,1,0.014,g0_0091.tif
459,2,0.3494,g0_0091.tif
701,3,0.7725,g0_0140.tif
702,5,0.8773,g0_0140.tif
703,5,0.4527,g0_0140.tif
704,6,0.7989,g0_0140.tif
705,2,0.7651,g0_0140.tif
796,2,0.8095,g0_0159.tif
797,2,0.0595,g0_0159.tif
798,1,0.7869,g0_0159.tif
799,2,0.0204,g0_0159.tif
800,2,0.4889,g0_0159.tif
971,3,0.6194,g0_0194.tif
972,3,0.3627,g0_0194.tif
973,2,0.4639,g0_0194.tif
974,2,0.1622,g0_0194.tif
975,3,0.3689,g0_0194.tif
1031,1,0.0017,g0_0206.tif
1032,1,0.0025,g0_0206.tif
1033,2,0.0029,g0_0206.tif
1034,2,0.2446,g0_0206.tif
1035,4,0.1059,g0_0206.tif
1291,2,0.029,g0_0258.tif
1292,2,0.6133,g0_0258.tif
1293,3,0.0233,g0_0258.tif
1294,2,0.4533,g0_0258.tif
1295,1,0.0135,g0_0258.tif
1296,6,0.17,g0_0259.tif
1297,6,0.2718,g0_0259.tif
1298,7,0.9373,g0_0259.tif
1299,9,0.4868,g0_0259.tif
1300,5,0.6805,g0_0259.tif
2131,1,0.0007,g0_0426.tif
2132,1,0.0008,g0_0426.tif
2133,1,0.0005,g0_0426.tif
2134,2,0.0597,g0_0426.tif
2135,1,0.0027,g0_0426.tif
2246,1,0.1127,g0_0449.tif
2247,0,0.0,g0_0449.tif
2248,2,0.3106,g0_0449.tif
2249,2,0.1319,g0_0449.tif
2250,2,0.5253,g0_0449.tif
2381,4,0.7196,g0_0476.tif
2382,1,0.3933,g0_0476.tif
2383,2,0.3274,g0_0476.tif
2384,1,0.248,g0_0476.tif
2385,2,0.1398,g0_0476.tif
2581,4,0.4964,g0_0516.tif
2582,5,0.2245,g0_0516.tif
2583,5,0.0766,g0_0516.tif
2584,1,0.1374,g0_0516.tif
2585,3,0.1719,g0_0516.tif
2831,5,0.0155,g0_0566.tif
2832,1,0.18,g0_0566.tif
2833,2,0.1456,g0_0566.tif
2834,1,0.2267,g0_0566.tif
2835,1,0.22,g0_0566.tif
2931,2,0.059,g0_0586.tif
2932,2,0.2155,g0_0586.tif
2933,4,0.3032,g0_0586.tif
2934,2,0.0883,g0_0586.tif
2935,2,0.6068,g0_0586.tif
2951,3,0.7925,g0_0590.tif
2952,4,0.6727,g0_0590.tif
2953,4,0.5812,g0_0590.tif
2954,3,0.8235,g0_0590.tif
2955,3,0.8192,g0_0590.tif
3142,5,0.5741,g0_0628.tif
3143,2,0.2481,g0_0628.tif
3144,1,0.0033,g0_0628.tif
3145,1,0.0052,g0_0628.tif
3146,1,0.0041,g0_0628.tif
3147,1,0.0007,g0_0629.tif
3148,1,0.0014,g0_0629.tif
3149,1,0.0009,g0_0629.tif
3150,1,0.0009,g0_0629.tif
3151,1,0.0018,g0_0629.tif
3167,4,0.1145,g0_0633.tif
3168,1,0.2496,g0_0633.tif
3169,6,0.4575,g0_0633.tif
3170,4,0.4792,g0_0633.tif
3171,4,0.6279,g0_0633.tif
3252,2,0.0526,g0_0650.tif
3253,1,0.0058,g0_0650.tif
3254,1,0.0095,g0_0650.tif
3255,2,0.3692,g0_0650.tif
3256,1,0.0103,g0_0650.tif
3482,1,0.0268,g0_0696.tif
3483,4,0.1438,g0_0696.tif
3484,2,0.0833,g0_0696.tif
3485,2,0.2741,g0_0696.tif
3486,1,0.1811,g0_0696.tif
3527,2,0.022,g0_0705.tif
3528,2,0.0222,g0_0705.tif
3529,2,0.0678,g0_0705.tif
3530,1,0.0013,g0_0705.tif
3531,1,0.0009,g0_0705.tif
3552,2,0.2327,g0_0710.tif
3553,2,0.2282,g0_0710.tif
3554,3,0.1069,g0_0710.tif
3555,3,0.1845,g0_0710.tif
3556,1,0.1361,g0_0710.tif
3622,1,0.1756,g0_0724.tif
3623,2,0.1742,g0_0724.tif
3624,1,0.1683,g0_0724.tif
3625,2,0.1884,g0_0724.tif
3626,2,0.3299,g0_0724.tif
3687,2,0.4654,g0_0737.tif
3688,3,0.3821,g0_0737.tif
3689,5,0.6638,g0_0737.tif
3690,3,0.6921,g0_0737.tif
3691,6,0.5238,g0_0737.tif
3867,3,0.7796,g0_0773.tif
3868,5,0.7436,g0_0773.tif
3869,1,0.3769,g0_0773.tif
3870,1,0.3785,g0_0773.tif
3871,3,0.6761,g0_0773.tif
3957,2,0.0484,g0_0792.tif
3958,0,0.0,g0_0792.tif
3959,1,0.1226,g0_0792.tif
3960,1,0.2146,g0_0792.tif
3961,1,0.1239,g0_0792.tif
4012,2,0.0567,g0_0803.tif
4013,3,0.0909,g0_0803.tif
4014,3,0.0822,g0_0803.tif
4015,3,0.0794,g0_0803.tif
4016,3,0.0733,g0_0803.tif
4032,0,0.0,g0_0807.tif
4033,0,0.0,g0_0807.tif
4034,1,0.1636,g0_0807.tif
4035,0,0.0,g0_0807.tif
4036,1,0.0962,g0_0807.tif
4037,7,0.7391,g0_0808.tif
4038,7,0.7819,g0_0808.tif
4039,5,0.8178,g0_0808.tif
4040,6,0.7854,g0_0808.tif
4041,3,0.7881,g0_0808.tif
4392,1,0.0061,g0_0879.tif
4393,6,0.6462,g0_0879.tif
4394,1,0.0009,g0_0879.tif
4395,0,0.0,g0_0879.tif
4396,3,0.3339,g0_0879.tif
4712,2,0.78,g0_0943.tif
4713,2,0.1109,g0_0943.tif
4714,2,0.7083,g0_0943.tif
4715,6,0.478,g0_0943.tif
4716,2,0.2505,g0_0943.tif
4782,1,0.2128,g0_0957.tif
4783,0,0.0,g0_0957.tif
4784,1,0.2197,g0_0957.tif
4785,3,0.2872,g0_0957.tif
4786,1,0.2191,g0_0957.tif
4892,4,0.2314,g0_0979.tif
4893,3,0.2329,g0_0979.tif
4894,3,0.1408,g0_0979.tif
4895,5,0.2616,g0_0979.tif
4896,4,0.2273,g0_0979.tif
5022,2,0.3084,g0_1005.tif
5023,2,0.0216,g0_1005.tif
5024,3,0.0277,g0_1005.tif
5025,1,0.0157,g0_1005.tif
5026,2,0.8272,g0_1005.tif
5897,5,0.6533,g0_1180.tif
5898,4,0.471,g0_1180.tif
5899,3,0.7604,g0_1180.tif
5900,6,0.6214,g0_1180.tif
5901,4,0.4841,g0_1180.tif
6047,3,0.5234,g0_1210.tif
6048,3,0.2396,g0_1210.tif
6049,2,0.4545,g0_1210.tif
6050,1,0.1653,g0_1210.tif
6051,3,0.0581,g0_1210.tif
6167,1,0.1071,g0_1234.tif
6168,3,0.0908,g0_1234.tif
6169,1,0.0674,g0_1234.tif
6170,3,0.1329,g0_1234.tif
