parcel_id,objects_over,best_iou,chip
150,6,0.4688,g0_0030.tif
151,4,0.4312,g0_0030.tif
152,3,0.1884,g0_0030.tif
153,4,0.1509,g0_0030.tif
154,3,0.2194,g0_0030.tif
365,2,0.7544,g0_0073.tif
366,4,0.0941,g0_0073.tif
367,4,0.1676,g0_0073.tif
368,2,0.1405,g0_0073.tif
369,2,0.1562,g0_0073.tif
455,4,0.2258,g0_0091.tif
456,5,0.5862,g0_0091.tif
457,4,0.6333,g0_0091.tif
458,6,0.3478,g0_0091.tif
459,5,0.3966,g0_0091.tif
701,6,0.7771,g0_0140.tif
702,8,0.343,g0_0140.tif
703,5,0.6424,g0_0140.tif
704,6,0.8943,g0_0140.tif
705,3,0.8217,g0_0140.tif
796,4,0.7414,g0_0159.tif
797,2,0.25,g0_0159.tif
798,3,0.5395,g0_0159.tif
799,6,0.6059,g0_0159.tif
800,6,0.5363,g0_0159.tif
971,3,0.533,g0_0194.tif
972,3,0.2854,g0_0194.tif
973,6,0.4684,g0_0194.tif
974,3,0.5,g0_0194.tif
975,3,0.1526,g0_0194.tif
1031,3,0.185,g0_0206.tif
1032,2,0.3303,g0_0206.tif
1033,4,0.7255,g0_0206.tif
1034,6,0.4091,g0_0206.tif
1035,5,0.7455,g0_0206.tif
1291,2,0.0519,g0_0258.tif
1292,3,0.1579,g0_0258.tif
1293,2,0.118,g0_0258.tif
1294,5,0.6894,g0_0258.tif
1295,5,0.3174,g0_0258.tif
1296,7,0.3009,g0_0259.tif
1297,5,0.322,g0_0259.tif
1298,23,0.1083,g0_0259.tif
1299,15,0.3149,g0_0259.tif
1300,13,0.3308,g0_0259.tif
2131,2,0.1687,g0_0426.tif
2132,2,0.1186,g0_0426.tif
2133,1,0.0862,g0_0426.tif
2134,2,0.1453,g0_0426.tif
2135,3,0.3465,g0_0426.tif
2246,2,0.1905,g0_0449.tif
2247,3,0.2897,g0_0449.tif
2248,4,0.32,g0_0449.tif
2249,2,0.1071,g0_0449.tif
2250,5,0.3776,g0_0449.tif
2381,6,0.6763,g0_0476.tif
2382,3,0.2988,g0_0476.tif
2383,5,0.2971,g0_0476.tif
2384,2,0.2443,g0_0476.tif
2385,3,0.1734,g0_0476.tif
2581,2,0.5714,g0_0516.tif
2582,4,0.1423,g0_0516.tif
2583,2,0.1083,g0_0516.tif
2584,1,0.1218,g0_0516.tif
2585,2,0.1917,g0_0516.tif
2831,3,0.2276,g0_0566.tif
2832,1,0.1399,g0_0566.tif
2833,1,0.1606,g0_0566.tif
2834,1,0.1762,g0_0566.tif
2835,1,0.171,g0_0566.tif
2931,1,0.1365,g0_0586.tif
2932,3,0.4481,g0_0586.tif
2933,5,0.5,g0_0586.tif
2934,4,0.1078,g0_0586.tif
2935,5,0.3913,g0_0586.tif
2951,7,0.2461,g0_0590.tif
2952,10,0.3176,g0_0590.tif
2953,8,0.4333,g0_0590.tif
2954,11,0.3438,g0_0590.tif
2955,4,0.7754,g0_0590.tif
3142,7,0.3826,g0_0628.tif
3143,6,0.2067,g0_0628.tif
3144,5,0.47,g0_0628.tif
3145,8,0.2297,g0_0628.tif
3146,1,0.3441,g0_0628.tif
3147,2,0.1613,g0_0629.tif
3148,4,0.2821,g0_0629.tif
3149,3,0.3,g0_0629.tif
3150,2,0.3333,g0_0629.tif
3151,4,0.3372,g0_0629.tif
3167,2,0.315,g0_0633.tif
3168,3,0.4055,g0_0633.tif
3169,13,0.2399,g0_0633.tif
3170,5,0.4813,g0_0633.tif
3171,3,0.6139,g0_0633.tif
3252,4,0.2621,g0_0650.tif
3253,3,0.4783,g0_0650.tif
3254,4,0.3,g0_0650.tif
3255,3,0.2712,g0_0650.tif
3256,3,0.4412,g0_0650.tif
3482,3,0.3333,g0_0696.tif
3483,2,0.1543,g0_0696.tif
3484,1,0.0592,g0_0696.tif
3485,2,0.2159,g0_0696.tif
3486,1,0.1361,g0_0696.tif
3527,2,0.1477,g0_0705.tif
3528,3,0.0909,g0_0705.tif
3529,3,0.1163,g0_0705.tif
3530,2,0.169,g0_0705.tif
3531,2,0.1587,g0_0705.tif
3552,2,0.185,g0_0710.tif
3553,2,0.1584,g0_0710.tif
3554,2,0.1018,g0_0710.tif
3555,2,0.4074,g0_0710.tif
3556,3,0.199,g0_0710.tif
3622,3,0.2887,g0_0724.tif
3623,3,0.5781,g0_0724.tif
3624,3,0.2932,g0_0724.tif
3625,3,0.4857,g0_0724.tif
3626,4,0.3313,g0_0724.tif
3687,8,0.7508,g0_0737.tif
3688,4,0.4344,g0_0737.tif
3689,6,0.5769,g0_0737.tif
3690,8,0.3873,g0_0737.tif
3691,8,0.5387,g0_0737.tif
3867,3,0.5573,g0_0773.tif
3868,7,0.8444,g0_0773.tif
3869,3,0.439,g0_0773.tif
3870,5,0.4,g0_0773.tif
3871,4,0.7507,g0_0773.tif
3957,4,0.223,g0_0792.tif
3958,2,0.4368,g0_0792.tif
3959,2,0.2821,g0_0792.tif
3960,4,0.1752,g0_0792.tif
