country,chip,parcel_id,full_px,hectares,native_10m_px,best_iou,found,width_native_px
india,g0_0030.tif,150,96,0.3534,35.34,0.0,0,4.247
india,g0_0030.tif,151,192,0.7068,70.68,0.0,0,6.775
india,g0_0030.tif,152,24,0.0884,8.84,0.0,0,2.107
india,g0_0030.tif,153,32,0.1178,11.78,0.0131,0,2.107
india,g0_0030.tif,154,67,0.2466,24.66,0.0,0,3.768
india,g0_0073.tif,365,44,0.162,16.2,0.0,0,3.034
india,g0_0073.tif,366,37,0.1362,13.62,0.0,0,3.034
india,g0_0073.tif,367,81,0.2982,29.82,0.0087,0,3.231
india,g0_0073.tif,368,56,0.2062,20.62,0.0,0,3.034
india,g0_0073.tif,369,64,0.2356,23.56,0.0018,0,3.034
