composite,setting,chip,parcel_id,full_px,hectares,native_10m_px,best_iou,found,width_native_px,is_null,draw,objects,seconds
true,0.88/0.88,g0_0030.tif,150,96,0.3534,35.34,0.2815,0,4.247,0,0,80,66.67
true,0.88/0.88,g0_0030.tif,151,192,0.7068,70.68,0.4026,0,6.775,0,0,80,66.67
true,0.88/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0,0,2.107,0,0,80,66.67
true,0.88/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0115,0,2.107,0,0,80,66.67
true,0.88/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0,0,3.768,0,0,80,66.67
true,0.88/0.88,g0_0030.tif,150,96,0.3534,35.34,0.0866,0,4.247,1,0,80,66.67
true,0.88/0.88,g0_0030.tif,151,192,0.7068,70.68,0.1085,0,6.775,1,0,80,66.67
true,0.88/0.88,g0_0030.tif,152,24,0.0884,8.84,0.018,0,2.107,1,0,80,66.67
true,0.88/0.88,g0_0030.tif,153,32,0.1178,11.78,0.024,0,2.107,1,0,80,66.67
true,0.88/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0606,0,3.768,1,0,80,66.67
true,0.88/0.88,g0_0030.tif,150,96,0.3534,35.34,0.0718,0,4.247,1,1,80,66.67
true,0.88/0.88,g0_0030.tif,151,192,0.7068,70.68,0.1212,0,6.775,1,1,80,66.67
true,0.88/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0125,0,2.107,1,1,80,66.67
true,0.88/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0166,0,2.107,1,1,80,66.67
true,0.88/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0729,0,3.768,1,1,80,66.67
true,0.88/0.88,g0_0030.tif,150,96,0.3534,35.34,0.483,0,4.247,1,2,80,66.67
true,0.88/0.88,g0_0030.tif,151,192,0.7068,70.68,0.2148,0,6.775,1,2,80,66.67
true,0.88/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0434,0,2.107,1,2,80,66.67
true,0.88/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0579,0,2.107,1,2,80,66.67
true,0.88/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0469,0,3.768,1,2,80,66.67
true,0.80/0.88,g0_0030.tif,150,96,0.3534,35.34,0.2815,0,4.247,0,0,135,66.67
true,0.80/0.88,g0_0030.tif,151,192,0.7068,70.68,0.4026,0,6.775,0,0,135,66.67
true,0.80/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0,0,2.107,0,0,135,66.67
true,0.80/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0118,0,2.107,0,0,135,66.67
true,0.80/0.88,g0_0030.tif,154,67,0.2466,24.66,0.1,0,3.768,0,0,135,66.67
true,0.80/0.88,g0_0030.tif,150,96,0.3534,35.34,0.236,0,4.247,1,0,135,66.67
true,0.80/0.88,g0_0030.tif,151,192,0.7068,70.68,0.2289,0,6.775,1,0,135,66.67
true,0.80/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0508,0,2.107,1,0,135,66.67
true,0.80/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0678,0,2.107,1,0,135,66.67
true,0.80/0.88,g0_0030.tif,154,67,0.2466,24.66,0.1466,0,3.768,1,0,135,66.67
true,0.80/0.88,g0_0030.tif,150,96,0.3534,35.34,0.1414,0,4.247,1,1,135,66.67
true,0.80/0.88,g0_0030.tif,151,192,0.7068,70.68,0.2106,0,6.775,1,1,135,66.67
true,0.80/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0206,0,2.107,1,1,135,66.67
true,0.80/0.88,g0_0030.tif,153,32,0.1178,11.78,0.03,0,2.107,1,1,135,66.67
true,0.80/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0504,0,3.768,1,1,135,66.67
true,0.80/0.88,g0_0030.tif,150,96,0.3534,35.34,0.1633,0,4.247,1,2,135,66.67
true,0.80/0.88,g0_0030.tif,151,192,0.7068,70.68,0.2232,0,6.775,1,2,135,66.67
true,0.80/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0251,0,2.107,1,2,135,66.67
true,0.80/0.88,g0_0030.tif,153,32,0.1178,11.78,0.035,0,2.107,1,2,135,66.67
true,0.80/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0886,0,3.768,1,2,135,66.67
true,0.70/0.88,g0_0030.tif,150,96,0.3534,35.34,0.2815,0,4.247,0,0,159,66.67
true,0.70/0.88,g0_0030.tif,151,192,0.7068,70.68,0.4026,0,6.775,0,0,159,66.67
true,0.70/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0,0,2.107,0,0,159,66.67
true,0.70/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0119,0,2.107,0,0,159,66.67
true,0.70/0.88,g0_0030.tif,154,67,0.2466,24.66,0.1,0,3.768,0,0,159,66.67
true,0.70/0.88,g0_0030.tif,150,96,0.3534,35.34,0.1137,0,4.247,1,0,159,66.67
true,0.70/0.88,g0_0030.tif,151,192,0.7068,70.68,0.1973,0,6.775,1,0,159,66.67
true,0.70/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0217,0,2.107,1,0,159,66.67
true,0.70/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0348,0,2.107,1,0,159,66.67
true,0.70/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0655,0,3.768,1,0,159,66.67
true,0.70/0.88,g0_0030.tif,150,96,0.3534,35.34,0.1003,0,4.247,1,1,159,66.67
true,0.70/0.88,g0_0030.tif,151,192,0.7068,70.68,0.4699,0,6.775,1,1,159,66.67
true,0.70/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0297,0,2.107,1,1,159,66.67
true,0.70/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0397,0,2.107,1,1,159,66.67
true,0.70/0.88,g0_0030.tif,154,67,0.2466,24.66,0.1206,0,3.768,1,1,159,66.67
true,0.70/0.88,g0_0030.tif,150,96,0.3534,35.34,0.1654,0,4.247,1,2,159,66.67
true,0.70/0.88,g0_0030.tif,151,192,0.7068,70.68,0.3618,0,6.775,1,2,159,66.67
true,0.70/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0354,0,2.107,1,2,159,66.67
true,0.70/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0472,0,2.107,1,2,159,66.67
true,0.70/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0957,0,3.768,1,2,159,66.67
true,0.60/0.88,g0_0030.tif,150,96,0.3534,35.34,0.2815,0,4.247,0,0,167,66.67
true,0.60/0.88,g0_0030.tif,151,192,0.7068,70.68,0.4026,0,6.775,0,0,167,66.67
true,0.60/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0,0,2.107,0,0,167,66.67
true,0.60/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0119,0,2.107,0,0,167,66.67
