composite,setting,objects_per_chip,parcels,median_iou,recall,null_recall,gap
false,0.88/0.88,147.0,1983,0.0381,0.1387,0.0153,0.1234
false,0.80/0.88,192.3,1983,0.1032,0.1624,0.0207,0.1417
false,0.70/0.88,208.2,1983,0.1183,0.1704,0.023,0.1474
false,0.60/0.88,212.0,1983,0.1267,0.1725,0.0254,0.1471
false,0.50/0.88,212.8,1983,0.127,0.1725,0.0215,0.1509
true,0.88/0.88,128.9,1983,0.0076,0.1215,0.0118,0.1098
true,0.80/0.88,167.2,1983,0.023,0.1457,0.0146,0.1311
true,0.70/0.88,180.6,1983,0.0426,0.1548,0.0185,0.1363
true,0.60/0.88,183.9,1983,0.0508,0.1558,0.0219,0.134
true,0.50/0.88,184.6,1983,0.0512,0.1563,0.019,0.1373
