composite,setting,chip,parcel_id,full_px,hectares,native_10m_px,best_iou,found,width_native_px,is_null,draw,objects,seconds
true,0.88/0.88,g0_0030.tif,150,96,0.3534,35.34,0.007,0,4.247,0,0,89,78.56
true,0.88/0.88,g0_0030.tif,151,192,0.7068,70.68,0.0109,0,6.775,0,0,89,78.56
true,0.88/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0013,0,2.107,0,0,89,78.56
true,0.88/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0011,0,2.107,0,0,89,78.56
true,0.88/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0023,0,3.768,0,0,89,78.56
true,0.88/0.88,g0_0030.tif,150,96,0.3534,35.34,0.0705,0,4.247,1,0,89,78.56
true,0.88/0.88,g0_0030.tif,151,192,0.7068,70.68,0.1085,0,6.775,1,0,89,78.56
true,0.88/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0268,0,2.107,1,0,89,78.56
true,0.88/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0231,0,2.107,1,0,89,78.56
true,0.88/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0861,0,3.768,1,0,89,78.56
true,0.88/0.88,g0_0030.tif,150,96,0.3534,35.34,0.0966,0,4.247,1,1,89,78.56
true,0.88/0.88,g0_0030.tif,151,192,0.7068,70.68,0.1049,0,6.775,1,1,89,78.56
true,0.88/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0336,0,2.107,1,1,89,78.56
true,0.88/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0514,0,2.107,1,1,89,78.56
true,0.88/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0394,0,3.768,1,1,89,78.56
true,0.88/0.88,g0_0030.tif,150,96,0.3534,35.34,0.094,0,4.247,1,2,89,78.56
true,0.88/0.88,g0_0030.tif,151,192,0.7068,70.68,0.1765,0,6.775,1,2,89,78.56
true,0.88/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0283,0,2.107,1,2,89,78.56
true,0.88/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0377,0,2.107,1,2,89,78.56
true,0.88/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0626,0,3.768,1,2,89,78.56
true,0.80/0.88,g0_0030.tif,150,96,0.3534,35.34,0.0076,0,4.247,0,0,119,78.56
true,0.80/0.88,g0_0030.tif,151,192,0.7068,70.68,0.0117,0,6.775,0,0,119,78.56
true,0.80/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0014,0,2.107,0,0,119,78.56
true,0.80/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0012,0,2.107,0,0,119,78.56
true,0.80/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0024,0,3.768,0,0,119,78.56
true,0.80/0.88,g0_0030.tif,150,96,0.3534,35.34,0.133,0,4.247,1,0,119,78.56
true,0.80/0.88,g0_0030.tif,151,192,0.7068,70.68,0.2042,0,6.775,1,0,119,78.56
true,0.80/0.88,g0_0030.tif,152,24,0.0884,8.84,0.032,0,2.107,1,0,119,78.56
true,0.80/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0409,0,2.107,1,0,119,78.56
true,0.80/0.88,g0_0030.tif,154,67,0.2466,24.66,0.1081,0,3.768,1,0,119,78.56
true,0.80/0.88,g0_0030.tif,150,96,0.3534,35.34,0.1208,0,4.247,1,1,119,78.56
true,0.80/0.88,g0_0030.tif,151,192,0.7068,70.68,0.1295,0,6.775,1,1,119,78.56
true,0.80/0.88,g0_0030.tif,152,24,0.0884,8.84,0.0244,0,2.107,1,1,119,78.56
true,0.80/0.88,g0_0030.tif,153,32,0.1178,11.78,0.0192,0,2.107,1,1,119,78.56
true,0.80/0.88,g0_0030.tif,154,67,0.2466,24.66,0.0482,0,3.768,1,1,119,78.56
true,0.80/0.88,g0_0030.tif,150,96,0.3534,35.34,0.0633,0,4.247,1,2,119,78.56
