country,chip,parcel_id,full_px,hectares,native_10m_px,best_iou,found
india,g0_0030.tif,150,96,0.3529,35.29,0.125,0
india,g0_0030.tif,151,192,0.7058,70.58,0.3177,0
india,g0_0030.tif,152,24,0.08822,8.82,0.0,0
india,g0_0030.tif,153,32,0.11763,11.76,0.0,0
india,g0_0030.tif,154,67,0.24629,24.63,0.0,0
india,g0_0073.tif,365,44,0.16175,16.17,0.4,0
india,g0_0073.tif,366,37,0.13601,13.6,0.1053,0
india,g0_0073.tif,367,81,0.29776,29.78,0.1034,0
india,g0_0073.tif,368,56,0.20586,20.59,0.2556,0
india,g0_0073.tif,369,64,0.23527,23.53,0.3359,0
india,g0_0091.tif,455,67,0.24629,24.63,0.0,0
india,g0_0091.tif,456,78,0.28673,28.67,0.0,0
india,g0_0091.tif,457,48,0.17645,17.64,0.0,0
india,g0_0091.tif,458,92,0.3382,33.82,0.0,0
india,g0_0091.tif,459,43,0.15807,15.81,0.0,0
india,g0_0140.tif,701,160,0.58817,58.82,0.025,0
india,g0_0140.tif,702,414,1.52188,152.19,0.029,0
india,g0_0140.tif,703,331,1.21677,121.68,0.1934,0
india,g0_0140.tif,704,373,1.37116,137.12,0.4772,0
india,g0_0140.tif,705,121,0.4448,44.48,0.5041,1
india,g0_0159.tif,796,55,0.20218,20.22,0.1273,0
india,g0_0159.tif,797,30,0.11028,11.03,0.0,0
india,g0_0159.tif,798,57,0.20953,20.95,0.0,0
india,g0_0159.tif,799,180,0.66169,66.17,0.0,0
india,g0_0159.tif,800,177,0.65066,65.07,0.2486,0
india,g0_0194.tif,971,105,0.38598,38.6,0.6636,1
india,g0_0194.tif,972,129,0.47421,47.42,0.3721,0
india,g0_0194.tif,973,234,0.86019,86.02,0.4473,0
india,g0_0194.tif,974,83,0.30511,30.51,0.199,0
india,g0_0194.tif,975,90,0.33084,33.08,0.0889,0
india,g0_0206.tif,1031,55,0.20218,20.22,0.0,0
india,g0_0206.tif,1032,80,0.29408,29.41,0.0,0
india,g0_0206.tif,1033,94,0.34555,34.55,0.0,0
india,g0_0206.tif,1034,324,1.19104,119.1,0.0,0
india,g0_0206.tif,1035,158,0.58081,58.08,0.0,0
india,g0_0258.tif,1291,21,0.0772,7.72,0.0,0
india,g0_0258.tif,1292,71,0.261,26.1,0.0,0
india,g0_0258.tif,1293,38,0.13969,13.97,0.0,0
india,g0_0258.tif,1294,126,0.46318,46.32,0.0,0
india,g0_0258.tif,1295,220,0.80873,80.87,0.0,0
india,g0_0259.tif,1296,471,1.73141,173.14,0.3045,0
india,g0_0259.tif,1297,279,1.02561,102.56,0.1957,0
india,g0_0259.tif,1298,1984,7.29325,729.33,0.0373,0
india,g0_0259.tif,1299,1856,6.82272,682.27,0.0485,0
india,g0_0259.tif,1300,795,2.92245,292.24,0.7297,1
india,g0_0426.tif,2131,15,0.05514,5.51,0.0625,0
india,g0_0426.tif,2132,16,0.05882,5.88,0.0,0
india,g0_0426.tif,2133,10,0.03676,3.68,0.0,0
india,g0_0426.tif,2134,18,0.06617,6.62,0.0556,0
india,g0_0426.tif,2135,55,0.20218,20.22,0.0364,0
india,g0_0449.tif,2246,30,0.11028,11.03,0.0,0
india,g0_0449.tif,2247,62,0.22791,22.79,0.0,0
india,g0_0449.tif,2248,45,0.16542,16.54,0.0,0
india,g0_0449.tif,2249,35,0.12866,12.87,0.0,0
india,g0_0449.tif,2250,96,0.3529,35.29,0.0833,0
india,g0_0476.tif,2381,189,0.69477,69.48,0.0159,0
india,g0_0476.tif,2382,92,0.3382,33.82,0.0,0
india,g0_0476.tif,2383,106,0.38966,38.97,0.0,0
india,g0_0476.tif,2384,96,0.3529,35.29,0.0,0
india,g0_0476.tif,2385,91,0.33452,33.45,0.0,0
india,g0_0516.tif,2581,92,0.3382,33.82,0.0,0
india,g0_0516.tif,2582,67,0.24629,24.63,0.0,0
india,g0_0516.tif,2583,28,0.10293,10.29,0.0,0
india,g0_0516.tif,2584,29,0.10661,10.66,0.0,0
india,g0_0516.tif,2585,48,0.17645,17.64,0.0,0
