country,chip,parcel_id,full_px,hectares,native_10m_px,best_iou,found,width_native_px
india,g0_0030.tif,150,96,0.3534,35.34,0.4688,0,4.247
india,g0_0030.tif,151,192,0.7068,70.68,0.4312,0,6.775
india,g0_0030.tif,152,24,0.0884,8.84,0.1884,0,2.107
india,g0_0030.tif,153,32,0.1178,11.78,0.1111,0,2.107
india,g0_0030.tif,154,67,0.2466,24.66,0.4444,0,3.768
india,g0_0073.tif,365,44,0.162,16.2,0.7544,1,3.034
india,g0_0073.tif,366,37,0.1362,13.62,0.089,0,3.034
india,g0_0073.tif,367,81,0.2982,29.82,0.1981,0,3.231
india,g0_0073.tif,368,56,0.2062,20.62,0.1672,0,3.034
india,g0_0073.tif,369,64,0.2356,23.56,0.1857,0,3.034
india,g0_0091.tif,455,67,0.2466,24.66,0.2258,0,2.107
india,g0_0091.tif,456,78,0.2871,28.71,0.5862,1,2.825
india,g0_0091.tif,457,48,0.1767,17.67,0.6333,1,2.825
india,g0_0091.tif,458,92,0.3387,33.87,0.3478,0,3.768
india,g0_0091.tif,459,43,0.1583,15.83,0.3966,0,2.825
india,g0_0140.tif,701,160,0.589,58.9,0.7771,1,5.928
india,g0_0140.tif,702,414,1.5241,152.41,0.343,0,10.581
india,g0_0140.tif,703,331,1.2185,121.85,0.4036,0,7.888
india,g0_0140.tif,704,373,1.3731,137.31,0.4109,0,9.177
india,g0_0140.tif,705,121,0.4454,44.54,0.8217,1,4.397
india,g0_0159.tif,796,55,0.2025,20.25,0.7414,1,4.247
india,g0_0159.tif,797,30,0.1104,11.04,0.25,0,1.82
india,g0_0159.tif,798,57,0.2098,20.98,0.5395,1,4.247
india,g0_0159.tif,799,180,0.6626,66.26,0.6059,1,5.461
india,g0_0159.tif,800,177,0.6516,65.16,0.5363,1,5.461
india,g0_0194.tif,971,105,0.3865,38.65,0.5242,1,4.247
india,g0_0194.tif,972,129,0.4749,47.49,0.4621,0,4.247
india,g0_0194.tif,973,234,0.8614,86.14,0.4684,0,7.888
india,g0_0194.tif,974,83,0.3055,30.55,0.5,1,3.034
india,g0_0194.tif,975,90,0.3313,33.13,0.6346,1,3.034
india,g0_0206.tif,1031,55,0.2025,20.25,0.21,0,3.034
india,g0_0206.tif,1032,80,0.2945,29.45,0.3417,0,4.542
india,g0_0206.tif,1033,94,0.346,34.6,0.4526,0,4.397
india,g0_0206.tif,1034,324,1.1927,119.27,0.3988,0,9.177
india,g0_0206.tif,1035,158,0.5816,58.16,0.7455,1,5.461
india,g0_0258.tif,1291,21,0.0773,7.73,0.0909,0,2.107
india,g0_0258.tif,1292,71,0.2614,26.14,0.3797,0,4.247
india,g0_0258.tif,1293,38,0.1399,13.99,0.3452,0,2.825
india,g0_0258.tif,1294,126,0.4638,46.38,0.6894,1,5.581
india,g0_0258.tif,1295,220,0.8099,80.99,0.2152,0,5.928
india,g0_0259.tif,1296,471,1.7339,173.39,0.1683,0,8.144
india,g0_0259.tif,1297,279,1.0271,102.71,0.2854,0,8.635
india,g0_0259.tif,1298,1984,7.3037,730.37,0.067,0,18.96
india,g0_0259.tif,1299,1856,6.8325,683.25,0.16,0,18.387
india,g0_0259.tif,1300,795,2.9266,292.66,0.2768,0,12.96
india,g0_0426.tif,2131,15,0.0552,5.52,0.1687,0,1.109
india,g0_0426.tif,2132,16,0.0589,5.89,0.1207,0,1.82
india,g0_0426.tif,2133,10,0.0368,3.68,0.0877,0,1.109
india,g0_0426.tif,2134,18,0.0663,6.63,0.1478,0,1.82
india,g0_0426.tif,2135,55,0.2025,20.25,0.3307,0,4.247
india,g0_0449.tif,2246,30,0.1104,11.04,0.6154,1,3.034
india,g0_0449.tif,2247,62,0.2282,22.82,0.3889,0,3.034
india,g0_0449.tif,2248,45,0.1657,16.57,0.4744,0,3.034
india,g0_0449.tif,2249,35,0.1288,12.88,0.3684,0,3.034
india,g0_0449.tif,2250,96,0.3534,35.34,0.3776,0,4.247
india,g0_0476.tif,2381,189,0.6958,69.58,0.6763,1,7.163
india,g0_0476.tif,2382,92,0.3387,33.87,0.2988,0,3.768
india,g0_0476.tif,2383,106,0.3902,39.02,0.2971,0,3.768
india,g0_0476.tif,2384,96,0.3534,35.34,0.3127,0,4.397
india,g0_0476.tif,2385,91,0.335,33.5,0.2192,0,3.768
india,g0_0516.tif,2581,92,0.3387,33.87,0.5714,1,4.82
india,g0_0516.tif,2582,67,0.2466,24.66,0.1423,0,3.768
india,g0_0516.tif,2583,28,0.1031,10.31,0.1083,0,1.82
india,g0_0516.tif,2584,29,0.1068,10.68,0.1218,0,2.825
india,g0_0516.tif,2585,48,0.1767,17.67,0.1917,0,3.034
india,g0_0566.tif,2831,46,0.1693,16.93,0.6226,1,3.034
india,g0_0566.tif,2832,27,0.0994,9.94,0.1678,0,2.107
india,g0_0566.tif,2833,31,0.1141,11.41,0.1032,0,2.825
india,g0_0566.tif,2834,34,0.1252,12.52,0.2429,0,2.825
india,g0_0566.tif,2835,33,0.1215,12.15,0.2357,0,2.825
india,g0_0586.tif,2931,52,0.1914,19.14,0.5072,1,3.034
india,g0_0586.tif,2932,152,0.5596,55.96,0.2938,0,4.397
india,g0_0586.tif,2933,258,0.9498,94.98,0.4716,0,6.674
india,g0_0586.tif,2934,61,0.2246,22.46,0.203,0,3.034
india,g0_0586.tif,2935,156,0.5743,57.43,0.3913,0,4.247
india,g0_0590.tif,2951,221,0.8136,81.36,0.2461,0,3.231
india,g0_0590.tif,2952,319,1.1743,117.43,0.2455,0,6.674
india,g0_0590.tif,2953,627,2.3082,230.82,0.3502,0,9.101
india,g0_0590.tif,2954,288,1.0602,106.02,0.3438,0,7.888
india,g0_0590.tif,2955,345,1.27,127.0,0.5267,1,8.227
india,g0_0628.tif,3142,295,1.086,108.6,0.3826,0,7.888
india,g0_0628.tif,3143,179,0.6589,65.89,0.1571,0,5.461
india,g0_0628.tif,3144,93,0.3424,34.24,0.47,0,4.247
india,g0_0628.tif,3145,147,0.5411,54.11,0.2297,0,5.581
india,g0_0628.tif,3146,117,0.4307,43.07,0.6047,1,5.461
india,g0_0629.tif,3147,25,0.092,9.2,0.1613,0,2.107
india,g0_0629.tif,3148,49,0.1804,18.04,0.142,0,3.231
india,g0_0629.tif,3149,32,0.1178,11.78,0.114,0,2.825
india,g0_0629.tif,3150,33,0.1215,12.15,0.3333,0,2.825
india,g0_0629.tif,3151,64,0.2356,23.56,0.3372,0,3.034
india,g0_0633.tif,3167,65,0.2393,23.93,0.343,0,4.247
india,g0_0633.tif,3168,165,0.6074,60.74,0.47,0,5.461
india,g0_0633.tif,3169,540,1.9879,198.79,0.1661,0,11.588
