method,setting,parcels,objects_per_chip,median_iou,recall,null_recall,gap,recall_at_ftw_budget
ftw,3class_full,1983,175.0,0.0,0.0272,0.022,0.0052,0.0272
watershed,0.005,1983,916.6,0.3494,0.233,0.0511,0.1819,0.1074
watershed,0.01,1983,815.6,0.3494,0.2436,0.0508,0.1928,0.1074
watershed,0.02,1983,675.9,0.3333,0.2461,0.0506,0.1955,0.1074
watershed,0.05,1983,445.8,0.2962,0.2189,0.0366,0.1822,0.1074
watershed,0.08,1983,319.3,0.2348,0.182,0.0326,0.1494,0.1074
watershed,0.1,1983,261.2,0.1949,0.1563,0.0254,0.1309,0.1074
watershed,0.13,1983,196.3,0.1336,0.1236,0.0175,0.1061,0.1074
watershed,0.16,1983,149.1,0.0892,0.0877,0.0161,0.0716,0.1074
watershed,0.2,1983,103.4,0.0477,0.053,0.0071,0.0459,0.1074
watershed,0.3,1983,39.8,0.0087,0.0192,0.0012,0.018,0.1074
felzenszwalb,25,1983,1403.5,0.2344,0.0282,0.0572,-0.0289,0.0307
felzenszwalb,50,1983,1164.6,0.2658,0.0615,0.0526,0.0089,0.0307
felzenszwalb,100,1983,665.7,0.2182,0.0842,0.045,0.0392,0.0307
felzenszwalb,150,1983,437.1,0.1442,0.0651,0.0373,0.0277,0.0307
felzenszwalb,200,1983,322.9,0.1029,0.0519,0.0308,0.0212,0.0307
felzenszwalb,300,1983,213.4,0.0467,0.0419,0.0217,0.0202,0.0307
felzenszwalb,400,1983,163.0,0.0186,0.0272,0.0141,0.0131,0.0307
felzenszwalb,800,1983,95.9,0.0035,0.0116,0.0057,0.0059,0.0307
