chip,parcel_id,interior_px,full_px,interior_ha,full_ha,full_native_px,bbox_h,bbox_w,row_min,col_min,touches_edge
g13_00002_13.tif,6600294,25,54,0.04282,0.09249,9.25,11,13,166,110,0
g13_00002_13.tif,6600295,235,355,0.40252,0.60806,60.81,27,39,155,96,0
g13_00002_13.tif,6966621,3,16,0.00514,0.02741,2.74,5,7,127,56,0
g13_00002_13.tif,7048143,146,205,0.25008,0.35113,35.11,17,24,0,141,1
g13_00002_14.tif,6953267,294,396,0.50358,0.67829,67.83,30,46,69,105,0
g13_00002_16.tif,6402188,4,18,0.00685,0.03083,3.08,4,7,182,95,0
g13_00002_16.tif,6983393,57,134,0.09763,0.22952,22.95,16,30,49,15,0
g13_00002_16.tif,7079929,48,127,0.08222,0.21753,21.75,17,20,0,11,1
g13_00002_17.tif,6113948,23,40,0.0394,0.06851,6.85,9,9,84,247,1
g13_00002_18.tif,6157272,3,11,0.00514,0.01884,1.88,4,5,185,238,0
g13_00003_0.tif,6613120,239,300,0.40937,0.51386,51.39,20,21,153,124,0
g13_00003_1.tif,6478506,5,16,0.00856,0.02741,2.74,2,10,0,59,1
g13_00003_1.tif,6549826,32,55,0.05481,0.09421,9.42,10,10,86,70,0
g13_00003_1.tif,6550234,15,32,0.02569,0.05481,5.48,4,12,252,182,1
g13_00003_1.tif,6550236,45,77,0.07708,0.13189,13.19,8,13,246,174,0
g13_00003_1.tif,6613110,90,151,0.15416,0.25864,25.86,15,24,175,116,0
g13_00003_1.tif,6613112,3,12,0.00514,0.02055,2.06,4,6,192,124,0
g13_00003_1.tif,6613115,51,80,0.08736,0.13703,13.7,9,15,181,157,0
g13_00003_1.tif,7040221,75,128,0.12846,0.21924,21.92,13,19,188,72,0
g13_00003_1.tif,7040236,49,93,0.08393,0.1593,15.93,11,18,183,80,0
g13_00003_1.tif,7040242,4,18,0.00685,0.03083,3.08,6,3,172,72,0
g13_00003_1.tif,7040244,6,18,0.01028,0.03083,3.08,4,6,178,61,0
g13_00003_1.tif,7040280,22,50,0.03768,0.08564,8.56,14,7,209,110,0
g13_00003_10.tif,6565963,7,17,0.01199,0.02912,2.91,3,7,253,99,1
g13_00003_10.tif,6843650,65,91,0.11134,0.15587,15.59,12,9,23,140,0
g13_00003_10.tif,6843651,16,33,0.02741,0.05652,5.65,11,5,24,136,0
g13_00003_10.tif,6843652,33,58,0.05652,0.09935,9.93,8,9,26,129,0
g13_00003_12.tif,6166700,45,85,0.07708,0.14559,14.56,13,14,9,229,0
g13_00003_12.tif,6166702,38,54,0.06509,0.09249,9.25,11,9,24,247,1
g13_00003_12.tif,6166704,9,22,0.01542,0.03768,3.77,6,6,25,245,0
g13_00003_12.tif,6490468,21,44,0.03597,0.07537,7.54,9,10,32,99,0
g13_00003_12.tif,6490470,2,11,0.00343,0.01884,1.88,3,6,47,96,0
g13_00003_12.tif,6514417,568,674,0.9729,1.15446,115.45,27,49,229,169,1
g13_00003_12.tif,6514421,97,162,0.16615,0.27748,27.75,10,26,246,33,1
g13_00003_12.tif,6514422,219,290,0.37511,0.49673,49.67,16,43,240,87,1
g13_00003_12.tif,6572178,143,209,0.24494,0.35799,35.8,22,19,137,7,0
g13_00003_12.tif,6737064,72,98,0.12333,0.16786,16.79,7,21,249,225,1
g13_00003_12.tif,6910737,3,15,0.00514,0.02569,2.57,3,6,166,130,0
g13_00003_12.tif,6910738,14,31,0.02398,0.0531,5.31,6,8,162,123,0
g13_00003_12.tif,6910741,3,19,0.00514,0.03254,3.25,5,9,174,146,0
g13_00003_12.tif,6910746,61,95,0.10448,0.16272,16.27,10,14,134,73,0
g13_00003_13.tif,6166702,34,51,0.05824,0.08736,8.74,10,9,23,0,1
g13_00003_13.tif,6324650,17,49,0.02912,0.08393,8.39,9,13,63,182,0
