chip,pred_field_px,pred_boundary_px,seconds
g6_00003_14.tif,0,45,0.113
g6_00003_15.tif,0,1043,0.113
g6_00003_16.tif,981,2252,0.113
g6_00003_2.tif,0,8,0.113
g6_00003_3.tif,2,75,0.11
g6_00003_4.tif,0,0,0.11
g6_00006_15.tif,1917,5176,0.11
g6_00006_16.tif,620,6548,0.11
g6_00006_17.tif,7531,10230,0.104
g6_00006_3.tif,0,0,0.104
g6_00006_4.tif,177,7407,0.104
g6_00006_5.tif,51,479,0.104
g6_00009_16.tif,140,3453,0.1
g6_00009_17.tif,376,5555,0.1
g6_00009_18.tif,8921,27592,0.1
g6_00009_4.tif,0,281,0.1
g6_00009_5.tif,0,5,0.106
g6_00009_6.tif,3,240,0.106
g6_00014_3.tif,0,1380,0.106
g6_00014_4.tif,43,272,0.106
g6_00014_5.tif,23,395,0.102
g6_00017_4.tif,155,345,0.102
g6_00017_5.tif,0,0,0.102
g6_00017_6.tif,257,1177,0.102
g6_00020_5.tif,41,90,0.108
g6_00020_6.tif,0,36,0.108
g6_00020_7.tif,0,2,0.108
g6_00023_15.tif,11542,13288,0.108
g6_00023_16.tif,5120,7520,0.1
g6_00023_17.tif,6903,9178,0.1
g6_00023_18.tif,2005,25057,0.1
g6_00024_0.tif,455,1316,0.1
g6_00024_1.tif,1900,5630,0.103
g6_00026_16.tif,13537,17914,0.103
g6_00026_17.tif,7644,14270,0.103
g6_00026_18.tif,5042,12907,0.103
g6_00027_0.tif,1981,2687,0.102
g6_00027_1.tif,3832,6312,0.102
g6_00027_2.tif,685,2461,0.102
g6_00029_17.tif,4730,8252,0.102
g6_00029_18.tif,4510,9485,0.104
g6_00030_0.tif,1574,8447,0.104
g6_00030_1.tif,1127,2757,0.104
g6_00030_2.tif,878,1654,0.104
g6_00030_3.tif,333,925,0.104
g6_00031_4.tif,0,0,0.104
g6_00031_5.tif,0,0,0.104
g6_00031_6.tif,0,0,0.104
g6_00032_10.tif,0,0,0.109
g6_00032_11.tif,27,374,0.109
g6_00032_9.tif,0,0,0.109
g6_00034_5.tif,0,0,0.109
g6_00034_6.tif,1,96,0.103
g6_00034_7.tif,0,653,0.103
g6_00035_10.tif,0,0,0.103
g6_00035_11.tif,0,0,0.103
g6_00035_12.tif,585,2928,0.103
g6_00037_6.tif,0,0,0.103
g6_00037_7.tif,0,0,0.103
g6_00037_8.tif,0,0,0.103
g6_00038_11.tif,0,0,0.107
g6_00038_12.tif,0,0,0.107
g6_00038_13.tif,512,4982,0.107
g6_00039_14.tif,26,632,0.107
g6_00039_15.tif,0,61,0.104
g6_00039_16.tif,0,0,0.104
g6_00040_1.tif,0,0,0.104
g6_00040_2.tif,0,0,0.104
g6_00040_3.tif,0,0,0.104
g6_00040_4.tif,0,0,0.104
g6_00040_5.tif,0,0,0.104
g6_00040_6.tif,0,0,0.104
g6_00041_15.tif,0,0,0.101
g6_00041_16.tif,11,193,0.101
g6_00041_17.tif,24,6995,0.101
g6_00042_10.tif,518,5578,0.101
g6_00042_15.tif,0,0,0.106
g6_00042_16.tif,30,1322,0.106
g6_00042_17.tif,0,0,0.106
g6_00042_8.tif,0,86,0.106
g6_00042_9.tif,635,4461,0.099
g6_00043_2.tif,0,0,0.099
g6_00043_3.tif,0,0,0.099
g6_00043_4.tif,0,0,0.099
g6_00043_5.tif,0,0,0.101
g6_00043_6.tif,0,0,0.101
g6_00043_7.tif,0,0,0.101
g6_00044_16.tif,0,16,0.101
g6_00044_17.tif,0,0,0.104
g6_00044_18.tif,0,0,0.104
g6_00045_10.tif,528,1600,0.104
g6_00045_11.tif,15,54,0.104
g6_00045_16.tif,94,2757,0.105
g6_00045_17.tif,0,60,0.105
g6_00045_18.tif,0,0,0.105
g6_00045_9.tif,0,0,0.105
g6_00046_3.tif,0,0,0.108
g6_00046_4.tif,0,0,0.108
g6_00046_5.tif,0,0,0.108
g6_00046_6.tif,0,0,0.108
g6_00046_7.tif,0,0,0.106
g6_00046_8.tif,0,0,0.106
g6_00047_17.tif,0,0,0.106
g6_00047_18.tif,0,0,0.106
g6_00048_0.tif,0,0,0.103
g6_00048_10.tif,0,0,0.103
g6_00048_11.tif,0,0,0.103
g6_00048_12.tif,0,0,0.103
g6_00050_12.tif,1195,9670,0.097
g6_00050_13.tif,6,526,0.097
g6_00050_14.tif,0,0,0.097
g6_00053_13.tif,303,992,0.097
g6_00053_14.tif,29,11526,0.104
g6_00053_15.tif,0,0,0.104
g6_00056_14.tif,0,0,0.104
g6_00056_15.tif,0,0,0.104
g6_00056_16.tif,91,2856,0.105
g6_00060_17.tif,0,0,0.105
g6_00060_18.tif,1,62,0.105
g6_00061_0.tif,2288,4579,0.105
g6_00063_18.tif,0,0,0.104
g6_00064_0.tif,0,0,0.104
g6_00064_1.tif,2666,2815,0.104
g6_00067_0.tif,0,0,0.104
g6_00067_1.tif,0,0,0.1
g6_00067_2.tif,0,0,0.1
g13_00002_16.tif,0,0,0.1
g13_00002_17.tif,0,85,0.1
g13_00002_18.tif,0,0,0.101
g13_00003_12.tif,7,850,0.101
g13_00003_13.tif,9,270,0.101
g13_00003_14.tif,0,10,0.101
g13_00003_18.tif,10122,3795,0.107
g13_00004_0.tif,12134,3184,0.107
g13_00004_1.tif,25357,9484,0.107
g13_00005_10.tif,0,0,0.107
g13_00005_11.tif,0,1,0.103
g13_00005_9.tif,0,0,0.103
g13_00006_11.tif,2412,3292,0.103
g13_00006_12.tif,1472,1155,0.103
g13_00006_13.tif,5661,8659,0.102
g13_00006_5.tif,2,219,0.102
g13_00006_6.tif,4,200,0.102
g13_00006_7.tif,0,0,0.102
g13_00016_0.tif,0,0,0.101
g13_00016_1.tif,0,9,0.101
g13_00016_2.tif,0,0,0.101
g13_00017_17.tif,8057,6699,0.101
g13_00017_18.tif,13083,11919,0.109
g13_00018_0.tif,24135,12419,0.109
g13_00018_12.tif,0,0,0.109
g13_00018_13.tif,0,1,0.109
g13_00018_14.tif,0,0,0.109
g13_00020_10.tif,4759,9310,0.109
g13_00020_11.tif,6674,12764,0.109
g13_00020_12.tif,13427,11844,0.109
g13_00021_5.tif,0,0,0.107
g13_00021_6.tif,0,0,0.107
g13_00021_7.tif,0,0,0.107
g13_00023_3.tif,2027,6715,0.107
g13_00023_4.tif,3948,6833,0.102
g13_00023_5.tif,10846,10304,0.102
g13_00024_4.tif,0,0,0.102
g13_00024_5.tif,0,0,0.102
g13_00024_6.tif,0,0,0.104
g13_00026_16.tif,0,0,0.104
g13_00026_17.tif,0,0,0.104
g13_00026_18.tif,0,308,0.104
g13_00029_10.tif,161,176,0.103
g13_00029_11.tif,0,0,0.103
g13_00029_9.tif,0,0,0.103
g13_00031_12.tif,0,0,0.103
g13_00031_13.tif,0,3,0.103
g13_00031_14.tif,0,13,0.103
g13_00032_5.tif,4,127,0.103
g13_00032_6.tif,0,74,0.103
g13_00032_7.tif,0,0,0.111
g13_00033_1.tif,18031,36633,0.111
g13_00033_2.tif,24820,22975,0.111
g13_00033_3.tif,6761,11878,0.111
g13_00034_17.tif,0,65,0.102
g13_00034_18.tif,0,1,0.102
g13_00034_3.tif,14782,12827,0.102
g13_00034_5.tif,0,7,0.102
g13_00034_6.tif,0,0,0.107
g13_00034_7.tif,0,30,0.107
g13_00035_0.tif,428,1064,0.107
g13_00035_13.tif,16843,8709,0.107
g13_00035_14.tif,60215,5155,0.102
g13_00035_15.tif,19969,16894,0.102
g13_00036_15.tif,16817,10393,0.102
g13_00036_17.tif,178,584,0.102
g13_00036_18.tif,0,135,0.108
g13_00037_0.tif,0,0,0.108
g13_00037_10.tif,785,1981,0.108
g13_00037_11.tif,610,1668,0.108
g13_00037_12.tif,229,589,0.102
g13_00038_6.tif,38897,16569,0.102
g13_00038_7.tif,30492,14924,0.102
g13_00038_8.tif,33430,14102,0.102
g13_00039_8.tif,32579,16115,0.103
g13_00040_10.tif,3212,6073,0.103
g13_00040_11.tif,2020,1376,0.103
g13_00040_9.tif,5499,4176,0.103
g13_00043_2.tif,19613,6597,0.103
g13_00043_3.tif,15532,6305,0.103
g13_00043_4.tif,3743,3498,0.103
g13_00045_14.tif,12405,5498,0.103
g13_00045_15.tif,4145,3453,0.102
g13_00045_16.tif,3852,3722,0.102
g13_00047_14.tif,2589,5004,0.102
g13_00047_15.tif,1298,3351,0.102
g13_00047_16.tif,828,3772,0.107
g13_00049_6.tif,3060,3930,0.107
g13_00049_7.tif,9998,8172,0.107
g13_00049_8.tif,17059,12791,0.107
g13_00050_7.tif,14296,12710,0.117
g13_00050_8.tif,7340,6183,0.117
g13_00050_9.tif,718,4001,0.117
g13_00051_18.tif,5584,5590,0.117
g13_00052_0.tif,4173,2974,0.116
g13_00052_1.tif,31,192,0.116
g13_00053_0.tif,107,935,0.116
g13_00053_1.tif,3945,3282,0.116
g13_00053_2.tif,8946,20080,0.104
g13_00054_11.tif,14,480,0.104
g13_00054_12.tif,434,540,0.104
g13_00054_13.tif,0,94,0.104
