chip,pred_field_px,pred_boundary_px,seconds
g6_00003_14.tif,3,714,0.112
g6_00003_15.tif,164,1851,0.112
g6_00003_16.tif,6982,6614,0.112
g6_00003_2.tif,0,722,0.112
g6_00003_3.tif,16,1784,0.105
g6_00003_4.tif,0,1083,0.105
g6_00006_15.tif,3213,7487,0.105
g6_00006_16.tif,8753,10557,0.105
g6_00006_17.tif,13758,23320,0.104
g6_00006_3.tif,95,1632,0.104
g6_00006_4.tif,51,7881,0.104
g6_00006_5.tif,120,3405,0.104
g6_00009_16.tif,1187,5874,0.105
g6_00009_17.tif,6673,12471,0.105
g6_00009_18.tif,13268,22453,0.105
g6_00009_4.tif,54,4212,0.105
g6_00009_5.tif,106,4766,0.11
g6_00009_6.tif,58,2772,0.11
g6_00014_3.tif,543,6642,0.11
g6_00014_4.tif,416,4312,0.11
g6_00014_5.tif,480,4903,0.112
g6_00017_4.tif,713,6884,0.112
g6_00017_5.tif,707,796,0.112
g6_00017_6.tif,1175,6007,0.112
g6_00020_5.tif,352,2494,0.104
g6_00020_6.tif,326,2240,0.104
g6_00020_7.tif,1,1553,0.104
g6_00023_15.tif,13214,13058,0.104
g6_00023_16.tif,4919,7922,0.111
g6_00023_17.tif,7774,10342,0.111
g6_00023_18.tif,4059,22490,0.111
g6_00024_0.tif,2269,7393,0.111
g6_00024_1.tif,2117,12795,0.106
g6_00026_16.tif,17311,23551,0.106
g6_00026_17.tif,11077,17874,0.106
g6_00026_18.tif,9527,15175,0.106
g6_00027_0.tif,2455,8566,0.107
g6_00027_1.tif,3690,13499,0.107
g6_00027_2.tif,698,8347,0.107
g6_00029_17.tif,5522,12487,0.107
g6_00029_18.tif,5050,11566,0.104
g6_00030_0.tif,3790,11402,0.104
g6_00030_1.tif,1485,4467,0.104
g6_00030_2.tif,2128,4793,0.104
g6_00030_3.tif,933,4330,0.109
g6_00031_4.tif,0,0,0.109
g6_00031_5.tif,0,17,0.109
g6_00031_6.tif,0,0,0.109
g6_00032_10.tif,1,2458,0.108
g6_00032_11.tif,117,5711,0.108
g6_00032_9.tif,0,0,0.108
g6_00034_5.tif,0,243,0.108
g6_00034_6.tif,0,4642,0.108
g6_00034_7.tif,0,7759,0.108
g6_00035_10.tif,0,2425,0.108
g6_00035_11.tif,0,278,0.108
g6_00035_12.tif,404,5230,0.103
g6_00037_6.tif,0,0,0.103
g6_00037_7.tif,0,4,0.103
g6_00037_8.tif,0,259,0.103
g6_00038_11.tif,0,2,0.111
g6_00038_12.tif,0,201,0.111
g6_00038_13.tif,2155,7488,0.111
g6_00039_14.tif,398,7480,0.111
g6_00039_15.tif,219,2029,0.105
g6_00039_16.tif,0,0,0.105
g6_00040_1.tif,0,0,0.105
g6_00040_2.tif,0,0,0.105
g6_00040_3.tif,0,0,0.105
g6_00040_4.tif,0,0,0.105
g6_00040_5.tif,0,0,0.105
g6_00040_6.tif,0,0,0.105
g6_00041_15.tif,0,90,0.108
g6_00041_16.tif,61,3235,0.108
g6_00041_17.tif,135,8622,0.108
g6_00042_10.tif,1621,15387,0.108
g6_00042_15.tif,0,754,0.105
g6_00042_16.tif,90,4704,0.105
g6_00042_17.tif,4,153,0.105
g6_00042_8.tif,0,10708,0.105
g6_00042_9.tif,2292,7539,0.104
g6_00043_2.tif,0,0,0.104
g6_00043_3.tif,0,0,0.104
g6_00043_4.tif,2,1944,0.104
g6_00043_5.tif,0,292,0.105
g6_00043_6.tif,0,572,0.105
g6_00043_7.tif,0,27,0.105
g6_00044_16.tif,0,424,0.105
g6_00044_17.tif,0,682,0.108
g6_00044_18.tif,0,3508,0.108
g6_00045_10.tif,1683,10413,0.108
g6_00045_11.tif,238,969,0.108
g6_00045_16.tif,2,5967,0.107
g6_00045_17.tif,7,1479,0.107
g6_00045_18.tif,41,386,0.107
g6_00045_9.tif,0,1250,0.107
g6_00046_3.tif,0,0,0.105
g6_00046_4.tif,0,0,0.105
g6_00046_5.tif,0,388,0.105
g6_00046_6.tif,0,3475,0.105
g6_00046_7.tif,19,922,0.104
g6_00046_8.tif,0,1376,0.104
g6_00047_17.tif,5,4078,0.104
g6_00047_18.tif,0,1090,0.104
g6_00048_0.tif,0,3125,0.102
g6_00048_10.tif,0,68,0.102
g6_00048_11.tif,0,181,0.102
g6_00048_12.tif,0,0,0.102
g6_00050_12.tif,3078,9261,0.105
g6_00050_13.tif,0,6138,0.105
g6_00050_14.tif,7,128,0.105
g6_00053_13.tif,0,1039,0.105
g6_00053_14.tif,422,9448,0.11
g6_00053_15.tif,7,3994,0.11
g6_00056_14.tif,0,112,0.11
g6_00056_15.tif,0,0,0.11
g6_00056_16.tif,75,1220,0.105
g6_00060_17.tif,0,0,0.105
g6_00060_18.tif,17,4669,0.105
g6_00061_0.tif,2739,8604,0.105
g6_00063_18.tif,0,0,0.116
g6_00064_0.tif,0,0,0.116
g6_00064_1.tif,2354,5148,0.116
g6_00067_0.tif,0,0,0.116
g6_00067_1.tif,0,0,0.109
g6_00067_2.tif,0,0,0.109
g13_00002_16.tif,0,115,0.109
g13_00002_17.tif,0,114,0.109
g13_00002_18.tif,0,93,0.107
g13_00003_12.tif,316,3700,0.107
g13_00003_13.tif,52,2523,0.107
g13_00003_14.tif,0,3583,0.107
g13_00003_18.tif,11263,5930,0.113
g13_00004_0.tif,14155,6677,0.113
g13_00004_1.tif,26579,11520,0.113
g13_00005_10.tif,0,14,0.113
g13_00005_11.tif,0,0,0.103
g13_00005_9.tif,0,0,0.103
g13_00006_11.tif,3746,6391,0.103
g13_00006_12.tif,3966,9179,0.103
g13_00006_13.tif,8621,18599,0.111
g13_00006_5.tif,0,1877,0.111
g13_00006_6.tif,4,1283,0.111
g13_00006_7.tif,133,1483,0.111
g13_00016_0.tif,0,2661,0.119
g13_00016_1.tif,0,188,0.119
g13_00016_2.tif,0,0,0.119
g13_00017_17.tif,12765,13096,0.119
g13_00017_18.tif,13755,15940,0.108
g13_00018_0.tif,26222,15486,0.108
g13_00018_12.tif,0,1270,0.108
g13_00018_13.tif,0,0,0.108
g13_00018_14.tif,0,0,0.109
g13_00020_10.tif,5577,14657,0.109
g13_00020_11.tif,8812,18043,0.109
g13_00020_12.tif,15806,16996,0.109
g13_00021_5.tif,0,0,0.104
g13_00021_6.tif,0,0,0.104
g13_00021_7.tif,0,0,0.104
g13_00023_3.tif,4325,15515,0.104
g13_00023_4.tif,5930,10080,0.106
g13_00023_5.tif,11389,14992,0.106
g13_00024_4.tif,0,0,0.106
g13_00024_5.tif,0,0,0.106
g13_00024_6.tif,0,0,0.106
g13_00026_16.tif,0,0,0.106
g13_00026_17.tif,0,4,0.106
g13_00026_18.tif,12,1338,0.106
g13_00029_10.tif,0,918,0.103
g13_00029_11.tif,40,861,0.103
g13_00029_9.tif,0,0,0.103
g13_00031_12.tif,0,0,0.103
g13_00031_13.tif,0,0,0.106
g13_00031_14.tif,0,582,0.106
