chip,pixels,interior_px,boundary_px,background_px,unlabelled_px,n_parcels
g13_00002_13.tif,65536,409,221,64906,0,4
g13_00002_14.tif,65536,294,102,65140,0,1
g13_00002_15.tif,65536,0,0,65536,0,0
g13_00002_16.tif,65536,109,187,65240,0,3
g13_00002_17.tif,65536,23,17,65496,0,1
g13_00002_18.tif,65536,3,9,65524,0,1
g13_00003_0.tif,65536,239,61,65236,0,1
g13_00003_1.tif,65536,397,334,64805,0,12
g13_00003_10.tif,65536,121,78,65337,0,4
g13_00003_11.tif,65536,0,0,65536,0,0
g13_00003_12.tif,65536,1295,583,63658,0,14
g13_00003_13.tif,65536,430,340,64766,0,9
g13_00003_14.tif,65536,1791,720,63025,0,19
g13_00003_15.tif,65536,7474,1990,56072,0,37
g13_00003_16.tif,65536,3639,1188,60709,0,21
g13_00003_17.tif,65536,3856,969,60711,0,16
g13_00003_18.tif,65536,11662,1492,52382,0,19
g13_00003_2.tif,65536,150,97,65289,0,2
g13_00003_3.tif,65536,0,0,65536,0,0
g13_00003_4.tif,65536,0,0,65536,0,0
g13_00003_5.tif,65536,183,140,65213,0,4
g13_00003_6.tif,65536,8,19,65509,0,1
g13_00003_7.tif,65536,130,135,65271,0,5
g13_00003_8.tif,65536,279,192,65065,0,7
g13_00003_9.tif,65536,43,46,65447,0,3
g13_00004_0.tif,65536,14749,1618,49169,0,24
g13_00004_1.tif,65536,33873,4466,27197,0,51
g13_00004_10.tif,65536,11745,2691,51100,0,54
g13_00004_11.tif,65536,17758,4070,43708,0,68
g13_00004_12.tif,65536,17832,3866,43838,0,62
g13_00004_13.tif,65536,6066,2008,57462,0,53
g13_00004_14.tif,65536,13984,3463,48089,0,74
g13_00004_15.tif,65536,18614,4368,42554,0,91
g13_00004_16.tif,65536,16006,3982,45548,0,85
g13_00004_17.tif,65536,8012,2651,54873,0,47
g13_00004_18.tif,65536,6069,1828,57639,0,42
g13_00004_2.tif,65536,33027,2137,30372,0,22
g13_00004_3.tif,65536,16857,1592,47087,0,22
g13_00004_4.tif,65536,9458,2758,53320,0,56
g13_00004_5.tif,65536,16919,3791,44826,0,59
g13_00004_6.tif,65536,10575,3260,51701,0,74
g13_00004_7.tif,65536,16356,3435,45745,0,63
g13_00004_8.tif,65536,7891,2648,54997,0,65
g13_00004_9.tif,65536,15787,3755,45994,0,66
g13_00005_0.tif,65536,6777,1727,57032,0,36
g13_00005_1.tif,65536,7323,2198,56015,0,48
g13_00005_10.tif,65536,152,61,65323,0,1
