country,chip,parcel_id,width_native_px,contrast
slovenia,g13_00002_16.tif,6402188,1.242,2.8211
slovenia,g13_00002_16.tif,6983393,2.204,1.4908
slovenia,g13_00002_16.tif,7079929,1.927,1.0507
slovenia,g13_00002_17.tif,6113948,1.927,1.425
slovenia,g13_00002_18.tif,6157272,0.757,1.6403
slovenia,g13_00003_12.tif,6166700,2.204,1.821
slovenia,g13_00003_12.tif,6166702,2.204,1.4333
slovenia,g13_00003_12.tif,6166704,1.437,1.6775
slovenia,g13_00003_12.tif,6490468,1.437,2.0319
slovenia,g13_00003_12.tif,6490470,0.757,1.5638
slovenia,g13_00003_12.tif,6514417,7.863,1.0237
slovenia,g13_00003_12.tif,6514421,2.897,1.2814
slovenia,g13_00003_12.tif,6514422,4.044,1.3154
slovenia,g13_00003_12.tif,6572178,3.725,1.6544
slovenia,g13_00003_12.tif,6737064,2.204,0.7317
slovenia,g13_00003_12.tif,6910737,1.242,2.6046
slovenia,g13_00003_12.tif,6910738,1.927,2.0976
slovenia,g13_00003_12.tif,6910741,0.757,2.6413
slovenia,g13_00003_12.tif,6910746,2.999,2.2681
slovenia,g13_00003_13.tif,6166702,2.069,1.4387
slovenia,g13_00003_13.tif,6324650,1.437,1.6563
slovenia,g13_00003_13.tif,6324653,0.757,1.4909
slovenia,g13_00003_13.tif,6524321,2.204,1.6676
slovenia,g13_00003_13.tif,6524323,2.069,1.6225
slovenia,g13_00003_13.tif,6524324,0.757,1.8234
slovenia,g13_00003_13.tif,6524325,2.999,1.8299
slovenia,g13_00003_13.tif,6737065,3.288,1.1195
slovenia,g13_00003_13.tif,6737066,2.571,1.1499
slovenia,g13_00003_14.tif,6145881,1.242,1.3056
slovenia,g13_00003_14.tif,6145882,8.501,1.4548
slovenia,g13_00003_14.tif,6145886,0.414,1.6639
slovenia,g13_00003_14.tif,6145887,0.757,1.9163
slovenia,g13_00003_14.tif,6145890,2.999,1.5509
slovenia,g13_00003_14.tif,6145891,2.897,1.3018
slovenia,g13_00003_14.tif,6145892,3.725,1.2769
slovenia,g13_00003_14.tif,6145893,2.069,1.2772
slovenia,g13_00003_14.tif,6199100,2.069,1.5325
slovenia,g13_00003_14.tif,6394110,1.242,0.9866
slovenia,g13_00003_14.tif,6446137,1.437,1.0257
slovenia,g13_00003_14.tif,6537426,1.437,3.3052
slovenia,g13_00003_14.tif,6560698,4.821,1.7686
slovenia,g13_00003_14.tif,6560699,3.725,1.7612
slovenia,g13_00003_14.tif,6774220,0.757,1.2612
slovenia,g13_00003_14.tif,6774225,1.242,1.4316
slovenia,g13_00003_14.tif,6872553,4.821,1.9843
slovenia,g13_00003_14.tif,7019528,0.757,2.5614
slovenia,g13_00003_14.tif,7019531,4.044,1.6111
slovenia,g13_00003_18.tif,6133722,5.38,2.4119
slovenia,g13_00003_18.tif,6146415,3.098,0.8848
slovenia,g13_00003_18.tif,6146416,2.999,1.2502
slovenia,g13_00003_18.tif,6224238,7.036,1.2325
slovenia,g13_00003_18.tif,6224239,1.242,1.3432
slovenia,g13_00003_18.tif,6224304,5.439,1.3397
slovenia,g13_00003_18.tif,6224344,2.069,1.5663
slovenia,g13_00003_18.tif,6224464,1.927,1.7106
slovenia,g13_00003_18.tif,6625264,7.439,1.6473
slovenia,g13_00003_18.tif,6736122,6.99,0.9488
slovenia,g13_00003_18.tif,6862344,6.208,0.6161
slovenia,g13_00003_18.tif,6862375,19.452,1.3133
slovenia,g13_00003_18.tif,6862397,14.485,1.4801
slovenia,g13_00003_18.tif,6862405,1.437,0.4062
slovenia,g13_00003_18.tif,6862407,7.036,1.1069
slovenia,g13_00003_18.tif,6862425,0.414,1.0398
slovenia,g13_00003_18.tif,6953125,13.461,1.1246
slovenia,g13_00003_18.tif,6953150,4.044,1.6659
slovenia,g13_00003_18.tif,6970149,10.347,1.0031
slovenia,g13_00004_0.tif,6090653,1.437,1.5895
slovenia,g13_00004_0.tif,6090654,1.927,1.6235
slovenia,g13_00004_0.tif,6090658,0.757,1.6819
slovenia,g13_00004_0.tif,6111251,0.414,1.2086
slovenia,g13_00004_0.tif,6111252,1.927,1.0024
slovenia,g13_00004_0.tif,6208423,1.242,1.0511
slovenia,g13_00004_0.tif,6316528,3.807,1.2123
slovenia,g13_00004_0.tif,6316531,0.414,0.9802
slovenia,g13_00004_0.tif,6707003,4.413,1.7821
slovenia,g13_00004_0.tif,6707008,2.897,1.0605
slovenia,g13_00004_0.tif,6788595,2.069,2.1098
slovenia,g13_00004_0.tif,6788596,8.729,1.2371
slovenia,g13_00004_0.tif,6862344,4.553,0.8338
slovenia,g13_00004_0.tif,6862365,15.891,1.2326
slovenia,g13_00004_0.tif,6862366,9.519,0.6727
slovenia,g13_00004_0.tif,6862373,20.689,1.599
slovenia,g13_00004_0.tif,6862394,15.486,0.7722
slovenia,g13_00004_0.tif,6862396,15.572,1.2645
slovenia,g13_00004_0.tif,6862397,0.414,1.6949
slovenia,g13_00004_0.tif,6910498,13.288,1.2857
slovenia,g13_00004_0.tif,6987753,2.897,0.8694
slovenia,g13_00004_0.tif,7044089,3.807,2.0487
slovenia,g13_00004_0.tif,7044092,4.821,1.9061
slovenia,g13_00004_0.tif,7049957,1.242,0.6745
slovenia,g13_00004_1.tif,6090656,7.863,1.6236
slovenia,g13_00004_1.tif,6094132,3.098,1.5135
slovenia,g13_00004_1.tif,6094133,0.757,1.1481
slovenia,g13_00004_1.tif,6094134,0.757,1.6249
slovenia,g13_00004_1.tif,6094137,4.553,1.4996
slovenia,g13_00004_1.tif,6094214,3.725,1.148
slovenia,g13_00004_1.tif,6165385,13.461,1.7517
slovenia,g13_00004_1.tif,6165391,4.413,1.8041
slovenia,g13_00004_1.tif,6267989,12.856,2.859
slovenia,g13_00004_1.tif,6420102,2.069,2.4249
slovenia,g13_00004_1.tif,6443932,0.414,1.241
slovenia,g13_00004_1.tif,6443934,6.99,1.7125
