parcel_id,objects_over,best_iou,chip
6402188,2,0.0297,g13_00002_16.tif
6983393,3,0.2243,g13_00002_16.tif
7079929,2,0.351,g13_00002_16.tif
6113948,1,0.4938,g13_00002_17.tif
6157272,1,0.0412,g13_00002_18.tif
6166700,4,0.5149,g13_00003_12.tif
6166702,2,0.2527,g13_00003_12.tif
6166704,2,0.12,g13_00003_12.tif
6490468,2,0.1012,g13_00003_12.tif
6490470,1,0.0259,g13_00003_12.tif
6514417,7,0.2774,g13_00003_12.tif
6514421,3,0.4093,g13_00003_12.tif
6514422,8,0.4766,g13_00003_12.tif
6572178,3,0.4964,g13_00003_12.tif
6737064,2,0.2738,g13_00003_12.tif
6910737,2,0.0496,g13_00003_12.tif
6910738,2,0.0751,g13_00003_12.tif
6910741,3,0.0698,g13_00003_12.tif
6910746,4,0.4478,g13_00003_12.tif
6166702,2,0.1399,g13_00003_13.tif
6324650,3,0.1488,g13_00003_13.tif
6324653,2,0.0787,g13_00003_13.tif
6524321,9,0.2699,g13_00003_13.tif
6524323,4,0.439,g13_00003_13.tif
6524324,1,0.0707,g13_00003_13.tif
6524325,4,0.3909,g13_00003_13.tif
6737065,5,0.3314,g13_00003_13.tif
6737066,1,0.1348,g13_00003_13.tif
6145881,1,0.0548,g13_00003_14.tif
6145882,7,0.6948,g13_00003_14.tif
6145886,2,0.005,g13_00003_14.tif
6145887,2,0.1719,g13_00003_14.tif
6145890,3,0.6603,g13_00003_14.tif
6145891,4,0.4013,g13_00003_14.tif
6145892,2,0.6564,g13_00003_14.tif
6145893,2,0.5,g13_00003_14.tif
6199100,2,0.4267,g13_00003_14.tif
6394110,2,0.0696,g13_00003_14.tif
6446137,2,0.2632,g13_00003_14.tif
6537426,3,0.0128,g13_00003_14.tif
6560698,4,0.3995,g13_00003_14.tif
6560699,4,0.3476,g13_00003_14.tif
6774220,2,0.0986,g13_00003_14.tif
6774225,1,0.044,g13_00003_14.tif
6872553,7,0.6514,g13_00003_14.tif
7019528,1,0.0222,g13_00003_14.tif
7019531,6,0.54,g13_00003_14.tif
6133722,3,0.4897,g13_00003_18.tif
6146415,4,0.3429,g13_00003_18.tif
6146416,2,0.1722,g13_00003_18.tif
6224238,4,0.2787,g13_00003_18.tif
6224239,3,0.0457,g13_00003_18.tif
6224304,5,0.626,g13_00003_18.tif
6224344,2,0.1628,g13_00003_18.tif
6224464,6,0.5918,g13_00003_18.tif
6625264,5,0.7386,g13_00003_18.tif
6736122,5,0.2937,g13_00003_18.tif
6862344,1,0.6362,g13_00003_18.tif
6862375,11,0.908,g13_00003_18.tif
6862397,11,0.4254,g13_00003_18.tif
6862405,1,0.4342,g13_00003_18.tif
6862407,5,0.7462,g13_00003_18.tif
6862425,1,0.0075,g13_00003_18.tif
6953125,7,0.2577,g13_00003_18.tif
6953150,6,0.6821,g13_00003_18.tif
6970149,5,0.5626,g13_00003_18.tif
6090653,2,0.1037,g13_00004_0.tif
6090654,3,0.081,g13_00004_0.tif
6090658,3,0.0464,g13_00004_0.tif
6111251,3,0.0237,g13_00004_0.tif
6111252,3,0.6129,g13_00004_0.tif
6208423,1,0.0692,g13_00004_0.tif
6316528,7,0.3747,g13_00004_0.tif
6316531,1,0.0538,g13_00004_0.tif
6707003,3,0.6295,g13_00004_0.tif
6707008,2,0.2518,g13_00004_0.tif
6788595,3,0.5738,g13_00004_0.tif
6788596,3,0.6729,g13_00004_0.tif
6862344,4,0.38,g13_00004_0.tif
6862365,4,0.3179,g13_00004_0.tif
6862366,5,0.8863,g13_00004_0.tif
6862373,3,0.628,g13_00004_0.tif
6862394,7,0.3286,g13_00004_0.tif
6862396,8,0.5222,g13_00004_0.tif
6862397,0,0.0,g13_00004_0.tif
6910498,6,0.6884,g13_00004_0.tif
6987753,1,0.2609,g13_00004_0.tif
7044089,3,0.4567,g13_00004_0.tif
7044092,3,0.6336,g13_00004_0.tif
7049957,1,0.0538,g13_00004_0.tif
6090656,4,0.465,g13_00004_1.tif
6094132,4,0.3649,g13_00004_1.tif
6094133,1,0.0382,g13_00004_1.tif
6094134,1,0.0155,g13_00004_1.tif
6094137,4,0.4883,g13_00004_1.tif
6094214,3,0.7872,g13_00004_1.tif
6165385,10,0.5028,g13_00004_1.tif
6165391,5,0.5717,g13_00004_1.tif
6267989,10,0.4276,g13_00004_1.tif
6420102,1,0.0897,g13_00004_1.tif
6443932,2,0.0102,g13_00004_1.tif
6443934,5,0.5181,g13_00004_1.tif
6443941,7,0.8025,g13_00004_1.tif
6443952,1,0.4206,g13_00004_1.tif
6444032,4,0.254,g13_00004_1.tif
6444073,5,0.7471,g13_00004_1.tif
6444273,4,0.4675,g13_00004_1.tif
6444289,4,0.703,g13_00004_1.tif
6444732,12,0.5888,g13_00004_1.tif
6503716,3,0.7425,g13_00004_1.tif
6503721,4,0.9192,g13_00004_1.tif
6503913,3,0.4745,g13_00004_1.tif
6503966,1,0.0231,g13_00004_1.tif
6504115,4,0.3246,g13_00004_1.tif
6504116,5,0.8176,g13_00004_1.tif
6504194,3,0.7596,g13_00004_1.tif
6559607,6,0.6547,g13_00004_1.tif
6578268,3,0.3513,g13_00004_1.tif
6578397,3,0.5347,g13_00004_1.tif
6578410,6,0.7538,g13_00004_1.tif
6578413,6,0.4479,g13_00004_1.tif
6578415,4,0.3101,g13_00004_1.tif
6581409,8,0.6557,g13_00004_1.tif
6581410,2,0.075,g13_00004_1.tif
6581411,3,0.4479,g13_00004_1.tif
6689417,4,0.5385,g13_00004_1.tif
6707003,3,0.5967,g13_00004_1.tif
6707008,3,0.3095,g13_00004_1.tif
6788595,10,0.4176,g13_00004_1.tif
6788596,1,0.4178,g13_00004_1.tif
6862312,6,0.9648,g13_00004_1.tif
6862365,7,0.938,g13_00004_1.tif
6862373,2,0.8191,g13_00004_1.tif
6862379,9,0.9323,g13_00004_1.tif
6862393,9,0.4699,g13_00004_1.tif
6917340,6,0.6224,g13_00004_1.tif
6945580,2,0.1358,g13_00004_1.tif
6945581,5,0.3671,g13_00004_1.tif
6961800,2,0.7277,g13_00004_1.tif
6961802,5,0.4327,g13_00004_1.tif
7044089,5,0.6645,g13_00004_1.tif
6689886,4,0.3121,g13_00005_10.tif
6689885,1,0.0967,g13_00005_11.tif
7079929,1,0.2683,g13_00005_9.tif
6085712,6,0.4244,g13_00006_11.tif
6085714,2,0.0837,g13_00006_11.tif
6085715,6,0.5273,g13_00006_11.tif
6093619,8,0.3696,g13_00006_11.tif
6093620,14,0.6765,g13_00006_11.tif
6093628,4,0.8308,g13_00006_11.tif
6109021,3,0.5,g13_00006_11.tif
