composite,setting,objects_per_chip,parcels,median_iou,recall,null_recall,gap
false,0.88/0.88,82.5,6831,0.0841,0.2063,0.0106,0.1957
false,0.80/0.88,102.4,6831,0.1294,0.2357,0.0122,0.2234
false,0.70/0.88,109.7,6831,0.1507,0.2464,0.0134,0.233
false,0.60/0.88,111.5,6831,0.1537,0.2483,0.0119,0.2364
false,0.50/0.88,111.8,6831,0.1539,0.2484,0.012,0.2364
true,0.88/0.88,85.4,6831,0.1182,0.2333,0.0103,0.223
true,0.80/0.88,104.6,6831,0.1715,0.2637,0.0139,0.2497
true,0.70/0.88,110.5,6831,0.1888,0.2736,0.0135,0.2601
true,0.60/0.88,111.8,6831,0.1932,0.2754,0.0127,0.2626
true,0.50/0.88,112.0,6831,0.1935,0.2757,0.013,0.2627
