method,setting,parcels,objects_per_chip,median_iou,recall,null_recall,gap,recall_at_ftw_budget
ftw,3class_full,6831,18.3,0.0,0.2221,0.0051,0.217,0.2221
watershed,0.005,6831,705.7,0.302,0.2017,0.0249,0.1768,0.0808
watershed,0.01,6831,619.5,0.3254,0.242,0.0264,0.2155,0.0808
watershed,0.02,6831,492.1,0.3555,0.2921,0.025,0.2671,0.0808
watershed,0.05,6831,281.9,0.3559,0.345,0.0204,0.3246,0.0808
watershed,0.08,6831,180.4,0.3033,0.3281,0.0178,0.3103,0.0808
watershed,0.1,6831,140.5,0.254,0.3048,0.014,0.2908,0.0808
watershed,0.13,6831,100.7,0.1913,0.2568,0.0113,0.2454,0.0808
watershed,0.16,6831,75.6,0.1502,0.217,0.0085,0.2085,0.0808
watershed,0.2,6831,54.3,0.103,0.17,0.0086,0.1614,0.0808
watershed,0.3,6831,25.8,0.0312,0.0808,0.0026,0.0782,0.0808
felzenszwalb,25,6831,580.6,0.193,0.03,0.0241,0.006,0.0353
felzenszwalb,50,6831,567.4,0.2838,0.1096,0.0237,0.086,0.0353
felzenszwalb,100,6831,381.5,0.2978,0.2088,0.0226,0.1862,0.0353
felzenszwalb,150,6831,267.9,0.2378,0.2014,0.0216,0.1799,0.0353
felzenszwalb,200,6831,202.5,0.1789,0.1771,0.0194,0.1578,0.0353
felzenszwalb,300,6831,134.7,0.1075,0.1278,0.0154,0.1124,0.0353
felzenszwalb,400,6831,100.7,0.0655,0.0966,0.0109,0.0857,0.0353
felzenszwalb,800,6831,54.4,0.0163,0.0353,0.0048,0.0304,0.0353
